,SESSION_ID,MEDIA_ID,DICOM_ID,CNT,Time (in secs),TIMETICK(f=10000000),FPOGX,FPOGY,FPOGS,FPOGD,FPOGID,FPOGV,BPOGX,BPOGY,BPOGV,LPCX,LPCY,LPD,LPS,LPV,RPCX,RPCY,RPD,RPS,RPV,BKID,BKDUR,BKPMIN,LPMM,LPMMV,RPMM,RPMMV,SACCADE_MAG,SACCADE_DIR,VID_FRAME,X_ORIGINAL,Y_ORIGINAL
19916,16,19,036000e0-04d69382-0f34cbc2-7b2ed2df-4254b120,15,0.24188,296349746607.0,0.50639,0.58839,0.0,0.24188,1,1,0.53508,0.40304,1,0.31789,0.50678,18.98575,0.97437,1,0.60285,0.53374,17.9579,0.96845,1,0,0.0,20,3.55987,1,3.20968,1,18.10294,106.64057,0.0,1308,1798
19917,16,19,036000e0-04d69382-0f34cbc2-7b2ed2df-4254b120,38,0.6140100000000001,296353467865.0,0.50758,0.44023,0.30713,0.30688,2,1,0.49149,0.5129600000000001,1,0.31287,0.50676,18.85588,0.96845,1,0.5979399999999999,0.53182,17.658929999999994,0.97437,1,0,0.0,20,3.4945699999999995,1,3.10151,1,160.02907,89.18191999999998,0.0,1315,1345
19918,16,19,036000e0-04d69382-0f34cbc2-7b2ed2df-4254b120,69,1.11548,296358482472.0,0.4800899999999999,0.51668,0.63013,0.48535,3,1,0.46834,0.5282899999999999,1,0.31477,0.50653,19.80821,0.97437,1,0.59845,0.53161,18.71049,0.98029,1,0,0.0,20,3.73525,1,3.3237,1,97.99467,237.41101,0.0,1157,1578
19919,16,19,036000e0-04d69382-0f34cbc2-7b2ed2df-4254b120,91,1.47125,296362040385.0,0.49316,0.53819,1.13159,0.33966,4,1,0.4977899999999999,0.39383,1,0.31853,0.50032,20.33057,0.96283,1,0.60183,0.5258,19.49271,0.97529,1,0,0.0,20,3.84016,1,3.48011,1,34.19648,317.2085,0.0,1232,1644
19920,16,19,036000e0-04d69382-0f34cbc2-7b2ed2df-4254b120,117,1.89172,296366244802.0,0.5102300000000001,0.35408,1.53735,0.3543699999999999,5,1,0.50468,0.32227,1,0.3079699999999999,0.50258,21.06774,0.98621,1,0.59204,0.5256,19.14404,0.98621,1,0,0.0,19,3.75194,1,3.5575900000000003,1,201.52177,80.64015,0.0,1330,1082
19921,16,19,036000e0-04d69382-0f34cbc2-7b2ed2df-4254b120,132,2.13428,296368670604.0,0.4767899999999999,0.4007199999999999,1.90784,0.22644,6,1,0.45138,0.44398,1,0.30741,0.50642,20.37274,0.96293,1,0.59201,0.52945,19.69224,0.96293,1,0,0.0,19,3.85189,1,3.46471,1,81.60582,218.11559,0.0,1138,1224
19922,16,19,036000e0-04d69382-0f34cbc2-7b2ed2df-4254b120,155,2.50677,296372395459.0,0.4460399999999999,0.47106,2.15228,0.35449,7,1,0.41347,0.5148699999999999,1,0.30438,0.50739,20.37576,0.95701,1,0.5895100000000001,0.53023,19.4043,0.95109,1,0,0.0,19,3.90515,1,3.48462,1,96.21198,232.14644,0.0,962,1439
19923,16,19,036000e0-04d69382-0f34cbc2-7b2ed2df-4254b120,172,2.78125,296375139843.0,0.45669,0.50831,2.52466,0.25659,8,1,0.6121,0.47428,1,0.31419,0.5081899999999999,20.89369,0.98621,1,0.59847,0.53247,18.96664,0.98621,1,0,0.0,19,3.96539,1,3.4904,1,45.12842,296.9432700000001,0.0,1023,1553
19924,16,19,036000e0-04d69382-0f34cbc2-7b2ed2df-4254b120,196,3.1712,296379039892.0,0.63183,0.51335,2.84668,0.32452,9,1,0.65946,0.52579,1,0.31466,0.5128199999999999,20.07403,0.98621,1,0.60026,0.53751,17.50743,0.98029,1,0,0.0,19,3.62315,1,3.41204,1,336.31271,359.07263,0.0,2027,1568
19925,16,19,036000e0-04d69382-0f34cbc2-7b2ed2df-4254b120,217,3.50964,296382424113.0,0.67,0.5737899999999999,3.18591,0.32373,10,1,0.68935,0.61953,1,0.32689,0.51243,20.49997,0.96253,1,0.61254,0.54209,18.05108,0.96845,1,0,0.0,19,3.81326,1,3.3927,1,98.14155,318.3090200000001,0.0,2246,1753
