,SESSION_ID,MEDIA_ID,DICOM_ID,CNT,Time (in secs),TIMETICK(f=10000000),FPOGX,FPOGY,FPOGS,FPOGD,FPOGID,FPOGV,BPOGX,BPOGY,BPOGV,LPCX,LPCY,LPD,LPS,LPV,RPCX,RPCY,RPD,RPS,RPV,BKID,BKDUR,BKPMIN,LPMM,LPMMV,RPMM,RPMMV,SACCADE_MAG,SACCADE_DIR,VID_FRAME,X_ORIGINAL,Y_ORIGINAL
4005,4,39,091d7e6f-99636e13-b9ee957c-9750fcc4-49ca3ddc,25,0.40369,5505799518965.0,0.42726,0.28251,0.0,0.40369,1,1,0.48138,0.3200199999999999,1,0.31764,0.54807,20.4976,0.96948,1,0.58248,0.5753699999999999,18.17814,0.96267,1,0,0.0,14,3.95934,1,3.52431,1,53.84889,68.4978,0.0,896,766
4006,4,39,091d7e6f-99636e13-b9ee957c-9750fcc4-49ca3ddc,44,0.71167,5505802598481.0,0.50585,0.35212,0.4199199999999999,0.29175,2,1,0.55583,0.44356,1,0.31053,0.55243,19.40709,0.97656,1,0.57447,0.57835,17.62356,0.96975,1,0,0.0,14,3.84076,1,3.34933,1,168.5838,333.5163,0.0,1295,954
4007,4,39,091d7e6f-99636e13-b9ee957c-9750fcc4-49ca3ddc,65,1.05151,5505805997344.0,0.5161899999999999,0.44441,0.72925,0.32227,3,1,0.5174300000000001,0.44227,1,0.32761,0.54133,18.24036,0.93517,1,0.59199,0.57185,16.26913,0.93517,1,0,0.0,14,3.81993,1,3.2006,1,101.63107,281.26465,0.0,1348,1205
4008,4,39,091d7e6f-99636e13-b9ee957c-9750fcc4-49ca3ddc,90,1.45679,5505810050089.0,0.5253800000000001,0.43427,1.06665,0.39014,4,1,0.57677,0.48099,1,0.36034,0.53294,19.24459,0.94211,1,0.62366,0.57198,16.29873,0.94892,1,0,0.0,14,3.5987400000000003,1,3.3512800000000005,1,20.76702,31.82565,0.0,1395,1177
4009,4,39,091d7e6f-99636e13-b9ee957c-9750fcc4-49ca3ddc,117,1.89172,5505814399271.0,0.56476,0.45136,1.47253,0.4191899999999999,5,1,0.5411,0.5062399999999999,0,0.31586,0.54447,5.100619999999998,0.94198,0,0.59392,0.5644600000000001,15.076,0.93517,0,0,0.0,14,1.79457,0,3.0266900000000003,0,77.82983,346.28174,0.0,1595,1224
4010,4,39,091d7e6f-99636e13-b9ee957c-9750fcc4-49ca3ddc,164,2.65381,5505822020722.0,0.67342,0.65547,2.19885,0.45496,6,1,0.6864100000000001,0.6797,1,0.34368,0.51737,19.26834,0.9366,1,0.61097,0.55247,16.33093,0.9495,1,0,0.0,15,3.75277,1,3.18273,1,303.51044,313.42313,0.0,2147,1777
4011,4,39,091d7e6f-99636e13-b9ee957c-9750fcc4-49ca3ddc,179,2.89465,5505824428329.0,0.6421600000000001,0.59475,2.66821,0.22644,7,1,0.53272,0.25681,1,0.33635,0.51285,18.92422,0.98494,1,0.60265,0.5455399999999999,16.02659,0.9994,1,0,0.0,15,3.5086800000000005,1,3.36787,1,88.89735999999998,132.466,0.0,1988,1612
4012,4,39,091d7e6f-99636e13-b9ee957c-9750fcc4-49ca3ddc,208,3.3641400000000004,5505829123409.0,0.52552,0.29124,2.96216,0.40198,8,1,0.49144,0.2922,1,0.35906,0.50246,18.34599,0.95586,1,0.6251800000000001,0.53913,16.152739999999998,0.96267,1,0,0.0,15,3.64001,1,3.44299,1,396.9884,124.34114,0.0,1395,789
4013,4,39,091d7e6f-99636e13-b9ee957c-9750fcc4-49ca3ddc,223,3.60632,5505831545310.0,0.51881,0.2742,3.3806199999999995,0.22571,9,1,0.5354,0.42007,0,0.35134,0.53727,7.410719999999999,0.93517,0,0.61219,0.53333,12.93648,0.93517,0,0,0.0,15,2.03042,0,3.40921,0,22.4646,124.99419,0.0,1361,743
4014,4,39,091d7e6f-99636e13-b9ee957c-9750fcc4-49ca3ddc,290,4.68982,5505842380094.0,0.53165,0.28791,3.87036,0.8194600000000001,10,1,0.54397,0.52985,1,0.36171,0.528,18.45414,0.94878,1,0.62256,0.5783,14.68907,0.95559,1,0,0.0,16,3.93802,1,4.09106,1,28.75768,329.0104100000001,0.0,1426,780
