,SESSION_ID,MEDIA_ID,DICOM_ID,CNT,Time (in secs),TIMETICK(f=10000000),FPOGX,FPOGY,FPOGS,FPOGD,FPOGID,FPOGV,BPOGX,BPOGY,BPOGV,LPCX,LPCY,LPD,LPS,LPV,RPCX,RPCY,RPD,RPS,RPV,BKID,BKDUR,BKPMIN,LPMM,LPMMV,RPMM,RPMMV,SACCADE_MAG,SACCADE_DIR,VID_FRAME,X_ORIGINAL,Y_ORIGINAL
20693,17,9,13c6cc82-670e824e-a62fe2f3-5b8425aa-2f3b8cd5,3,0.04675,4922187189555.0,0.54166,0.68606,0.0,0.04675,2,1,0.55798,0.6275,1,0.60697,0.61278,16.7519,1.01169,1,0.8637799999999999,0.61617,16.690170000000002,1.01169,1,0,0.0,12,3.72613,1,3.89944,1,117.94518,17.979429999999994,0.0,1510,2096
20694,17,9,13c6cc82-670e824e-a62fe2f3-5b8425aa-2f3b8cd5,28,0.4517199999999999,4922191239269.0,0.49967,0.2280599999999999,0.11116,0.34056,3,1,0.50726,0.47178,1,0.60592,0.61058,15.80969,0.96645,1,0.86195,0.61373,16.71694,0.9739,1,0,0.0,12,3.29811,1,3.39563,1,501.16711,99.25717,0.0,1270,696
20695,17,9,13c6cc82-670e824e-a62fe2f3-5b8425aa-2f3b8cd5,39,0.63225,4922193044556.0,0.52705,0.4708699999999999,0.51678,0.11546,4,1,0.52252,0.50236,0,0.60606,0.61366,10.69518,0.95184,0,0.8614700000000001,0.61403,16.61876,0.94439,0,40,0.0,12,3.25841,0,3.3891,0,267.45215,281.33569,0.0,1427,1438
20696,17,9,13c6cc82-670e824e-a62fe2f3-5b8425aa-2f3b8cd5,94,1.51814,4922201903499.0,0.51188,0.37721,1.23207,0.28607,5,1,0.54535,0.34151,1,0.6044,0.6097,18.42476,1.00341,1,0.86135,0.6119,18.81779,1.00341,1,0,0.0,13,3.89838,1,3.90313,1,105.26272,106.0635,0.0,1340,1152
20697,17,9,13c6cc82-670e824e-a62fe2f3-5b8425aa-2f3b8cd5,108,1.74455,4922204167555.0,0.5443600000000001,0.45261,1.53491,0.20964,6,1,0.55271,0.49326,1,0.60464,0.612,18.40011,0.94641,1,0.8614299999999999,0.61403,18.46091,0.94641,1,0,0.0,13,3.8884300000000014,1,3.82652,1,102.56773,307.44531,0.0,1526,1383
20698,17,9,13c6cc82-670e824e-a62fe2f3-5b8425aa-2f3b8cd5,124,2.00505,4922206772654.0,0.6042,0.5374,1.7607400000000002,0.24431,7,1,0.68279,0.5445,1,0.60848,0.61424,19.41507,1.03652,1,0.8650700000000001,0.6167,19.219,1.03652,1,0,0.0,13,4.02446,1,4.00474,1,146.92181000000005,321.44403,0.0,1869,1642
20699,17,9,13c6cc82-670e824e-a62fe2f3-5b8425aa-2f3b8cd5,151,2.44022,4922211124255.0,0.65723,0.5213899999999999,2.02327,0.41695,8,1,0.45237,0.46905,1,0.6030399999999999,0.61319,17.96206,0.99596,1,0.8592799999999999,0.61475,18.78617,0.9885,1,0,0.0,13,3.73117,1,3.70866,1,103.27537,9.63811,0.0,2173,1593
20700,17,9,13c6cc82-670e824e-a62fe2f3-5b8425aa-2f3b8cd5,171,2.76419,4922214363932.0,0.4185,0.45053,2.50516,0.25903,9,1,0.3977,0.4632600000000001,1,0.60113,0.61364,18.3791,0.98866,1,0.8572799999999999,0.61545,18.66286,0.99611,1,0,0.0,13,3.61016,1,3.85846,1,464.70633,170.52123999999995,0.0,804,1376
20701,17,9,13c6cc82-670e824e-a62fe2f3-5b8425aa-2f3b8cd5,199,3.21664,4922218888507.0,0.4526600000000001,0.51931,2.78027,0.43637,10,1,0.59435,0.5673600000000001,1,0.60512,0.61564,17.65257,0.98105,1,0.8613799999999999,0.61761,18.22089,0.9885,1,0,0.0,13,3.98281,1,3.90951,1,99.09365,311.44269,0.0,1000,1587
20702,17,9,13c6cc82-670e824e-a62fe2f3-5b8425aa-2f3b8cd5,226,3.655,4922223272067.0,0.58783,0.5904699999999999,3.28145,0.37355,11,1,0.42333,0.4859,1,0.59719,0.61585,17.91984,0.97359,1,0.8536799999999999,0.61557,18.29009,0.97359,1,0,0.0,13,3.57666,1,3.80298,1,270.6665,343.50455,0.0,1775,1804
20703,17,9,13c6cc82-670e824e-a62fe2f3-5b8425aa-2f3b8cd5,287,4.64101,4922233132238.0,0.4108199999999999,0.51885,3.71967,0.92134,12,1,0.53977,0.56211,1,0.5996100000000001,0.61234,17.31231,0.97487,1,0.8558100000000001,0.61297,18.31983,0.96742,1,0,0.0,13,4.10388,1,4.08991,1,348.55023,167.17828,0.0,760,1585
20704,17,9,13c6cc82-670e824e-a62fe2f3-5b8425aa-2f3b8cd5,309,4.99998,4922236721976.0,0.55621,0.58144,4.70486,0.29512,13,1,0.56258,0.6671,0,0.60188,0.60501,9.83579,0.95184,0,0.8573,0.60244,18.92625,0.94438,0,41,0.0,13,3.3699,0,3.94711,0,287.2167100000001,346.3876,0.0,1594,1776
20705,17,9,13c6cc82-670e824e-a62fe2f3-5b8425aa-2f3b8cd5,342,5.52991,4922242021178.0,0.5264300000000001,0.44553,5.258769999999998,0.27113,14,1,0.54366,0.32042,1,0.6056199999999999,0.5828399999999999,17.83655,1.04628,1,0.8591700000000001,0.58992,17.799960000000006,1.04628,1,0,0.0,14,3.86215,1,3.93228,1,157.52608999999995,111.28284,0.0,1423,1361
20706,17,9,13c6cc82-670e824e-a62fe2f3-5b8425aa-2f3b8cd5,359,5.8046,4922244768009.0,0.5716,0.4451699999999999,5.5457300000000025,0.25887,15,1,0.6091,0.46955,1,0.61178,0.60493,17.607310000000005,1.07977,1,0.86219,0.6162,17.52682,1.07977,1,0,0.0,14,3.78189,1,3.75251,1,86.72731,0.25687,0.0,1682,1360
20707,17,9,13c6cc82-670e824e-a62fe2f3-5b8425aa-2f3b8cd5,376,6.08206,4922247542755.0,0.56985,0.4082,5.82164,0.26042,16,1,0.5129600000000001,0.30923,1,0.60873,0.59764,18.58461,1.11819,1,0.8576600000000001,0.6046,17.52996,1.10854,1,0,0.0,14,3.87006,1,3.92179,1,40.06871,94.81021,0.0,1672,1247
20708,17,9,13c6cc82-670e824e-a62fe2f3-5b8425aa-2f3b8cd5,395,6.38676,4922250589779.0,0.5149600000000001,0.21515,6.1463800000000015,0.24039,17,1,0.50726,0.22751,1,0.60149,0.59701,18.57366,1.04514,1,0.85278,0.59944,18.65361,1.03669,1,0,0.0,14,3.82492,1,3.84884,1,233.61626,116.81553999999998,0.0,1357,657
20709,17,9,13c6cc82-670e824e-a62fe2f3-5b8425aa-2f3b8cd5,414,6.6943699999999975,4922253665754.0,0.5001800000000001,0.17782,6.40388,0.29048,18,1,0.49344,0.18282,1,0.59345,0.58638,19.82305,1.05514,1,0.8448,0.58599,20.01654,1.04548,1,0,0.0,14,4.02465,1,3.99364,1,49.30215,125.14067,0.0,1273,543
20710,17,9,13c6cc82-670e824e-a62fe2f3-5b8425aa-2f3b8cd5,430,6.95593,4922256281359.0,0.49712,0.23364,6.7119300000000015,0.244,19,1,0.49275,0.25548,1,0.60217,0.58511,18.78605,1.04531,1,0.8546799999999999,0.58772,19.72032,1.03686,1,0,0.0,14,4.12895,1,4.14572,1,60.57122,264.43378,0.0,1255,714
20711,17,9,13c6cc82-670e824e-a62fe2f3-5b8425aa-2f3b8cd5,455,7.357360000000001,4922260295781.0,0.5129100000000001,0.30975,6.969710000000001,0.38765,20,1,0.5425399999999999,0.34454,1,0.60821,0.59258,19.72353,1.04548,1,0.8596600000000001,0.59499,19.97361,1.04548,1,0,0.0,14,4.43529,1,4.28845,1,87.61137,290.24515,0.0,1346,946
