,SESSION_ID,MEDIA_ID,DICOM_ID,CNT,Time (in secs),TIMETICK(f=10000000),FPOGX,FPOGY,FPOGS,FPOGD,FPOGID,FPOGV,BPOGX,BPOGY,BPOGV,LPCX,LPCY,LPD,LPS,LPV,RPCX,RPCY,RPD,RPS,RPV,BKID,BKDUR,BKPMIN,LPMM,LPMMV,RPMM,RPMMV,SACCADE_MAG,SACCADE_DIR,VID_FRAME,X_ORIGINAL,Y_ORIGINAL
1283,2,2,1f044771-c9591ca5-fa1a930f-1b4057c7-9b6c83d4,18,0.29114,704887800794.0,0.4256899999999999,0.5281399999999999,0.0,0.29114,1,1,0.45801,0.30898,1,0.39207,0.63107,16.9966,0.93835,1,0.64247,0.63872,17.34115,0.93835,1,0,0.0,12,3.58582,1,3.5169300000000003,1,52.78555,140.422,0.0,845,1613
1284,2,2,1f044771-c9591ca5-fa1a930f-1b4057c7-9b6c83d4,41,0.66333,704891522164.0,0.4644,0.32247,0.35608,0.30725,2,1,0.47153,0.38485,1,0.39354,0.6322300000000001,16.22201,0.93703,1,0.6449,0.64074,15.54222,0.94412,1,0,0.0,12,3.2868699999999995,1,3.38981,1,234.22821,71.4996,0.0,1067,985
1285,2,2,1f044771-c9591ca5-fa1a930f-1b4057c7-9b6c83d4,56,0.90637,704893952468.0,0.51757,0.44172,0.6792,0.2271699999999999,3,1,0.5534899999999999,0.4871899999999999,1,0.39436,0.63435,16.44687,0.94627,1,0.64505,0.64183,16.15887,0.94627,1,0,0.0,12,3.30602,1,3.33677,1,164.34265,308.40237,0.0,1372,1349
1286,2,2,1f044771-c9591ca5-fa1a930f-1b4057c7-9b6c83d4,70,1.1322,704896211042.0,0.5998600000000001,0.5523,0.92273,0.20947,4,1,0.6371100000000001,0.58782,1,0.39781,0.63685,16.10432,0.93744,1,0.64855,0.64494,15.764129999999998,0.93744,1,0,0.0,12,3.46958,1,3.17248,1,198.0546,322.91516,0.0,1844,1687
1287,2,2,1f044771-c9591ca5-fa1a930f-1b4057c7-9b6c83d4,95,1.53748,704900264316.0,0.62569,0.57097,1.14819,0.38928,5,1,0.62792,0.51437,1,0.40253,0.6333,14.83566,0.96046,1,0.65318,0.64366,14.9198,0.96756,1,0,0.0,12,3.40164,1,3.15673,1,53.53586,337.8744200000001,0.0,1992,1744
1288,2,2,1f044771-c9591ca5-fa1a930f-1b4057c7-9b6c83d4,116,1.8761,704903650031.0,0.5211399999999999,0.5189600000000001,1.55273,0.32336,6,1,0.46923,0.50025,1,0.39574,0.63215,14.80408,0.94433,1,0.6461,0.64083,14.85625,0.94433,1,0,0.0,12,3.39541,1,3.04645,1,208.44684,164.3671,0.0,1393,1585
1289,2,2,1f044771-c9591ca5-fa1a930f-1b4057c7-9b6c83d4,131,2.11938,704906082906.0,0.56597,0.46776,1.89233,0.22705,7,1,0.6378,0.4773699999999999,1,0.40236,0.63478,15.62664,0.97655,1,0.6533800000000001,0.64535,14.79709,0.96141,1,0,0.0,11,3.24675,1,3.21886,1,102.30502,32.71779,0.0,1650,1429
1290,2,2,1f044771-c9591ca5-fa1a930f-1b4057c7-9b6c83d4,151,2.44226,704909311249.0,0.613,0.4496600000000001,2.1355,0.30676,8,1,0.54575,0.34126,1,0.4012199999999999,0.6311,16.29092,0.93177,1,0.6521600000000001,0.64149,15.47332,0.93887,1,0,0.0,11,3.33121,1,3.36049,1,92.38929,12.21512,0.0,1919,1374
1291,2,2,1f044771-c9591ca5-fa1a930f-1b4057c7-9b6c83d4,224,3.62292,704921118110.0,0.53659,0.32386,2.45837,1.16455,9,1,0.43865,0.53361,1,0.39536,0.63254,15.04483,0.95122,1,0.64554,0.6412399999999999,15.43954,0.95122,1,0,0.0,10,3.65882,1,3.69699,1,199.95503,137.19754,0.0,1481,989
1292,2,2,1f044771-c9591ca5-fa1a930f-1b4057c7-9b6c83d4,251,4.05969,704925485788.0,0.43467,0.52836,3.68787,0.37183,10,1,0.39109,0.56581,1,0.39079,0.63612,15.06045,0.90945,1,0.64173,0.6435,15.59289,0.90236,1,0,0.0,10,3.22752,1,3.28628,1,295.08014,228.4584,0.0,897,1614
1293,2,2,1f044771-c9591ca5-fa1a930f-1b4057c7-9b6c83d4,268,4.33459,704928235309.0,0.36778,0.60741,4.07581,0.25879,11,1,0.35646,0.65205,1,0.38995,0.63763,14.438770000000002,0.91655,1,0.64115,0.6446,14.46048,0.90945,1,0,0.0,10,3.22384,1,3.07751,1,154.21636999999996,213.61427,0.0,513,1856
1294,2,2,1f044771-c9591ca5-fa1a930f-1b4057c7-9b6c83d4,287,4.64197,704931308743.0,0.3696,0.62512,4.35095,0.29102,12,1,0.578,0.52103,1,0.39629,0.63626,12.13279,0.96731,1,0.64598,0.6440100000000001,12.28948,0.95927,1,0,0.0,10,4.23913,1,3.62893,1,19.44337,280.3537,0.0,524,1910
1295,2,2,1f044771-c9591ca5-fa1a930f-1b4057c7-9b6c83d4,312,5.04626,704935351358.0,0.6459999999999999,0.58685,4.70667,0.3396,13,1,0.51393,0.47673,1,0.39426,0.6359,13.05889,0.95237,1,0.64465,0.64436,13.30136,0.94433,1,0,0.0,10,3.12206,1,2.9859400000000003,1,532.29517,4.45338,0.0,2109,1793
1296,2,2,1f044771-c9591ca5-fa1a930f-1b4057c7-9b6c83d4,339,5.4863300000000015,704939751983.0,0.36426,0.61442,5.11121,0.37512,14,1,0.34458,0.66446,0,0.3884,0.6411600000000001,12.65431,0.91655,0,0.63877,0.64684,14.90331,0.92365,0,359,0.0,10,3.4435,0,3.12155,0,541.75977,183.15063,0.0,493,1877
1297,2,2,1f044771-c9591ca5-fa1a930f-1b4057c7-9b6c83d4,385,6.22888,704947177937.0,0.34973,0.62211,5.794919999999999,0.43396,15,1,0.3573199999999999,0.67752,1,0.38733,0.6409699999999999,12.82468,0.93744,1,0.63847,0.6453899999999999,15.35982,0.93744,1,0,0.0,10,3.30093,1,3.12621,1,29.10752,196.57841,0.0,410,1901
1298,2,2,1f044771-c9591ca5-fa1a930f-1b4057c7-9b6c83d4,435,7.035769999999999,704955246703.0,0.36284,0.6168899999999999,6.53796,0.4978,16,1,0.38281,0.60849,1,0.38011,0.64493,14.9221,0.90215,1,0.63143,0.6462,14.98344,0.90925,1,0,0.0,11,3.05426,1,3.02328,1,25.79474,12.62418,0.0,485,1885
