,SESSION_ID,MEDIA_ID,DICOM_ID,CNT,Time (in secs),TIMETICK(f=10000000),FPOGX,FPOGY,FPOGS,FPOGD,FPOGID,FPOGV,BPOGX,BPOGY,BPOGV,LPCX,LPCY,LPD,LPS,LPV,RPCX,RPCY,RPD,RPS,RPV,BKID,BKDUR,BKPMIN,LPMM,LPMMV,RPMM,RPMMV,SACCADE_MAG,SACCADE_DIR,VID_FRAME,X_ORIGINAL,Y_ORIGINAL
13757,12,6,24c20c2c-b1e49685-e1dacb49-c2e7a7eb-35094390,1,0.01581,3871112163825.0,0.56529,0.73588,0.0,0.01581,1,1,0.4210899999999999,0.72253,1,0.12422,0.43062,19.69103,0.93963,1,0.63179,0.4901899999999999,17.85967,0.94491,1,0,0.0,5,3.31851,1,3.04025,1,23.5829,173.34663,0.0,1646,2248
13758,12,6,24c20c2c-b1e49685-e1dacb49-c2e7a7eb-35094390,20,0.3291,3871115296591.0,0.4424899999999999,0.65946,0.0812399999999999,0.24786,2,1,0.5020899999999999,0.48717,1,0.12852,0.41244,19.01171,0.96585,1,0.63372,0.47256,18.301070000000006,0.96585,1,0,0.0,5,3.3945300000000005,1,3.05691,1,249.80406,160.70735,0.0,942,2015
13759,12,6,24c20c2c-b1e49685-e1dacb49-c2e7a7eb-35094390,29,0.47717,3871116777129.0,0.50632,0.49945,0.39453,0.0826399999999999,3,1,0.50878,0.50589,0,0.6318,0.4655399999999999,13.93814,0.96057,0,0.63356,0.4702199999999999,17.087320000000002,0.96585,0,0,0.0,5,4.02418,0,3.00491,0,211.85597,54.65657,0.0,1308,1526
13760,12,6,24c20c2c-b1e49685-e1dacb49-c2e7a7eb-35094390,55,0.9223,3871121228529.0,0.54785,0.31828,0.70831,0.21399,4,1,0.5491699999999999,0.30455,1,0.14052,0.39649,20.21887000000001,0.98898,1,0.6446,0.45958,18.89028,0.9832,1,0,0.0,6,3.67882,1,3.58182,1,211.28735,67.82791,0.0,1546,972
13761,12,6,24c20c2c-b1e49685-e1dacb49-c2e7a7eb-35094390,69,1.15363,3871123542142.0,0.4441199999999999,0.34329,0.93854,0.21509,5,1,0.40944,0.36951,1,0.1284799999999999,0.39935,20.25727,0.97742,1,0.63348,0.4606699999999999,18.36509,0.97163,1,0,0.0,6,3.71687,1,3.54901,1,200.98497,187.72348,0.0,951,1049
13762,12,6,24c20c2c-b1e49685-e1dacb49-c2e7a7eb-35094390,92,1.5336299999999998,3871127341744.0,0.5269699999999999,0.46145,1.21912,0.31451,6,1,0.52972,0.6107199999999999,1,0.136,0.41344,20.502270000000006,0.94473,1,0.6410100000000001,0.47578,19.07737,0.94473,1,0,0.0,6,3.49893,1,3.24203,1,203.9337,321.26227,0.0,1426,1410
13763,12,6,24c20c2c-b1e49685-e1dacb49-c2e7a7eb-35094390,109,1.81281,3871130133476.0,0.56605,0.60611,1.54877,0.26404,7,1,0.64341,0.66106,1,0.1459099999999999,0.42178,20.44958,0.95535,1,0.6511399999999999,0.48622,18.97079,0.96641,1,0,0.0,6,3.66225,1,3.14534,1,173.31679,295.65347,0.0,1650,1852
13764,12,6,24c20c2c-b1e49685-e1dacb49-c2e7a7eb-35094390,137,2.27411,3871134746940.0,0.6319100000000001,0.6434300000000001,1.82928,0.44482,8,1,0.58026,0.4655399999999999,1,0.13759,0.40553,19.98376,0.9612,1,0.6411,0.4703600000000001,18.12371,0.96698,1,0,0.0,6,3.40315,1,3.20311,1,132.71942,342.32059,0.0,2028,1966
13765,12,6,24c20c2c-b1e49685-e1dacb49-c2e7a7eb-35094390,155,2.57147,3871137720220.0,0.54756,0.4146,2.34009,0.2313800000000001,9,1,0.5441199999999999,0.30508,1,0.13608,0.39515,20.06064,0.95579,1,0.63878,0.4585,18.48446,0.96685,1,0,0.0,6,3.56467,1,3.49841,1,295.47397,123.2374,0.0,1544,1267
13766,12,6,24c20c2c-b1e49685-e1dacb49-c2e7a7eb-35094390,183,3.03326,3871142338105.0,0.5414899999999999,0.30632,2.63757,0.39569,10,1,0.536,0.42086,1,0.12928,0.40146,20.37236,0.97741,1,0.63427,0.46366,19.54433,0.97163,1,0,0.0,6,3.55181,1,3.3210900000000003,1,117.52167,95.69122,0.0,1509,936
