,SESSION_ID,MEDIA_ID,DICOM_ID,CNT,Time (in secs),TIMETICK(f=10000000),FPOGX,FPOGY,FPOGS,FPOGD,FPOGID,FPOGV,BPOGX,BPOGY,BPOGV,LPCX,LPCY,LPD,LPS,LPV,RPCX,RPCY,RPD,RPS,RPV,BKID,BKDUR,BKPMIN,LPMM,LPMMV,RPMM,RPMMV,SACCADE_MAG,SACCADE_DIR,VID_FRAME,X_ORIGINAL,Y_ORIGINAL
2992,3,12,25c690a5-88479e74-825db19c-64bc889f-ad878087,21,0.34644,4602120029978.0,0.5715399999999999,0.43793,0.0,0.34644,1,1,0.54683,0.5280100000000001,0,0.20845,0.31949,17.86485,0.96598,0,0.64761,0.2892699999999999,14.71875,0.96598,0,213,0.0,8,3.83416,0,2.96054,0,137.86621,326.95465,0.0,1682,1338
2993,3,12,25c690a5-88479e74-825db19c-64bc889f-ad878087,74,1.22009,4602128766672.0,0.5465399999999999,0.24533,0.90723,0.31287,2,1,0.55615,0.12695,1,0.21284,0.30515,19.07487,1.03031,1,0.65358,0.2845,16.66825,1.03807,1,0,0.0,9,3.75826,1,3.50205,1,213.47438,102.99413,0.0,1538,749
2994,3,12,25c690a5-88479e74-825db19c-64bc889f-ad878087,102,1.6816400000000002,4602133382540.0,0.54583,0.18444,1.28601,0.39563,3,1,0.5243800000000001,0.34219,1,0.2190099999999999,0.32115,18.39088,1.00134,1,0.6594800000000001,0.3063599999999999,16.25814,1.0091,1,0,0.0,9,3.57667,1,3.324,1,65.77534,91.18752,0.0,1534,563
2995,3,12,25c690a5-88479e74-825db19c-64bc889f-ad878087,140,2.30823,4602139648921.0,0.51672,0.318,1.69983,0.6084,4,1,0.51007,0.27264,1,0.25766,0.30728,18.60754,1.00134,1,0.69755,0.30676,16.01124,0.99444,1,0,0.0,9,3.74729,1,3.64537,1,154.6945,248.8199,0.0,1367,971
2996,3,12,25c690a5-88479e74-825db19c-64bc889f-ad878087,168,2.77051,4602144270928.0,0.51368,0.2475,2.32471,0.4458,5,1,0.52418,0.18211,1,0.235,0.29991,19.29351,1.03238,1,0.67671,0.29118,17.24524,1.02462,1,0,0.0,9,3.87138,1,3.55085,1,76.36341,94.38369,0.0,1350,756
2997,3,12,25c690a5-88479e74-825db19c-64bc889f-ad878087,182,3.00464,4602146612668.0,0.54569,0.32761,2.7869900000000003,0.21765,6,1,0.53537,0.37659,1,0.2414599999999999,0.29234,18.79315,1.02462,1,0.68457,0.27818,16.7216,1.00996,1,0,0.0,9,3.8398,1,3.3283,1,106.12609,305.38837,0.0,1533,1001
2998,3,12,25c690a5-88479e74-825db19c-64bc889f-ad878087,202,3.33069,4602149872866.0,0.51794,0.42571,3.01746,0.31323,7,1,0.50031,0.41595,1,0.2443,0.2967,18.37329,0.97978,1,0.6875100000000001,0.2862,16.72498,0.98668,1,0,0.0,9,3.76289,1,3.2779300000000005,1,118.59067,243.30267,0.0,1374,1300
2999,3,12,25c690a5-88479e74-825db19c-64bc889f-ad878087,219,3.61133,4602152678987.0,0.49116,0.31577,3.34705,0.26428,8,1,0.50969,0.2106,1,0.24669,0.29299,18.38198,1.0091,1,0.6906,0.28371,16.20851,1.0091,1,0,0.0,9,3.67267,1,3.5520400000000003,1,129.39015,113.41472,0.0,1221,964
3000,3,12,25c690a5-88479e74-825db19c-64bc889f-ad878087,268,4.42053,4602160771507.0,0.51579,0.20955,3.62732,0.7932100000000001,9,1,0.5556800000000001,0.14848,1,0.25416,0.29562,19.608970000000006,1.0091,1,0.69748,0.2853199999999999,16.94398,1.01686,1,0,0.0,9,4.05363,1,3.59961,1,124.08234,67.59728,0.0,1362,640
3001,3,12,25c690a5-88479e74-825db19c-64bc889f-ad878087,314,5.1781,4602168347738.0,0.5432600000000001,0.18565,4.43542,0.74268,10,1,0.55018,0.1585,1,0.25738,0.2891,19.59798,1.02463,1,0.69895,0.27128,17.53575,1.02463,1,0,0.0,9,3.92962,1,3.60774,1,58.71986999999999,26.07699,0.0,1520,567
