,SESSION_ID,MEDIA_ID,DICOM_ID,CNT,Time (in secs),TIMETICK(f=10000000),FPOGX,FPOGY,FPOGS,FPOGD,FPOGID,FPOGV,BPOGX,BPOGY,BPOGV,LPCX,LPCY,LPD,LPS,LPV,RPCX,RPCY,RPD,RPS,RPV,BKID,BKDUR,BKPMIN,LPMM,LPMMV,RPMM,RPMMV,SACCADE_MAG,SACCADE_DIR,VID_FRAME,X_ORIGINAL,Y_ORIGINAL
31116,26,11,2626db88-29e0af20-d8e5a5af-d6997170-e580a9bd,4,0.06531,1979211259098.0,0.6161,0.234,0.0,0.06531,1,1,0.54711,0.27042,0,0.7338899999999999,0.5776399999999999,8.80417,0.9471,0,0.73693,0.57717,15.00978,0.9471,0,0,0.0,9,2.82941,0,3.2535,0,30.36588,195.64,0.0,1937,715
31117,26,11,2626db88-29e0af20-d8e5a5af-d6997170-e580a9bd,56,0.90564,1979219663016.0,0.47289,0.50649,0.37585,0.52979,2,1,0.49238,0.4562100000000001,1,0.4532600000000001,0.56401,18.65459,1.01269,1,0.73731,0.58786,17.69949,1.00603,1,0,0.0,10,3.94555,1,3.72859,1,402.75415,226.94443,0.0,1116,1547
31118,26,11,2626db88-29e0af20-d8e5a5af-d6997170-e580a9bd,86,1.39124,1979224518380.0,0.47289,0.4644,0.92371,0.46753,3,1,0.5139,0.44748,1,0.4569399999999999,0.56658,18.973370000000006,1.01352,1,0.74119,0.59104,17.55708,1.01352,1,0,0.0,10,3.7645,1,3.71545,1,45.45721,90.0,0.0,1116,1419
31119,26,11,2626db88-29e0af20-d8e5a5af-d6997170-e580a9bd,116,1.87646,1979229371398.0,0.50151,0.47528,1.40845,0.46802,4,1,0.48333,0.39651,1,0.46105,0.56297,18.8352,0.99394,1,0.74429,0.58899,17.340889999999998,0.98728,1,0,0.0,10,3.98059,1,3.78747,1,56.19272,347.9299,0.0,1280,1452
31120,26,11,2626db88-29e0af20-d8e5a5af-d6997170-e580a9bd,136,2.20007,1979232606817.0,0.4770899999999999,0.37115,1.89282,0.30725,5,1,0.49107,0.31751,1,0.46016,0.56033,18.85396,0.9996,1,0.74398,0.5865600000000001,17.34215,0.99357,1,0,0.0,10,4.00482,1,4.3270800000000005,1,121.84283,112.63198,0.0,1140,1134
31121,26,11,2626db88-29e0af20-d8e5a5af-d6997170-e580a9bd,151,2.44214,1979235028198.0,0.48525,0.4138699999999999,2.21655,0.22559,6,1,0.48166,0.54037,1,0.45807,0.56488,20.12081,0.98181,1,0.7419899999999999,0.59018,18.860570000000006,0.98181,1,0,0.0,10,3.69204,1,3.70945,1,48.72517,288.7562,0.0,1187,1264
31122,26,11,2626db88-29e0af20-d8e5a5af-d6997170-e580a9bd,171,2.76575,1979238264468.0,0.4836399999999999,0.55025,2.45837,0.30737,7,1,0.4706,0.586,1,0.45461,0.56563,21.02246,0.97497,1,0.7391399999999999,0.58901,19.32645,0.98163,1,0,0.0,10,3.7453,1,3.62056,1,147.32285,268.7977,0.0,1178,1681
31123,26,11,2626db88-29e0af20-d8e5a5af-d6997170-e580a9bd,190,3.07288,1979241335731.0,0.45807,0.64983,2.78174,0.29114,8,1,0.45575,0.36514,1,0.45797,0.5612,18.6771,0.98062,1,0.74198,0.58596,17.49935,0.98062,1,0,0.0,10,3.85269,1,3.64665,1,118.22215,245.46358,0.0,1031,1985
31124,26,11,2626db88-29e0af20-d8e5a5af-d6997170-e580a9bd,238,3.84985,1979249104660.0,0.47797,0.34552,3.13782,0.71204,9,1,0.46812,0.20931,1,0.4578100000000001,0.55893,18.3149,1.0006,1,0.74271,0.58377,17.99344,0.99394,1,0,0.0,10,4.08936,1,3.92383,1,330.86829,83.36881,0.0,1145,1055
31125,26,11,2626db88-29e0af20-d8e5a5af-d6997170-e580a9bd,258,4.17346,1979252340879.0,0.48566,0.23087,3.86609,0.30737,10,1,0.49435,0.19768,1,0.4550399999999999,0.55857,19.68419,0.98062,1,0.74016,0.5805899999999999,17.05264,0.97459,1,0,0.0,10,4.19134,1,3.4687900000000003,1,124.69917,83.20005,0.0,1189,705
31126,26,11,2626db88-29e0af20-d8e5a5af-d6997170-e580a9bd,278,4.49792,1979255586318.0,0.48603,0.26227,4.18945,0.3084699999999999,11,1,0.47813,0.37969,1,0.45387,0.56134,20.53065,0.95651,1,0.73859,0.58514,17.83675,0.95651,1,0,0.0,10,3.99646,1,3.94893,1,33.91946,271.20016,0.0,1191,801
31127,26,11,2626db88-29e0af20-d8e5a5af-d6997170-e580a9bd,301,4.87415,1979259348542.0,0.4658,0.36745,4.5145300000000015,0.35962,12,1,0.39432,0.42986,1,0.4516,0.5616399999999999,20.74831,0.99458,1,0.7367600000000001,0.58518,18.76763,0.98189,1,0,0.0,10,4.02302,1,3.81724,1,120.05148,251.12277000000003,0.0,1075,1122
31128,26,11,2626db88-29e0af20-d8e5a5af-d6997170-e580a9bd,323,5.22473,1979262853992.0,0.39551,0.46695,4.88611,0.33862,13,1,0.36261,0.50259,1,0.44759,0.56352,19.83147,0.97497,1,0.73228,0.58563,18.2867,0.97497,1,0,0.0,10,3.8647,1,3.47216,1,172.51376000000005,218.52872,0.0,672,1426
31129,26,11,2626db88-29e0af20-d8e5a5af-d6997170-e580a9bd,340,5.50049,1979265611923.0,0.34134,0.5260100000000001,5.24084,0.25964,14,1,0.30587,0.6169600000000001,1,0.4432899999999999,0.56511,19.72012,0.96931,1,0.72742,0.58607,18.61816,0.96931,1,0,0.0,10,3.73827,1,3.5334800000000004,1,122.00745,211.51985,0.0,362,1607
31130,26,11,2626db88-29e0af20-d8e5a5af-d6997170-e580a9bd,376,6.08337,1979271440279.0,0.2942099999999999,0.63867,5.51538,0.56799,15,1,0.29244,0.6705399999999999,1,0.44103,0.56628,19.62696,1.0006,1,0.7245199999999999,0.58562,18.03399,0.99394,1,0,0.0,10,3.7522,1,3.61476,1,151.6333,233.36136,0.0,92,1951
