,SESSION_ID,MEDIA_ID,DICOM_ID,CNT,Time (in secs),TIMETICK(f=10000000),FPOGX,FPOGY,FPOGS,FPOGD,FPOGID,FPOGV,BPOGX,BPOGY,BPOGV,LPCX,LPCY,LPD,LPS,LPV,RPCX,RPCY,RPD,RPS,RPV,BKID,BKDUR,BKPMIN,LPMM,LPMMV,RPMM,RPMMV,SACCADE_MAG,SACCADE_DIR,VID_FRAME,X_ORIGINAL,Y_ORIGINAL
19563,16,9,27d78392-c6742897-792df26a-12210f36-65052f2f,9,0.14841,294821454127.0,0.30598,0.18224,0.0,0.14841,1,1,0.34806,0.373,0,0.29711,0.51655,11.50842,0.99274,0,0.58243,0.50967,18.92897,0.9862,0,106,0.0,12,2.80965,0,3.73834,0,6.33723,302.84131,0.0,159,556
19564,16,9,27d78392-c6742897-792df26a-12210f36-65052f2f,42,0.68011,294826771166.0,0.47773,0.47966,0.40817,0.27194,2,1,0.5193399999999999,0.4340100000000001,1,0.30675,0.51355,21.36301,0.99274,1,0.5920300000000001,0.51343,19.8871,0.9862,1,0,0.0,13,3.97207,1,3.5163800000000003,1,460.34753,315.7522,0.0,1144,1465
19565,16,9,27d78392-c6742897-792df26a-12210f36-65052f2f,61,0.98657,294829835728.0,0.5543600000000001,0.45032,0.6955,0.29108,3,1,0.57957,0.4736800000000001,1,0.3064699999999999,0.51494,18.70867,0.98028,1,0.5917100000000001,0.51477,16.471870000000006,0.97436,1,0,0.0,13,3.45255,1,3.1351400000000003,1,150.50298999999995,12.1541,0.0,1583,1376
19566,16,9,27d78392-c6742897-792df26a-12210f36-65052f2f,80,1.29398,294832909869.0,0.56006,0.4848,1.0028700000000002,0.29111,4,1,0.46096,0.52537,1,0.30826,0.50772,19.0227,0.93924,1,0.59328,0.51012,18.14948,0.93924,1,0,0.0,13,3.5328800000000005,1,3.2275,1,38.81327,286.37769,0.0,1616,1481
19567,16,9,27d78392-c6742897-792df26a-12210f36-65052f2f,99,1.60138,294835983797.0,0.4476699999999999,0.48455,1.31046,0.2909199999999999,5,1,0.40085,0.44972,1,0.30391,0.5070399999999999,19.79547,0.97509,1,0.58929,0.5088,18.61298,0.97509,1,0,0.0,13,3.64856,1,3.4386400000000004,1,215.78893,179.92831,0.0,971,1480
19568,16,9,27d78392-c6742897-792df26a-12210f36-65052f2f,114,1.84448,294838414791.0,0.4699399999999999,0.41913,1.61768,0.2268099999999999,6,1,0.52265,0.38483,1,0.30803,0.50495,20.77687,1.0055,1,0.5918899999999999,0.50683,19.12831,1.0055,1,0,0.0,13,3.80773,1,3.48215,1,82.58457,58.81839,0.0,1099,1280
19569,16,9,27d78392-c6742897-792df26a-12210f36-65052f2f,134,2.16745,294841644622.0,0.54432,0.38921,1.86014,0.3073099999999999,7,1,0.60916,0.46648,1,0.3149699999999999,0.50851,19.73935,0.9862,1,0.59813,0.51239,18.52617,0.9862,1,0,0.0,13,3.81282,1,3.33989,1,146.41975,12.74966,0.0,1526,1189
19570,16,9,27d78392-c6742897-792df26a-12210f36-65052f2f,152,2.45895,294844559504.0,0.57285,0.46529,2.18353,0.27542,8,1,0.47047,0.51954,1,0.3058,0.50763,20.30397,0.98038,1,0.58923,0.50875,18.1322,0.98038,1,0,0.0,13,3.8583,1,3.40501,1,98.75175,303.69006,0.0,1689,1421
19571,16,9,27d78392-c6742897-792df26a-12210f36-65052f2f,167,2.70105,294846980749.0,0.4977399999999999,0.41603,2.4762,0.22485,9,1,0.4951899999999999,0.27113,1,0.29979,0.50536,21.46287,0.9862,1,0.5827600000000001,0.50462,18.71767,0.9862,1,0,0.0,13,3.84106,1,3.63184,1,153.71133,159.7505,0.0,1259,1271
19572,16,9,27d78392-c6742897-792df26a-12210f36-65052f2f,175,2.83102,294848280379.0,0.49873,0.3303,2.71735,0.1136799999999999,10,1,0.5101399999999999,0.35256,0,0.56193,0.47897,9.62013,0.9862,0,0.5828,0.50461,18.92806,0.9862,0,0,0.0,13,2.8313,0,3.42252,0,92.60789,88.82394000000002,0.0,1264,1009
19573,16,9,27d78392-c6742897-792df26a-12210f36-65052f2f,214,3.46121,294854582192.0,0.56593,0.30543,3.1434900000000003,0.31772,11,1,0.62052,0.379,1,0.3073599999999999,0.50955,20.27426,1.00583,1,0.59141,0.51027,18.43598,0.99928,1,0,0.0,14,3.85045,1,3.60863,1,131.7901,11.75962,0.0,1649,933
19574,16,9,27d78392-c6742897-792df26a-12210f36-65052f2f,241,3.89832,294858953411.0,0.62035,0.36668,3.47745,0.4208699999999999,12,1,0.62469,0.31528,1,0.31027,0.50893,20.76304,1.01847,1,0.59448,0.51052,18.77789,1.02501,1,0,0.0,14,3.77267,1,3.54601,1,123.66586,327.66223,0.0,1961,1120
19575,16,9,27d78392-c6742897-792df26a-12210f36-65052f2f,254,4.10843,294861054327.0,0.4588899999999999,0.4460199999999999,3.91443,0.194,13,1,0.39991,0.52785,1,0.30009,0.51393,19.75054,0.96292,1,0.5846,0.51368,18.69716,0.96292,1,0,0.0,14,3.68679,1,3.37437,1,321.62759,195.4512,0.0,1036,1363
19576,16,9,27d78392-c6742897-792df26a-12210f36-65052f2f,288,4.65826,294866552865.0,0.39787,0.48481,4.12445,0.53381,14,1,0.5245,0.4362399999999999,1,0.30359,0.5125,19.5831,0.9862,1,0.58813,0.51276,17.6563,0.99274,1,0,0.0,14,3.66822,1,3.3754699999999995,1,124.42318,199.67589,0.0,686,1481
19577,16,9,27d78392-c6742897-792df26a-12210f36-65052f2f,308,4.9819900000000015,294869790126.0,0.48343,0.4746,4.72375,0.25824,15,1,0.39763,0.50075,1,0.30071,0.5119199999999999,19.70238,0.98182,1,0.58507,0.51156,17.65259,0.97528,1,0,0.0,14,3.69777,1,3.35244,1,164.64487,3.84016,0.0,1177,1450
19578,16,9,27d78392-c6742897-792df26a-12210f36-65052f2f,334,5.40692,294874039262.0,0.39393,0.5151,4.99796,0.40897,16,1,0.31755,0.53613,0,0.29611,0.51699,11.23117,0.96292,0,0.5796399999999999,0.5125,18.02186,0.96292,0,108,0.0,14,2.80668,0,3.3012,0,177.31943,194.28075,0.0,663,1574
19579,16,9,27d78392-c6742897-792df26a-12210f36-65052f2f,393,6.35663,294883536401.0,0.38579,0.45507,5.66171,0.69492,17,1,0.3993,0.32648,1,0.29003,0.51121,20.73018,0.9862,1,0.57386,0.50702,18.5991,0.9862,1,0,0.0,15,3.85294,1,3.57703,1,66.68956999999999,103.55339,0.0,617,1390
19580,16,9,27d78392-c6742897-792df26a-12210f36-65052f2f,416,6.7290300000000025,294887260374.0,0.41939,0.2702,6.42139,0.30765,18,1,0.39298,0.53993,1,0.29345,0.5143300000000001,21.15888,0.9862,1,0.57727,0.51,18.57881,0.9862,1,0,0.0,14,4.42812,1,3.91231,1,209.8231,72.09385,0.0,809,825
19581,16,9,27d78392-c6742897-792df26a-12210f36-65052f2f,435,7.0358899999999975,294890328962.0,0.3903,0.52181,6.79358,0.24231,19,1,0.39652,0.5089899999999999,1,0.28975,0.51618,21.75298,0.98038,1,0.5746600000000001,0.51156,19.62361,0.98038,1,0,0.0,14,3.91373,1,3.56382,1,277.41937,258.38528,0.0,643,1594
19582,16,9,27d78392-c6742897-792df26a-12210f36-65052f2f,476,7.69901,294896960054.0,0.41244,0.47517,7.35049,0.34851,20,1,0.6069,0.47555,1,0.30236,0.51447,19.22897,0.99928,1,0.58645,0.51394,18.12553,1.00583,1,0,0.0,15,4.12662,1,3.41712,1,65.91096999999999,49.83863,0.0,770,1452
19583,16,9,27d78392-c6742897-792df26a-12210f36-65052f2f,505,8.16803,294901650471.0,0.66141,0.4790899999999999,7.764310000000001,0.4037199999999999,21,1,0.46755,0.48927,1,0.29616,0.51541,19.37057,0.9862,1,0.5795899999999999,0.5121399999999999,16.73016,0.9862,1,0,0.0,15,3.4984300000000004,1,3.06623,1,478.04102,359.49258,0.0,2197,1464
19584,16,9,27d78392-c6742897-792df26a-12210f36-65052f2f,527,8.52435,294905213589.0,0.43683,0.4818699999999999,8.23282,0.29153,22,1,0.38455,0.4876,1,0.28876,0.5183300000000001,19.10789,0.976,1,0.57323,0.51308,17.82297,0.98255,1,0,0.0,15,3.59714,1,3.3154800000000004,1,431.20392,180.39896,0.0,909,1472
19585,16,9,27d78392-c6742897-792df26a-12210f36-65052f2f,541,8.75027,294907472773.0,0.4527100000000001,0.40004,8.54065,0.20963,23,1,0.4844699999999999,0.39169,1,0.29578,0.51372,20.1417,0.97456,1,0.57997,0.51068,18.29839,0.97456,1,0,0.0,15,3.63372,1,3.3637,1,93.48798,70.96574,0.0,1000,1222
19586,16,9,27d78392-c6742897-792df26a-12210f36-65052f2f,557,9.00952,294910065173.0,0.5305,0.41645,8.766630000000001,0.24289,24,1,0.67064,0.51339,1,0.30483,0.51758,19.53703,0.9862,1,0.58853,0.5161,17.52325,0.9862,1,0,0.0,15,3.64878,1,3.45298,1,150.40463,353.23288,0.0,1446,1272
19587,16,9,27d78392-c6742897-792df26a-12210f36-65052f2f,575,9.30038,294912974064.0,0.60743,0.51136,9.07397,0.22641,25,1,0.42643,0.5031899999999999,1,0.2931,0.51545,20.10332,0.97517,1,0.57726,0.5118,18.06945,0.97517,1,0,0.0,15,3.70755,1,3.32471,1,179.78815,325.2406299999999,0.0,1887,1562
19588,16,9,27d78392-c6742897-792df26a-12210f36-65052f2f,596,9.64151,294916385336.0,0.4174600000000001,0.5071100000000001,9.36551,0.276,26,1,0.38006,0.4665399999999999,0,0.28931,0.5088699999999999,11.50731,0.9862,0,0.5763,0.51362,6.982889999999999,0.9862,0,110,0.0,15,3.7441,0,1.93339,0,364.7713,179.27901,0.0,798,1549
19589,16,9,27d78392-c6742897-792df26a-12210f36-65052f2f,639,10.33597,294923329931.0,0.40024,0.4708,9.90091,0.4350600000000001,27,1,0.38523,0.5375300000000001,1,0.28761,0.5189600000000001,19.25089,0.95098,1,0.5726100000000001,0.5138199999999999,18.02281,0.95098,1,0,0.0,16,3.70489,1,3.24846,1,51.29247,130.1346,0.0,700,1438
19590,16,9,27d78392-c6742897-792df26a-12210f36-65052f2f,655,10.5943,294925913099.0,0.39973,0.4820399999999999,10.35168,0.24261,28,1,0.57522,0.0546899999999999,0,0.2876,0.52412,11.90865,0.9862,0,0.57207,0.51047,16.95664,0.9862,0,0,0.0,16,3.1138,0,4.35885,0,12.17862,265.38803,0.0,697,1473
19591,16,9,27d78392-c6742897-792df26a-12210f36-65052f2f,685,11.07944,294930764542.0,0.39776,0.43349,10.85373,0.22571,29,1,0.40029,0.3924,1,0.28506,0.51885,20.21214,0.99274,1,0.56979,0.51298,18.68253,0.99928,1,0,0.0,17,3.78773,1,3.56221,1,52.57023,94.12591,0.0,685,1324
19592,16,9,27d78392-c6742897-792df26a-12210f36-65052f2f,705,11.40372,294934007367.0,0.40328,0.34425,11.09625,0.30746,30,1,0.43404,0.22194,1,0.28564,0.51179,20.20522,0.97249,1,0.56968,0.50594,18.52318,0.97249,1,0,0.0,17,3.93699,1,3.81571,1,96.96022,83.72466,0.0,717,1052
19593,16,9,27d78392-c6742897-792df26a-12210f36-65052f2f,724,11.71219,294937092089.0,0.48848,0.2243,11.46768,0.2445099999999999,31,1,0.62364,0.2539,1,0.297,0.51118,21.69112,1.01193,1,0.58105,0.50789,19.24534,1.01193,1,0,0.0,17,3.7825,1,3.67573,1,208.66692,38.37653,0.0,1205,685
19594,16,9,27d78392-c6742897-792df26a-12210f36-65052f2f,744,12.03372,294940307356.0,0.63757,0.29106,11.72714,0.30658,32,1,0.67707,0.28242,1,0.29988,0.51261,21.61094,1.00632,1,0.58419,0.5099199999999999,18.84475,1.00632,1,0,0.0,17,3.90259,1,3.73847,1,295.19348,345.86252,0.0,2060,889
