,SESSION_ID,MEDIA_ID,DICOM_ID,CNT,Time (in secs),TIMETICK(f=10000000),FPOGX,FPOGY,FPOGS,FPOGD,FPOGID,FPOGV,BPOGX,BPOGY,BPOGV,LPCX,LPCY,LPD,LPS,LPV,RPCX,RPCY,RPD,RPS,RPV,BKID,BKDUR,BKPMIN,LPMM,LPMMV,RPMM,RPMMV,SACCADE_MAG,SACCADE_DIR,VID_FRAME,X_ORIGINAL,Y_ORIGINAL
27456,23,8,35b38176-7166305c-c32a6a5a-dfa23c24-9f6e2f16,6,0.10069,7176574156539.0,0.5056,0.44788,0.0,0.1007,1,1,0.4855399999999999,0.57876,0,0.31161,0.1223099999999999,15.61161,0.94305,0,0.60136,0.1411099999999999,20.676,0.94305,0,42,0.0,10,3.87491,0,4.39866,0,2.61845,238.62602,0.0,1304,1368
27457,23,8,35b38176-7166305c-c32a6a5a-dfa23c24-9f6e2f16,40,0.6460600000000001,7176579610204.0,0.5080899999999999,0.41021,0.3115199999999999,0.33453,2,1,0.5708300000000001,0.46575,1,0.31876,0.12453,22.20778,0.95009,1,0.60927,0.14902,20.54772,0.94418,1,0,0.0,11,3.99744,1,3.68348,1,40.96351,83.29769,0.0,1318,1253
27458,23,8,35b38176-7166305c-c32a6a5a-dfa23c24-9f6e2f16,57,0.92192,7176582368821.0,0.59731,0.4990199999999999,0.66537,0.25655,3,1,0.64749,0.50856,1,0.32774,0.1265599999999999,19.90901,0.98429,1,0.61741,0.15405,17.47524,0.9902,1,0,0.0,11,3.58827,1,3.4207400000000003,1,196.32663,330.75488,0.0,1829,1525
27459,23,8,35b38176-7166305c-c32a6a5a-dfa23c24-9f6e2f16,107,1.7308,7176590457621.0,0.63743,0.53585,0.93816,0.79265,4,1,0.55098,0.49828,1,0.33257,0.12134,18.55559,0.95654,1,0.62051,0.15213,17.709229999999994,0.95654,1,0,0.0,11,3.51185,1,3.3139300000000005,1,86.69398000000002,332.68939,0.0,2059,1637
27460,23,8,35b38176-7166305c-c32a6a5a-dfa23c24-9f6e2f16,126,2.03806,7176593530195.0,0.5395399999999999,0.45137,1.74945,0.2886,5,1,0.52999,0.4190899999999999,1,0.32921,0.11868,19.31281,0.97257,1,0.6179399999999999,0.1485,17.68648,0.96129,1,0,0.0,11,3.5628300000000004,1,3.55806,1,208.92395,154.10608,0.0,1498,1379
27461,23,8,35b38176-7166305c-c32a6a5a-dfa23c24-9f6e2f16,144,2.32875,7176596437083.0,0.55795,0.4607,2.0541400000000003,0.2746099999999999,6,1,0.64793,0.58286,1,0.33414,0.12607,19.04881,0.91681,1,0.62321,0.15638,16.57179,0.90553,1,0,0.0,11,3.30471,1,3.41004,1,36.75547,344.08884,0.0,1604,1407
27462,23,8,35b38176-7166305c-c32a6a5a-dfa23c24-9f6e2f16,167,2.70018,7176600151428.0,0.6218899999999999,0.54806,2.39326,0.3069199999999999,7,1,0.53908,0.50898,1,0.3283,0.12457,18.98208,0.95066,1,0.6185,0.15365,17.666829999999994,0.95066,1,0,0.0,11,3.39734,1,3.30124,1,154.83178999999996,322.45654,0.0,1970,1674
27463,23,8,35b38176-7166305c-c32a6a5a-dfa23c24-9f6e2f16,197,3.18575,7176605007087.0,0.53358,0.47558,2.7164,0.46935,8,1,0.50534,0.49231,1,0.32795,0.12361,17.9332,0.97838,1,0.6177600000000001,0.15214,17.08511,0.98429,1,0,0.0,11,3.38324,1,3.2256,1,186.75241,155.21868999999995,0.0,1464,1453
27464,23,8,35b38176-7166305c-c32a6a5a-dfa23c24-9f6e2f16,226,3.65573,7176609706841.0,0.4963,0.46892,3.20163,0.4541,9,1,0.50242,0.43775,1,0.32084,0.12185,17.96327,0.93827,1,0.6108600000000001,0.1481,16.9231,0.94418,1,0,0.0,11,3.54672,1,3.29964,1,71.93813,174.26163,0.0,1250,1433
27465,23,8,35b38176-7166305c-c32a6a5a-dfa23c24-9f6e2f16,241,3.8973800000000014,7176612123374.0,0.53578,0.4957899999999999,3.67122,0.2261699999999999,10,1,0.5515800000000001,0.5431199999999999,1,0.32527,0.12554,18.75695,0.91087,1,0.6151,0.15279,17.5065,0.91087,1,0,0.0,11,3.4237,1,3.33286,1,81.16665,339.05136,0.0,1477,1515
