,SESSION_ID,MEDIA_ID,DICOM_ID,CNT,Time (in secs),TIMETICK(f=10000000),FPOGX,FPOGY,FPOGS,FPOGD,FPOGID,FPOGV,BPOGX,BPOGY,BPOGV,LPCX,LPCY,LPD,LPS,LPV,RPCX,RPCY,RPD,RPS,RPV,BKID,BKDUR,BKPMIN,LPMM,LPMMV,RPMM,RPMMV,SACCADE_MAG,SACCADE_DIR,VID_FRAME,X_ORIGINAL,Y_ORIGINAL
34969,29,15,41183cc7-29fa548f-28a3348b-7ab3dfc8-162c2882,23,0.37253,554577186725.0,0.4874600000000001,0.47761,0.0,0.37253,1,1,0.51447,0.59954,0,0.2451699999999999,0.20267,14.5869,0.99436,0,0.74822,0.12099,6.22604,0.99436,0,0,0.0,4,3.73129,0,1.95296,0,34.30781,252.10684,0.0,1200,1459
34970,29,15,41183cc7-29fa548f-28a3348b-7ab3dfc8-162c2882,55,0.9002399999999999,554582463978.0,0.38811,0.4182,0.68814,0.2121,2,1,0.3304,0.7145100000000001,1,0.24092,0.2195599999999999,22.7257,0.96336,1,0.7079300000000001,0.18642,20.4346,0.97594,1,0,0.0,5,4.22238,1,3.82086,1,201.25401,161.40872,0.0,630,1278
34971,29,15,41183cc7-29fa548f-28a3348b-7ab3dfc8-162c2882,90,1.47726,554588234187.0,0.30781,0.72568,0.97928,0.49799,3,1,0.61711,0.70309,1,0.25322,0.2223099999999999,22.45223,0.94332,1,0.72051,0.19142,20.16359,0.94332,1,0,0.0,5,4.72872,1,4.25749,1,366.12332,245.0957,0.0,170,2217
34972,29,15,41183cc7-29fa548f-28a3348b-7ab3dfc8-162c2882,126,2.07669,554594228099.0,0.68979,0.72288,1.54349,0.5332,4,1,0.53479,0.70633,1,0.26792,0.22039,22.92769,0.96174,1,0.73347,0.1959,20.27986,0.96174,1,0,0.0,5,4.47012,1,4.10875,1,733.4078400000003,0.23624,0.0,2360,2209
34973,29,15,41183cc7-29fa548f-28a3348b-7ab3dfc8-162c2882,176,2.89908,554602452193.0,0.29998,0.72527,2.13828,0.7608,5,1,0.37375,0.5935,1,0.2557,0.21565,24.24342,0.95137,1,0.72125,0.18946,21.98677,0.95733,1,0,0.0,5,4.50124,1,4.17919,1,748.4397,180.1976,0.0,125,2216
34974,29,15,41183cc7-29fa548f-28a3348b-7ab3dfc8-162c2882,201,3.30746,554606536193.0,0.37931,0.46041,2.96555,0.34192,6,1,0.5907100000000001,-0.4597699999999999,0,0.27478,0.17264,12.25083,0.96788,0,0.71705,0.18181,14.84955,0.96788,0,0,0.0,5,3.9006,0,4.06019,0,324.07303,61.96585,0.0,580,1407
34975,29,15,41183cc7-29fa548f-28a3348b-7ab3dfc8-162c2882,233,3.84012,554611862574.0,0.36924,0.42644,3.62137,0.21875,7,1,0.40213,0.2946,1,0.23808,0.2235,24.27005,0.98153,1,0.70423,0.18683,22.81197,0.98153,1,0,0.0,6,4.52979,1,4.30058,1,41.47046,117.78928,0.0,522,1303
34976,29,15,41183cc7-29fa548f-28a3348b-7ab3dfc8-162c2882,250,4.11874,554614648769.0,0.37049,0.36186,3.85275,0.26599,8,1,0.35068,0.4123600000000001,1,0.23638,0.22495,22.44965,0.94994,1,0.70362,0.18807,21.33324,0.94332,1,0,0.0,6,4.07232,1,3.97368,1,69.78768000000001,88.02919,0.0,529,1105
34977,29,15,41183cc7-29fa548f-28a3348b-7ab3dfc8-162c2882,278,4.59152,554619376736.0,0.287,0.68015,4.181369999999999,0.41016,9,1,0.30783,0.7154699999999999,1,0.2399,0.23075,23.23054,0.97546,1,0.70614,0.19422,21.60626,0.96884,1,0,0.0,6,4.34448,1,3.98559,1,379.29224,244.99916,0.0,50,2078
34978,29,15,41183cc7-29fa548f-28a3348b-7ab3dfc8-162c2882,305,5.03641,554623825729.0,0.30196,0.68235,4.5963400000000005,0.4400600000000001,10,1,0.38247,0.65979,1,0.24394,0.2251,23.54769,0.96925,1,0.70975,0.19022,21.80879,0.96925,1,0,0.0,6,4.42292,1,4.11045,1,28.82131,355.27115,0.0,136,2085
34979,29,15,41183cc7-29fa548f-28a3348b-7ab3dfc8-162c2882,322,5.304469999999999,554626506406.0,0.36851,0.5785600000000001,5.04056,0.26392,11,1,0.4109600000000001,0.41849,1,0.24715,0.218,23.24683,0.98221,1,0.71228,0.18385,21.90815,0.98883,1,0,0.0,6,4.39705,1,4.12582,1,169.97527,41.25929,0.0,518,1768
34980,29,15,41183cc7-29fa548f-28a3348b-7ab3dfc8-162c2882,345,5.68521,554630313468.0,0.3986,0.3583699999999999,5.36935,0.31586,12,1,0.38023,0.3059,1,0.2478,0.2155,22.43984,0.98353,1,0.7135600000000001,0.18193,21.19999,0.99611,1,0,0.0,6,4.19722,1,3.99555,1,244.72229,76.345,0.0,690,1095
34981,29,15,41183cc7-29fa548f-28a3348b-7ab3dfc8-162c2882,359,5.91678,554632629152.0,0.39365,0.4694899999999999,5.69815,0.21863,13,1,0.3883,0.62042,1,0.24806,0.22368,22.12677,0.96788,1,0.7136399999999999,0.19103,20.4376,0.96788,1,0,0.0,6,4.2019,1,3.90793,1,120.38532,265.47198,0.0,662,1434
34982,29,15,41183cc7-29fa548f-28a3348b-7ab3dfc8-162c2882,390,6.4252,554637713295.0,0.62976,0.52777,6.07956,0.34564,14,1,0.62493,0.32344,1,0.2602,0.21368,22.97984,0.99436,1,0.72659,0.1837,20.52697,0.99436,1,0,0.0,6,4.35645,1,3.90373,1,457.68002,352.09537,0.0,2015,1612
