,SESSION_ID,MEDIA_ID,DICOM_ID,CNT,Time (in secs),TIMETICK(f=10000000),FPOGX,FPOGY,FPOGS,FPOGD,FPOGID,FPOGV,BPOGX,BPOGY,BPOGV,LPCX,LPCY,LPD,LPS,LPV,RPCX,RPCY,RPD,RPS,RPV,BKID,BKDUR,BKPMIN,LPMM,LPMMV,RPMM,RPMMV,SACCADE_MAG,SACCADE_DIR,VID_FRAME,X_ORIGINAL,Y_ORIGINAL
26468,22,8,41b99b08-1b9ec92a-def8774b-2b370eb3-57edb2a1,18,0.29065,7194760904376.0,0.56013,0.75638,0.03137,0.25928,2,1,0.5336,0.44313,1,0.4306100000000001,0.19749,18.40582,0.79267,1,0.72245,0.2165099999999999,17.40896,0.79737,1,0,0.0,14,3.39565,1,3.08092,1,621.07892,311.62228,0.0,1872,2047
26469,22,8,41b99b08-1b9ec92a-def8774b-2b370eb3-57edb2a1,47,0.7591600000000001,7194765588576.0,0.53238,0.4790899999999999,0.35474,0.40442,3,1,0.54562,0.5030100000000001,1,0.43249,0.19413,16.528010000000002,0.80183,1,0.72295,0.2133,15.33862,0.79713,1,0,0.0,14,3.04416,1,3.21197,1,304.17593,100.08808,0.0,1713,1208
26470,22,8,41b99b08-1b9ec92a-def8774b-2b370eb3-57edb2a1,56,0.90466,7194767044014.0,0.54808,0.52863,0.77527,0.12939,4,1,0.52599,0.54643,0,0.43336,0.19275,15.92345,0.8272200000000001,0,0.74115,0.19325,6.63842,0.8272200000000001,0,0,0.0,14,3.31501,0,2.1166,0,61.41058,299.39716,0.0,1803,1358
26471,22,8,41b99b08-1b9ec92a-def8774b-2b370eb3-57edb2a1,99,1.60046,7194774002404.0,0.52028,0.50232,1.21887,0.38159,5,1,0.4704899999999999,0.52098,1,0.41003,0.19501,18.03037,0.8316100000000001,1,0.6957300000000001,0.20382,16.68656,0.83678,1,0,0.0,15,3.2926300000000004,1,3.21824,1,60.46814000000001,151.97131000000005,0.0,1644,1279
26472,22,8,41b99b08-1b9ec92a-def8774b-2b370eb3-57edb2a1,115,1.85901,7194776587701.0,0.50722,0.45997,1.61658,0.24243,6,1,0.5354899999999999,0.39197,1,0.41262,0.177,17.11788,0.85306,1,0.6977300000000001,0.19054,16.32559,0.85824,1,0,0.0,15,3.583,1,3.68285,1,52.16066,118.73316,0.0,1569,1150
26473,22,8,41b99b08-1b9ec92a-def8774b-2b370eb3-57edb2a1,147,2.37756,7194781773332.0,0.54628,0.35481,1.87488,0.50269,7,1,0.54577,0.3160199999999999,1,0.41456,0.18592,17.66062,0.88728,1,0.69707,0.20301,16.03795,0.8993399999999999,1,0,0.0,15,3.79489,1,3.72177,1,136.09951999999998,56.56211,0.0,1793,832
26474,22,8,41b99b08-1b9ec92a-def8774b-2b370eb3-57edb2a1,174,2.8136,7194786133812.0,0.47348,0.31379,2.39258,0.42102,8,1,0.50047,0.32918,1,0.41234,0.17686,19.11932,0.86972,1,0.69386,0.18912,18.42878,0.86972,1,0,0.0,14,3.75583,1,3.65254,1,146.62877,162.41415,0.0,1376,708
26475,22,8,41b99b08-1b9ec92a-def8774b-2b370eb3-57edb2a1,222,3.58984,7194793896147.0,0.5400699999999999,0.37373,2.82947,0.7603800000000001,9,1,0.60469,0.44508,1,0.39639,0.18865,19.94135,0.80204,1,0.68486,0.1982,17.64076,0.80675,1,0,0.0,14,3.74404,1,3.62136,1,143.30742,333.1457200000001,0.0,1757,889
26476,22,8,41b99b08-1b9ec92a-def8774b-2b370eb3-57edb2a1,264,4.26929,7194800689976.0,0.6267,0.42135,3.60913,0.6601600000000001,10,1,0.65445,0.47534,1,0.42723,0.20075,19.51733,0.8468600000000001,1,0.71291,0.20849,17.76114,0.8468600000000001,1,0,0.0,14,3.5911699999999995,1,3.44045,1,174.09911,342.81824,0.0,2253,1034
26477,22,8,41b99b08-1b9ec92a-def8774b-2b370eb3-57edb2a1,288,4.6571,7194804568784.0,0.6620699999999999,0.48215,4.28552,0.37158,11,1,0.66783,0.5355800000000001,1,0.4119600000000001,0.20077,18.7907,0.84195,1,0.6972,0.20636,17.55346,0.83678,1,0,0.0,14,3.7039,1,3.49516,1,94.46471,315.9635,0.0,2456,1217
