,SESSION_ID,MEDIA_ID,DICOM_ID,CNT,Time (in secs),TIMETICK(f=10000000),FPOGX,FPOGY,FPOGS,FPOGD,FPOGID,FPOGV,BPOGX,BPOGY,BPOGV,LPCX,LPCY,LPD,LPS,LPV,RPCX,RPCY,RPD,RPS,RPV,BKID,BKDUR,BKPMIN,LPMM,LPMMV,RPMM,RPMMV,SACCADE_MAG,SACCADE_DIR,VID_FRAME,X_ORIGINAL,Y_ORIGINAL
27559,23,12,4251b0b0-076edaa0-79d979c8-bf626404-a277d10a,33,0.53641,7177240852780.0,0.50688,0.44513,0.0,0.53641,1,1,0.4111800000000001,0.55999,0,0.3068099999999999,0.13949,15.4924,0.99021,0,0.59315,0.13831,20.1229,0.99021,0,59,0.0,15,4.407019999999998,0,4.28132,0,3.68894,186.21866,0.0,1311,1360
27560,23,12,4251b0b0-076edaa0-79d979c8-bf626404-a277d10a,79,1.27783,7177248266928.0,0.34021,0.43312,0.74945,0.5283800000000001,2,1,0.3201,0.40992,1,0.30033,0.14082,19.84708,0.99021,1,0.58877,0.14199,18.13557,0.99021,1,0,0.0,16,3.71125,1,3.50536,1,320.2691700000001,177.67891,0.0,355,1323
27561,23,12,4251b0b0-076edaa0-79d979c8-bf626404-a277d10a,229,3.7034,7177272522869.0,0.35986,0.44085,1.2944,2.4090000000000003,3,1,0.32649,0.44864,1,0.2978699999999999,0.13405,21.75226,0.99214,1,0.58608,0.12785,21.10861,0.9797,1,0,0.0,16,4.38079,1,3.73857,1,38.64064000000001,347.5228,0.0,468,1347
27562,23,12,4251b0b0-076edaa0-79d979c8-bf626404-a277d10a,235,3.80057,7177273494291.0,0.31932,0.40983,3.71948,0.08109,4,1,0.29154,0.30809,0,0.60215,0.11564,5.47976,0.9667,0,0.5846,0.13333,12.45474,0.9667,0,0,0.0,16,1.69635,0,2.85398,0,84.74038,156.71258999999995,0.0,236,1252
27563,23,12,4251b0b0-076edaa0-79d979c8-bf626404-a277d10a,276,4.46466,7177280135202.0,0.32141,0.4416899999999999,4.01544,0.44922,5,1,0.33116,0.47066,1,0.33237,0.12159,22.09042,0.93882,1,0.622,0.1229,21.17784,0.93291,1,0,0.0,17,4.17865,1,4.0046300000000015,1,34.64201,276.65189,0.0,248,1349
27564,23,12,4251b0b0-076edaa0-79d979c8-bf626404-a277d10a,337,5.45108,7177289999665.0,0.3397,0.45072,5.06216,0.38892,6,1,0.34423,0.47873,0,0.33848,0.10449,11.30572,0.94533,0,0.62631,0.13505,18.77115,0.94533,0,0,0.0,18,3.92295,0,3.5921199999999995,0,36.44586,344.47931,0.0,353,1377
27565,23,12,4251b0b0-076edaa0-79d979c8-bf626404-a277d10a,380,6.14639,7177296952803.0,0.33342,0.42039,5.716,0.4303899999999999,7,1,0.21841,-0.05637,0,0.34621,0.13117,10.26797,0.99022,0,0.63297,0.14126,8.9428,0.99022,0,0,0.0,19,3.53809,0,3.14686,0,34.90511,110.20854,0.0,317,1284
27566,23,12,4251b0b0-076edaa0-79d979c8-bf626404-a277d10a,415,6.71201,7177302608898.0,0.34865,0.4425,6.40503,0.30698,8,1,0.43125,0.79518,1,0.34963,0.13953,6.0304400000000005,0.93942,1,0.63337,0.1285099999999999,18.5962,0.93351,1,0,0.0,20,1.79326,1,3.7275,1,37.7527,320.7648,0.0,404,1352
27567,23,12,4251b0b0-076edaa0-79d979c8-bf626404-a277d10a,510,8.25226,7177318011228.0,0.34926,0.43813,7.51709,0.73517,9,1,0.34598,0.4441100000000001,0,0.33764,0.14002,16.0842,0.9667,0,0.62702,0.12783,19.42661,0.9667,0,65,0.0,21,3.66817,0,3.54905,0,4.86275,76.06318,0.0,407,1338
27568,23,12,4251b0b0-076edaa0-79d979c8-bf626404-a277d10a,546,8.83191,7177323807844.0,0.33619,0.42672,8.50784,0.3240699999999999,10,1,0.33625,0.4706899999999999,1,0.30143,0.1408299999999999,21.05922,0.96079,1,0.5894699999999999,0.1197,20.2391,0.96079,1,0,0.0,22,4.23665,1,3.73379,1,27.95683,153.84641000000005,0.0,332,1304
