,SESSION_ID,MEDIA_ID,DICOM_ID,CNT,Time (in secs),TIMETICK(f=10000000),FPOGX,FPOGY,FPOGS,FPOGD,FPOGID,FPOGV,BPOGX,BPOGY,BPOGV,LPCX,LPCY,LPD,LPS,LPV,RPCX,RPCY,RPD,RPS,RPV,BKID,BKDUR,BKPMIN,LPMM,LPMMV,RPMM,RPMMV,SACCADE_MAG,SACCADE_DIR,VID_FRAME,X_ORIGINAL,Y_ORIGINAL
46858,37,9,438efec0-50c4ef8d-f447e683-f5f9b659-01db9a2f,26,0.41895,265922239390.0,0.5734899999999999,0.33489,0.0,0.41895,2,1,0.51467,0.4335600000000001,1,0.26831,0.4366899999999999,21.10532000000001,1.0318,1,0.53413,0.47435,18.23228,1.0318,1,0,0.0,11,4.16885,1,3.4271,1,489.11047,128.26112,0.0,1151,631
46859,37,9,438efec0-50c4ef8d-f447e683-f5f9b659-01db9a2f,45,0.72559,265925309345.0,0.4954,0.46466,0.4375,0.28809,3,1,0.44703,0.48967,1,0.25682,0.4432,20.98745,1.01114,1,0.5244,0.4763699999999999,17.59437,1.00387,1,0,0.0,11,4.07051,1,3.5485,1,205.2372,223.0688,0.0,875,876
46860,37,9,438efec0-50c4ef8d-f447e683-f5f9b659-01db9a2f,63,1.0166,265928220889.0,0.42502,0.54473,0.74219,0.27441,4,1,0.37624,0.56472,1,0.24894,0.4483899999999999,19.39603,1.0184,1,0.51739,0.47885,16.526220000000002,1.0184,1,0,0.0,11,3.71691,1,3.23791,1,160.43083,212.61703,0.0,627,1027
46861,37,9,438efec0-50c4ef8d-f447e683-f5f9b659-01db9a2f,71,1.14844,265929532263.0,0.39718,0.61016,1.03418,0.1142599999999999,5,1,0.40047,0.67128,0,0.24889,0.4536600000000001,8.67441,1.05449,0,0.5160399999999999,0.4783699999999999,15.5768,1.06176,0,788,0.0,11,2.82923,0,3.22498,0,88.60393,232.89496,0.0,528,1150
46862,37,9,438efec0-50c4ef8d-f447e683-f5f9b659-01db9a2f,114,1.8418,265936473561.0,0.51626,0.34873,1.41504,0.42676,6,1,0.47948,0.4596699999999999,1,0.25672,0.44233,19.36604,0.97729,1,0.5242600000000001,0.474,17.04535,0.97729,1,0,0.0,12,3.86397,1,3.22265,1,363.30661,51.00053,0.0,949,657
46863,37,9,438efec0-50c4ef8d-f447e683-f5f9b659-01db9a2f,123,1.99023,265937954620.0,0.47597,0.44831,1.8584,0.13184,7,1,0.48743,0.6099100000000001,0,0.25569,0.4392399999999999,19.15831,1.0318,0,0.5227,0.47098,13.70366,1.0318,0,789,0.0,12,3.89756,0,2.95495,0,132.47755,234.27299,0.0,807,845
46864,37,9,438efec0-50c4ef8d-f447e683-f5f9b659-01db9a2f,191,3.08691,265948924171.0,0.5132399999999999,0.33241,2.24707,0.8398399999999999,8,1,0.50716,0.3765,1,0.25037,0.39591,22.25915,0.95666,1,0.52277,0.4211399999999999,20.75719,0.96316,1,0,0.0,13,4.5008,1,3.85611,1,144.18259,60.24425,0.0,938,626
46865,37,9,438efec0-50c4ef8d-f447e683-f5f9b659-01db9a2f,215,3.47559,265952805542.0,0.51279,0.37801,3.10449,0.37109,9,1,0.54695,0.41039,1,0.28975,0.41383,22.67439,1.01024,1,0.55772,0.45108,18.74329,1.0175,1,0,0.0,13,4.79916,1,3.88641,1,49.25556,268.99496,0.0,937,712
46866,37,9,438efec0-50c4ef8d-f447e683-f5f9b659-01db9a2f,252,4.07422,265958790863.0,0.5695,0.42566,3.4921900000000003,0.58203,10,1,0.43385,0.4570399999999999,1,0.30086,0.4251,24.90383,0.98935,1,0.5676800000000001,0.46665,21.85086,0.98935,1,0,0.0,13,4.81564,1,4.13954,1,120.43214,334.70294,0.0,1137,802
46867,37,9,438efec0-50c4ef8d-f447e683-f5f9b659-01db9a2f,282,4.55957,265963648585.0,0.38353,0.44823,4.138669999999999,0.4209,11,1,0.3321,0.6885600000000001,1,0.2422699999999999,0.41884,24.80084,1.0184,1,0.51213,0.4444399999999999,21.21159,1.0184,1,0,0.0,13,5.0332,1,4.3472300000000015,1,357.89355,183.90535,0.0,480,845
46868,37,9,438efec0-50c4ef8d-f447e683-f5f9b659-01db9a2f,306,4.94727,265967524157.0,0.3557099999999999,0.66642,4.62402,0.32324,12,1,0.43958,0.4109899999999999,1,0.27244,0.40476,25.52594,0.96372,1,0.5408,0.43012,20.50855,0.97748,1,0,0.0,13,5.21017,1,4.40434,1,241.62314,257.22842,0.0,382,1256
46869,37,9,438efec0-50c4ef8d-f447e683-f5f9b659-01db9a2f,334,5.40039,265972055116.0,0.38031,0.35026,5.013669999999999,0.38672,13,1,0.34435,0.62645,1,0.29569,0.41793,23.96174,0.96609,1,0.56321,0.44641,19.21472,0.95233,1,0,0.0,13,4.67546,1,4.032109999999999,1,344.70404,82.12444,0.0,469,660
46870,37,9,438efec0-50c4ef8d-f447e683-f5f9b659-01db9a2f,361,5.83789,265976428332.0,0.34043,0.60647,5.46582,0.3720699999999999,14,1,0.35808,0.39695,1,0.29715,0.4147,25.29339,1.00275,1,0.56479,0.44214,20.19509,1.00275,1,0,0.0,13,4.94795,1,4.27433,1,287.1055,254.53232000000003,0.0,328,1143
46871,37,9,438efec0-50c4ef8d-f447e683-f5f9b659-01db9a2f,383,6.19922,265980039548.0,0.64415,0.34995,5.99902,0.2002,15,1,0.65996,0.33457,0,0.31909,0.41363,23.26927,1.01002,0,0.58308,0.4450699999999999,19.05176,1.00275,0,790,0.0,13,4.86276,0,3.99061,0,645.60608,25.41164,0.0,1401,659
46872,37,9,438efec0-50c4ef8d-f447e683-f5f9b659-01db9a2f,411,6.6474600000000015,265984524968.0,0.6029800000000001,0.45225,6.40918,0.23828,16,1,0.56908,0.81292,0,0.31485,0.415,24.33837,1.00275,0,0.57931,0.45096,12.11147,1.00275,0,0,0.0,14,4.77499,0,2.8551900000000003,0,135.84935,234.41797000000005,0.0,1255,852
46873,37,9,438efec0-50c4ef8d-f447e683-f5f9b659-01db9a2f,431,6.9707,265987758675.0,0.64644,0.44508,6.8632800000000005,0.10742,17,1,0.6595300000000001,0.45874,0,0.3098599999999999,0.4135899999999999,22.28922,1.0318,0,0.57571,0.4458899999999999,17.374879999999994,1.0318,0,0,0.0,14,4.60787,0,3.7935300000000014,0,83.80165,5.30191,0.0,1409,839
46874,37,9,438efec0-50c4ef8d-f447e683-f5f9b659-01db9a2f,463,7.4873,265992921411.0,0.59942,0.1647799999999999,7.18359,0.30371,18,1,0.7316600000000001,0.14792,1,0.31205,0.40719,22.95298,1.07251,1,0.57758,0.43914,20.43335,1.07977,1,0,0.0,14,4.69775,1,3.9009,1,315.89871,106.60563,0.0,1243,310
46875,37,9,438efec0-50c4ef8d-f447e683-f5f9b659-01db9a2f,481,7.77832,265995830479.0,0.63149,0.14026,7.551760000000002,0.2265599999999999,19,1,0.28279,0.13656,1,0.29678,0.40819,24.63061,1.03929,1,0.56301,0.4379,19.46118,1.03929,1,0,0.0,14,4.84784,1,4.1073,1,67.02741999999999,23.27135,0.0,1356,264
46876,37,9,438efec0-50c4ef8d-f447e683-f5f9b659-01db9a2f,501,8.10254,265999077851.0,0.28596,0.1562,7.84277,0.25977,20,1,0.36101,0.47984,1,0.29145,0.41535,22.81872000000001,1.005,1,0.55815,0.4425199999999999,18.58819,1.005,1,0,0.0,14,4.46358,1,3.84726,1,663.64099,181.48645,0.0,136,294
46877,37,9,438efec0-50c4ef8d-f447e683-f5f9b659-01db9a2f,523,8.45898,266002637310.0,0.4981899999999999,0.75826,8.16602,0.29297,21,1,0.59682,0.8093199999999999,1,0.30259,0.42362,22.7774,1.01058,1,0.57016,0.4536600000000001,18.46145,1.00332,1,0,0.0,14,4.4570300000000005,1,3.5862800000000004,1,767.35498,302.07446,0.0,885,1429
46878,37,9,438efec0-50c4ef8d-f447e683-f5f9b659-01db9a2f,543,8.78223,266005868627.0,0.551,0.79318,8.47363,0.30859,22,1,0.45096,0.78005,1,0.29869,0.42093,19.86647,0.95646,1,0.56608,0.44988,15.40706,0.96296,1,0,0.0,14,3.77178,1,3.25588,1,108.18185,339.5975,0.0,1072,1495
46879,37,9,438efec0-50c4ef8d-f447e683-f5f9b659-01db9a2f,556,8.99121,266007962905.0,0.4851899999999999,0.55047,8.79883,0.19238,23,1,0.4905600000000001,0.38113,1,0.30039,0.41285,19.46979,1.04815,1,0.5664600000000001,0.44218,16.80469,1.03998,1,0,0.0,14,3.88079,1,3.36744,1,290.9916100000001,115.73586,0.0,839,1038
46880,37,9,438efec0-50c4ef8d-f447e683-f5f9b659-01db9a2f,563,9.10645,266009112157.0,0.49504,0.43543,9.006839999999997,0.09961,24,1,0.49963,0.42841,0,0.30077,0.41827,9.95041,1.00276,0,0.56485,0.44476,11.82772,1.00276,0,791,0.0,14,3.08651,0,2.81827,0,125.67428999999998,81.34501999999998,0.0,874,821
46881,37,9,438efec0-50c4ef8d-f447e683-f5f9b659-01db9a2f,593,9.58984,266013946820.0,0.51412,0.24583,9.36621,0.22363,25,1,0.52118,0.19746,1,0.30135,0.40846,21.53681,1.00276,1,0.56834,0.4388399999999999,19.67349,0.99626,1,0,0.0,14,4.2065800000000015,1,3.88385,1,208.01912,79.85694000000002,0.0,941,463
46882,37,9,438efec0-50c4ef8d-f447e683-f5f9b659-01db9a2f,603,9.75098,266015565110.0,0.51705,0.21749,9.60547,0.14551,26,1,0.47808,0.24674,0,0.31558,0.39786,7.61158,1.03181,0,0.56966,0.4127699999999999,10.08778,1.03181,0,0,0.0,14,2.00644,0,2.28633,0,31.11992,79.58504,0.0,952,410
46883,37,9,438efec0-50c4ef8d-f447e683-f5f9b659-01db9a2f,630,10.1875,266019928690.0,0.5696899999999999,0.2477,10.01465,0.17285,27,1,0.58222,0.27184,1,0.30239,0.41045,22.35706,1.00276,1,0.5696100000000001,0.44093,20.90924,1.00276,1,0,0.0,15,4.5953800000000005,1,4.01884,1,106.20449,342.10901,0.0,1138,467
