,SESSION_ID,MEDIA_ID,DICOM_ID,CNT,Time (in secs),TIMETICK(f=10000000),FPOGX,FPOGY,FPOGS,FPOGD,FPOGID,FPOGV,BPOGX,BPOGY,BPOGV,LPCX,LPCY,LPD,LPS,LPV,RPCX,RPCY,RPD,RPS,RPV,BKID,BKDUR,BKPMIN,LPMM,LPMMV,RPMM,RPMMV,SACCADE_MAG,SACCADE_DIR,VID_FRAME,X_ORIGINAL,Y_ORIGINAL
45712,36,17,495c3377-b2732627-3a66bc29-2a98d518-8b8dd6e7,39,0.21045,52093349918.0,0.32859,0.1546799999999999,0.0,0.21045,2,1,0.33831,0.1921,1,0.18092,0.56471,20.03906,1.03142,1,0.4366600000000001,0.5345,17.17415,1.03142,1,0,0.0,11,4.290019999999998,1,3.6762,1,21.58917000000001,21.66536,0.0,545,227
45713,36,17,495c3377-b2732627-3a66bc29-2a98d518-8b8dd6e7,54,0.29102,52094157402.0,0.38487,0.20695,0.2158199999999999,0.0752,3,1,0.46752,0.4388399999999999,1,0.1851,0.5696100000000001,21.0197,1.03142,1,0.44065,0.5389,16.62588,1.03142,1,0,0.0,11,4.07369,1,3.39776,1,121.9148,332.41647,0.0,868,385
45714,36,17,495c3377-b2732627-3a66bc29-2a98d518-8b8dd6e7,81,0.43701,52095615259.0,0.5022300000000001,0.54176,0.31299,0.12402,4,1,0.5130899999999999,0.55156,0,0.18843,0.5718,19.24306,1.06308,0,0.4445199999999999,0.5403,16.45216,1.06308,0,0,0.0,11,4.24402,0,3.29655,0,426.05746,301.9294700000001,0.0,1540,1398
45715,36,17,495c3377-b2732627-3a66bc29-2a98d518-8b8dd6e7,143,0.77637,52099009892.0,0.5189699999999999,0.49759,0.69824,0.0781299999999999,5,1,0.53454,0.6020300000000001,1,0.18949,0.57431,21.71479,1.03142,1,0.44793,0.5457,16.55247,1.03142,1,0,0.0,12,4.2447,1,3.45976,1,57.52104,56.02942,0.0,1636,1264
45716,36,17,495c3377-b2732627-3a66bc29-2a98d518-8b8dd6e7,167,0.91162,52100360768.0,0.53681,0.60978,0.78223,0.12939,6,1,0.5381600000000001,0.6288199999999999,1,0.1912,0.57301,21.42555,0.98014,1,0.44991,0.54552,16.83314,0.97243,1,0,0.0,12,4.2207,1,3.31236,1,125.9137,285.78531,0.0,1738,1604
45717,36,17,495c3377-b2732627-3a66bc29-2a98d518-8b8dd6e7,190,1.04102,52101653788.0,0.54203,0.61807,0.92188,0.11914,7,1,0.53355,0.66387,1,0.19362,0.57158,21.63902,0.97243,1,0.4528,0.54479,16.157339999999998,0.97243,1,0,0.0,12,4.29018,1,3.59077,1,13.439,318.22485,0.0,1768,1629
45718,36,17,495c3377-b2732627-3a66bc29-2a98d518-8b8dd6e7,204,1.13135,52102557038.0,0.41289,0.72948,1.0498,0.08154,8,1,0.36372,0.76188,1,0.18796,0.57567,20.79095,1.00058,1,0.4466100000000001,0.5494100000000001,17.59171,1.00058,1,0,0.0,12,4.11819,1,3.50845,1,275.60144,205.88605,0.0,1028,1966
45719,36,17,495c3377-b2732627-3a66bc29-2a98d518-8b8dd6e7,239,1.32666,52104510176.0,0.3607599999999999,0.7669,1.13232,0.19434,9,1,0.29872,0.8650100000000001,1,0.18156,0.57595,21.21837,1.00058,1,0.44008,0.54715,16.5099,1.00058,1,0,0.0,12,4.14251,1,3.3995,1,107.94065,201.98758,0.0,730,2079
45720,36,17,495c3377-b2732627-3a66bc29-2a98d518-8b8dd6e7,284,1.59082,52107154605.0,0.31053,0.8196899999999999,1.3320299999999998,0.25879,10,1,0.55883,0.62246,1,0.18745,0.57487,20.16614,1.06308,1,0.4450199999999999,0.54492,15.72294,1.06308,1,0,0.0,12,4.05486,1,3.08016,1,112.0334,210.59023,0.0,442,2239
45721,36,17,495c3377-b2732627-3a66bc29-2a98d518-8b8dd6e7,346,1.93066,52110551240.0,0.56142,0.66,1.61621,0.31445,11,1,0.4954399999999999,0.57911,1,0.18375,0.57397,18.36072,1.02371,1,0.4416199999999999,0.54392,14.24762,1.03142,1,0,0.0,12,3.58201,1,3.06835,1,511.65186,19.69878,0.0,1879,1756
45722,36,17,495c3377-b2732627-3a66bc29-2a98d518-8b8dd6e7,366,2.03809,52111625751.0,0.50862,0.55385,1.94043,0.09766,12,1,0.4973399999999999,0.37481,1,0.18357,0.57114,17.63423,1.06308,1,0.44143,0.54127,15.040729999999998,1.06308,1,0,0.0,12,3.7102,1,3.01467,1,153.03557,131.48578,0.0,1577,1434
45723,36,17,495c3377-b2732627-3a66bc29-2a98d518-8b8dd6e7,461,2.56152,52116859549.0,0.51335,0.41789,2.04346,0.51807,13,1,0.47417,0.58618,1,0.18425,0.5710000000000001,19.75591,0.98015,1,0.4420199999999999,0.54168,16.55723,0.97244,1,0,0.0,12,3.93662,1,3.15639,1,147.11736000000005,86.46086,0.0,1604,1023
45724,36,17,495c3377-b2732627-3a66bc29-2a98d518-8b8dd6e7,505,2.80371,52119284195.0,0.4894699999999999,0.56366,2.58691,0.2168,14,1,0.51493,0.46967,1,0.18416,0.56863,21.64971,1.06308,1,0.44136,0.53845,17.31328,1.06308,1,0,0.0,12,4.26492,1,3.38144,1,163.97223,253.76257,0.0,1467,1464
45725,36,17,495c3377-b2732627-3a66bc29-2a98d518-8b8dd6e7,544,3.01416,52121387526.0,0.51356,0.4844600000000001,2.81348,0.20068,15,1,0.52464,0.37521,1,0.18277,0.56879,19.81904,1.06308,1,0.4397399999999999,0.53842,16.77939,1.06308,1,0,0.0,12,4.13169,1,3.43618,1,97.24059,61.5981,0.0,1605,1224
45726,36,17,495c3377-b2732627-3a66bc29-2a98d518-8b8dd6e7,583,3.2334,52123580206.0,0.5250100000000001,0.4103699999999999,3.0234400000000003,0.2099599999999999,16,1,0.5244,0.36456,1,0.1855099999999999,0.56925,19.61328,1.06637,1,0.44282,0.5391600000000001,16.206960000000002,1.06637,1,0,0.0,12,3.92,1,3.27042,1,82.98222,74.63759,0.0,1671,1000
45727,36,17,495c3377-b2732627-3a66bc29-2a98d518-8b8dd6e7,652,3.62207,52127466724.0,0.52303,0.39053,3.24072,0.38135,17,1,0.5100600000000001,0.35884,1,0.17665,0.5551,20.08632,1.04725,1,0.4344,0.52373,17.30209,1.04725,1,0,0.0,11,4.04512,1,3.33086,1,21.76181,100.06063,0.0,1659,940
45728,36,17,495c3377-b2732627-3a66bc29-2a98d518-8b8dd6e7,671,3.72021,52128446819.0,0.50803,0.4117699999999999,3.62305,0.09717,18,1,0.4814,0.4538899999999999,1,0.17619,0.55356,20.95167,1.05516,1,0.43438,0.5227,17.116889999999998,1.05516,1,0,0.0,11,4.14887,1,3.34716,1,36.81909,218.53729,0.0,1574,1005
45729,36,17,495c3377-b2732627-3a66bc29-2a98d518-8b8dd6e7,705,3.91309,52130376945.0,0.4927399999999999,0.4581,3.72559,0.1875,19,1,0.49667,0.41639,1,0.17798,0.55133,21.25945,1.03994,1,0.4365699999999999,0.52005,16.60965,1.04765,1,0,0.0,11,4.1894,1,3.59742,1,58.01262,239.59946,0.0,1486,1145
45730,36,17,495c3377-b2732627-3a66bc29-2a98d518-8b8dd6e7,723,4.01025,52131347705.0,0.4743600000000001,0.47026,3.91406,0.09619,20,1,0.43899,0.5696899999999999,1,0.18639,0.5532199999999999,21.43737,1.03318,1,0.4441,0.52417,17.06677,1.03318,1,0,0.0,11,4.23829,1,3.56534,1,37.65405,200.41245,0.0,1381,1182
45731,36,17,495c3377-b2732627-3a66bc29-2a98d518-8b8dd6e7,749,4.15576,52132803715.0,0.42762,0.59909,4.01123,0.14453,21,1,0.39634,0.60633,1,0.19111,0.55901,22.26225,1.04725,1,0.44769,0.53217,18.08891,1.04725,1,0,0.0,11,4.33536,1,3.6535,1,165.5667,237.17862,0.0,1113,1571
45732,36,17,495c3377-b2732627-3a66bc29-2a98d518-8b8dd6e7,798,4.4375,52135620622.0,0.38176,0.6211800000000001,4.15674,0.28076,22,1,0.39741,0.5258,1,0.19565,0.5566800000000001,21.07689,1.01031,1,0.45365,0.5305,16.9741,1.0026,1,0,0.0,11,4.24452,1,3.47716,1,91.226,195.16014,0.0,850,1638
45733,36,17,495c3377-b2732627-3a66bc29-2a98d518-8b8dd6e7,824,4.60889,52137333039.0,0.40705,0.52118,4.44678,0.16211,23,1,0.39719,0.4807399999999999,1,0.19345,0.55904,20.23127,1.06637,1,0.4523399999999999,0.5341,16.138920000000002,1.06637,1,0,0.0,11,4.07992,1,3.34999,1,118.41354,65.79131,0.0,995,1336
45734,36,17,495c3377-b2732627-3a66bc29-2a98d518-8b8dd6e7,844,4.7124,52138369240.0,0.43985,0.50595,4.60986,0.10254,24,1,0.61433,0.49898,1,0.1965299999999999,0.55667,19.07439,0.97316,1,0.45356,0.5329999999999999,15.9846,0.97316,1,0,0.0,11,4.18794,1,3.20455,1,65.08861999999999,14.63782,0.0,1183,1290
45735,36,17,495c3377-b2732627-3a66bc29-2a98d518-8b8dd6e7,913,5.09375,52142180858.0,0.6251,0.43565,4.7382800000000005,0.35547,25,1,0.6369600000000001,0.38706,1,0.20409,0.54778,20.158,1.06308,1,0.4611699999999999,0.52671,15.7513,1.06308,1,0,0.0,11,4.17173,1,3.33327,1,363.69315,12.0496,0.0,2244,1077
45736,36,17,495c3377-b2732627-3a66bc29-2a98d518-8b8dd6e7,957,5.34326,52144677978.0,0.6188,0.3835,5.10059,0.24268,26,1,0.60955,0.42431,1,0.21361,0.54719,20.61889,1.00058,1,0.47113,0.52875,16.80309,1.00058,1,0,0.0,11,4.29271,1,3.40574,1,57.60624,102.12109,0.0,2208,919
45737,36,17,495c3377-b2732627-3a66bc29-2a98d518-8b8dd6e7,974,5.45068,52145754661.0,0.61497,0.4773199999999999,5.35205,0.09863,27,1,0.61123,0.6771199999999999,1,0.20776,0.55124,21.89743,0.97243,1,0.46478,0.5320699999999999,13.969170000000002,0.97243,1,0,0.0,11,4.98166,1,3.94665,1,101.59202,265.84912,0.0,2186,1203
45738,36,17,495c3377-b2732627-3a66bc29-2a98d518-8b8dd6e7,1029,5.77344,52148979739.0,0.61423,0.63063,5.48193,0.2915,28,1,0.42018,0.6182,1,0.188,0.55503,22.21868,1.00482,1,0.44675,0.5302600000000001,18.02153,1.00482,1,0,0.0,11,4.50451,1,3.79656,1,165.58099,269.50833,0.0,2182,1667
45739,36,17,495c3377-b2732627-3a66bc29-2a98d518-8b8dd6e7,1088,6.097659999999999,52152223751.0,0.39613,0.63242,5.79053,0.30713,29,1,0.3936699999999999,0.6023,1,0.19419,0.54999,20.89614,1.03974,1,0.45328,0.52735,16.49033,1.03203,1,0,0.0,11,4.11488,1,3.35831,1,418.75641,180.26451,0.0,932,1672
45740,36,17,495c3377-b2732627-3a66bc29-2a98d518-8b8dd6e7,1121,6.27539,52154001282.0,0.40669,0.4536600000000001,6.11963,0.1557599999999999,30,1,0.43254,0.5534,0,0.18629,0.5462600000000001,14.39756,1.03142,1,0.4442100000000001,0.52449,15.51692,1.03142,0,0,0.0,10,3.67648,1,3.50021,0,194.12253,84.00478000000003,0.0,993,1131
45741,36,17,495c3377-b2732627-3a66bc29-2a98d518-8b8dd6e7,1178,6.59766,52157222291.0,0.4174199999999999,0.38226,6.52246,0.0752,31,1,0.39148,0.37528,1,0.19359,0.54791,20.57301,1.06308,1,0.45092,0.52454,17.14055,1.06308,1,0,0.0,11,4.22985,1,3.3287,1,79.81661,75.04193000000002,0.0,1054,915
45742,36,17,495c3377-b2732627-3a66bc29-2a98d518-8b8dd6e7,1209,6.77734,52159018134.0,0.39329,0.4117399999999999,6.6059600000000005,0.17139,32,1,0.39653,0.38827,1,0.19669,0.54813,20.40791,1.02391,1,0.4542,0.5262600000000001,17.400570000000002,1.0162,1,0,0.0,11,4.43549,1,3.48503,1,56.2149,214.49745,0.0,916,1004
45743,36,17,495c3377-b2732627-3a66bc29-2a98d518-8b8dd6e7,1241,6.9550800000000015,52160797277.0,0.4171,0.39648,6.7827100000000025,0.1723599999999999,33,1,0.5344,0.3835199999999999,1,0.19787,0.55465,20.57606,1.03142,1,0.45523,0.53176,16.381420000000002,1.03142,1,0,0.0,11,4.85807,1,3.89494,1,48.59524,19.82476,0.0,1052,958
45744,36,17,495c3377-b2732627-3a66bc29-2a98d518-8b8dd6e7,1307,7.3261699999999985,52164508080.0,0.62065,0.4104,6.97705,0.34912,34,1,0.5441,0.5022800000000001,1,0.20142,0.56393,21.92558,1.00328,1,0.45982,0.54728,16.62816,1.00328,1,0,0.0,11,4.46271,1,3.30242,1,391.10495,357.79709,0.0,2219,1000
45745,36,17,495c3377-b2732627-3a66bc29-2a98d518-8b8dd6e7,1357,7.60107,52167255887.0,0.54256,0.48836,7.343260000000001,0.25781,35,1,0.54125,0.54635,1,0.21999,0.55785,22.92654,1.04725,1,0.4778199999999999,0.5403899999999999,16.63541,1.04725,1,0,0.0,11,4.45589,1,3.3402800000000004,1,171.95616,209.31699,0.0,1771,1236
45746,36,17,495c3377-b2732627-3a66bc29-2a98d518-8b8dd6e7,1406,7.8667,52169910400.0,0.53896,0.62542,7.61816,0.24854,36,1,0.6036699999999999,0.67828,1,0.2484,0.56195,21.99097,1.03223,1,0.50435,0.54986,16.43069,1.03223,1,0,0.0,11,4.72238,1,3.57547,1,148.18607,267.32654,0.0,1751,1651
