,SESSION_ID,MEDIA_ID,DICOM_ID,CNT,Time (in secs),TIMETICK(f=10000000),FPOGX,FPOGY,FPOGS,FPOGD,FPOGID,FPOGV,BPOGX,BPOGY,BPOGV,LPCX,LPCY,LPD,LPS,LPV,RPCX,RPCY,RPD,RPS,RPV,BKID,BKDUR,BKPMIN,LPMM,LPMMV,RPMM,RPMMV,SACCADE_MAG,SACCADE_DIR,VID_FRAME,X_ORIGINAL,Y_ORIGINAL
39891,33,8,49fbbb95-26d86ddd-40b1c80e-a1a476c9-79d7f56b,9,0.05127,70587853965.0,0.67,0.13997,0.0,0.05127,1,1,0.53757,0.25761,1,0.16258,0.43332,22.99457,1.04944,1,0.43157,0.4248399999999999,19.37508,1.04944,1,0,0.0,13,5.08222,1,4.25685,1,16.18767,163.4082,0.0,2502,182
39892,33,8,49fbbb95-26d86ddd-40b1c80e-a1a476c9-79d7f56b,26,0.14307,70588769636.0,0.43942,0.37182,0.0781299999999999,0.06494,2,1,0.41375,0.40747,1,0.15703,0.43754,22.98793,0.99116,1,0.4254600000000001,0.4281899999999999,18.38926,0.99116,1,0,0.0,13,4.60993,1,3.85751,1,508.62021,209.49242,0.0,1180,884
39893,33,8,49fbbb95-26d86ddd-40b1c80e-a1a476c9-79d7f56b,64,0.35352,70590875675.0,0.4131,0.37761,0.14844,0.20508,3,1,0.4158699999999999,0.42361,1,0.15341,0.4382399999999999,23.67976,0.99116,1,0.4224600000000001,0.42731,18.73046,0.99116,1,0,0.0,13,4.57303,1,3.85958,1,50.91984,187.05397,0.0,1030,901
39894,33,8,49fbbb95-26d86ddd-40b1c80e-a1a476c9-79d7f56b,82,0.46484,70591988705.0,0.43967,0.46845,0.35889,0.1059599999999999,4,1,0.45586,0.53585,1,0.15282,0.43985,23.95047000000001,0.96501,1,0.42183,0.42876,19.18499,0.96501,1,0,0.0,13,4.6067,1,3.81981,1,110.57803,297.4738200000001,0.0,1182,1176
39895,33,8,49fbbb95-26d86ddd-40b1c80e-a1a476c9-79d7f56b,112,0.64307,70593772297.0,0.4663600000000001,0.52776,0.47217,0.1709,5,1,0.52493,0.5604399999999999,1,0.15314,0.4424899999999999,23.83494,0.99406,1,0.42228,0.43098,18.79498,0.99406,1,0,0.0,13,4.56036,1,3.7212,1,82.03078000000002,308.66034,0.0,1335,1355
39896,33,8,49fbbb95-26d86ddd-40b1c80e-a1a476c9-79d7f56b,166,0.93652,70596702239.0,0.52447,0.55777,0.64453,0.29199,6,1,0.51608,0.4957,1,0.1533,0.4421899999999999,22.45952,1.02021,1,0.42243,0.43094,17.76236,1.02021,1,0,0.0,13,4.3669400000000005,1,3.40475,1,116.1834,343.80173,0.0,1668,1446
39897,33,8,49fbbb95-26d86ddd-40b1c80e-a1a476c9-79d7f56b,214,1.20947,70599433303.0,0.52377,0.5563899999999999,0.94092,0.26855,7,1,0.54461,0.64246,1,0.15874,0.4432100000000001,21.74895,0.96501,1,0.42781,0.4341100000000001,17.56859,0.96501,1,0,0.0,13,4.23557,1,3.3835800000000003,1,2.0069,132.04277,0.0,1664,1442
39898,33,8,49fbbb95-26d86ddd-40b1c80e-a1a476c9-79d7f56b,278,1.56543,70602991870.0,0.55656,0.63679,1.21045,0.35498,8,1,0.54406,0.4613,1,0.15861,0.43896,20.36337,1.02021,1,0.42744,0.43088,16.949820000000006,1.02021,1,0,0.0,13,4.147819999999999,1,3.2374,1,107.2537,305.9437,0.0,1852,1685
39899,33,8,49fbbb95-26d86ddd-40b1c80e-a1a476c9-79d7f56b,313,1.75,70604837951.0,0.53476,0.4587199999999999,1.58252,0.16748,9,1,0.5349,0.36598,1,0.15672,0.43425,20.55689,1.02021,1,0.42516,0.42577,17.40007,1.02021,1,0,0.0,13,4.35805,1,3.45338,1,196.81766,102.27849,0.0,1727,1147
39900,33,8,49fbbb95-26d86ddd-40b1c80e-a1a476c9-79d7f56b,411,2.29395,70610279077.0,0.52728,0.41061,1.75928,0.53467,10,1,0.51776,0.44973,1,0.15567,0.43596,20.33784,0.99116,1,0.4239199999999999,0.42663,17.27986,0.99116,1,0,0.0,13,3.9781,1,3.27286,1,53.9071,105.45109,0.0,1684,1001
39901,33,8,49fbbb95-26d86ddd-40b1c80e-a1a476c9-79d7f56b,508,2.8335,70615673665.0,0.49136,0.52331,2.2998,0.53369,11,1,0.49705,0.4643199999999999,1,0.15556,0.43696,23.03708,1.02021,1,0.42383,0.42694,18.01313,1.01295,1,0,0.0,13,4.29597,1,3.46939,1,139.89691000000002,240.46338,0.0,1478,1342
39902,33,8,49fbbb95-26d86ddd-40b1c80e-a1a476c9-79d7f56b,531,2.9731400000000003,70617069800.0,0.5141899999999999,0.3740699999999999,2.84277,0.13037,12,1,0.50863,0.30107,1,0.1554,0.4332399999999999,20.19259,1.05289,1,0.42367,0.42431,17.9666,1.05289,1,0,0.0,13,4.28214,1,3.39311,1,167.03333,74.78603000000003,0.0,1609,890
39903,33,8,49fbbb95-26d86ddd-40b1c80e-a1a476c9-79d7f56b,570,3.20068,70619344978.0,0.50305,0.34593,2.97412,0.2265599999999999,13,1,0.48017,0.36848,1,0.15529,0.43441,19.76213,0.99116,1,0.42348,0.42545,17.59,0.99116,1,0,0.0,13,4.15186,1,3.33618,1,37.16317,125.13715,0.0,1545,805
39904,33,8,49fbbb95-26d86ddd-40b1c80e-a1a476c9-79d7f56b,622,3.48975,70622238827.0,0.47175,0.38387,3.2055700000000003,0.28418,14,1,0.46124,0.52172,1,0.15365,0.43815,21.6492,1.02021,1,0.42213,0.4285199999999999,18.04253,1.02021,1,0,0.0,13,4.10962,1,3.43632,1,72.73586999999998,214.28729,0.0,1366,920
39905,33,8,49fbbb95-26d86ddd-40b1c80e-a1a476c9-79d7f56b,640,3.58789,70623219893.0,0.46119,0.54269,3.49072,0.09717,15,1,0.4673,0.59243,1,0.15219,0.4386899999999999,21.46826,0.99116,1,0.42128,0.4286899999999999,17.75769,0.99116,1,0,0.0,13,4.23361,1,3.4481900000000003,1,172.71971000000005,263.25861000000003,0.0,1305,1401
39906,33,8,49fbbb95-26d86ddd-40b1c80e-a1a476c9-79d7f56b,702,3.92725,70626613116.0,0.46597,0.52959,3.59375,0.3335,16,1,0.45965,0.53589,0,0.15315,0.4376600000000001,19.31585,1.02021,0,0.42143,0.42872,15.089720000000002,1.02021,0,0,0.0,13,4.2583,0,3.53359,0,16.86399,57.02881,0.0,1333,1361
39907,33,8,49fbbb95-26d86ddd-40b1c80e-a1a476c9-79d7f56b,800,4.47656,70632104350.0,0.4117,0.57533,4.25488,0.22168,17,1,0.39882,0.53104,1,0.15157,0.42848,21.43906,0.96517,1,0.42225,0.4191,17.35988,0.96517,1,0,0.0,14,4.101719999999999,1,3.366,1,115.3152,205.36508,0.0,1022,1499
39908,33,8,49fbbb95-26d86ddd-40b1c80e-a1a476c9-79d7f56b,840,4.7041,70634380214.0,0.39088,0.52205,4.47754,0.2265599999999999,18,1,0.31984,0.66868,1,0.1525099999999999,0.4342399999999999,20.07687,1.02021,1,0.4215399999999999,0.42399,16.3704,1.02021,1,0,0.0,14,4.01315,1,3.4233,1,70.06487,124.78752,0.0,902,1338
39909,33,8,49fbbb95-26d86ddd-40b1c80e-a1a476c9-79d7f56b,872,4.88086,70636149184.0,0.32992,0.68763,4.72607,0.15479,19,1,0.3330599999999999,0.71726,1,0.1534,0.43586,20.28655,0.9605,1,0.42231,0.42654,16.717489999999998,0.96776,1,0,0.0,14,3.80629,1,3.32841,1,213.72404,236.79495,0.0,553,1839
39910,33,8,49fbbb95-26d86ddd-40b1c80e-a1a476c9-79d7f56b,920,5.140630000000002,70638745589.0,0.60565,0.53064,4.91406,0.2265599999999999,20,1,0.63805,0.5243,1,0.16879,0.4313,20.08548,0.99116,1,0.43699,0.42477,16.96811,0.99116,1,0,0.0,14,4.0919,1,3.27357,1,555.8894,17.75848,0.0,2133,1364
39911,33,8,49fbbb95-26d86ddd-40b1c80e-a1a476c9-79d7f56b,956,5.33496,70640688183.0,0.6590699999999999,0.51531,5.14648,0.18848,21,1,0.63657,0.45605,1,0.16571,0.43268,19.24054,1.02021,1,0.43422,0.4259199999999999,16.460720000000002,1.02021,1,0,0.0,14,3.96031,1,3.33037,1,103.89409,9.16966,0.0,2439,1318
39912,33,8,49fbbb95-26d86ddd-40b1c80e-a1a476c9-79d7f56b,1045,5.82031,70645540504.0,0.57895,0.33114,5.35645,0.46387,22,1,0.48623,0.41028,1,0.16087,0.43396,21.38641,0.99116,1,0.43008,0.4261399999999999,18.12119,0.99116,1,0,0.0,14,4.43567,1,3.63118,1,251.44867,127.71809,0.0,1980,761
