,SESSION_ID,MEDIA_ID,DICOM_ID,CNT,Time (in secs),TIMETICK(f=10000000),FPOGX,FPOGY,FPOGS,FPOGD,FPOGID,FPOGV,BPOGX,BPOGY,BPOGV,LPCX,LPCY,LPD,LPS,LPV,RPCX,RPCY,RPD,RPS,RPV,BKID,BKDUR,BKPMIN,LPMM,LPMMV,RPMM,RPMMV,SACCADE_MAG,SACCADE_DIR,VID_FRAME,X_ORIGINAL,Y_ORIGINAL
108,1,3,4df0c412-e01a6486-acd5ab0b-e6e4aa31-d6773e42,4,0.06458,696682695130.0,0.64452,0.74965,0.0,0.06458,1,1,0.63718,0.39659,1,0.39108,0.60901,16.628989999999998,0.97094,1,0.6524300000000001,0.61907,16.41242,0.97094,1,0,0.0,11,3.5102300000000004,1,3.42449,1,18.53819,79.91956,0.0,2100,2290
109,1,3,4df0c412-e01a6486-acd5ab0b-e6e4aa31-d6773e42,30,0.48621,696686911900.0,0.59201,0.30286,0.13043,0.35577,2,1,0.53651,0.32291,0,0.64754,0.6122,16.01959,0.98501,0,0.6479600000000001,0.6151399999999999,16.904339999999998,0.98501,0,0,0.0,11,3.7414,0,3.40314,0,492.95316,101.80145,0.0,1799,925
110,1,3,4df0c412-e01a6486-acd5ab0b-e6e4aa31-d6773e42,66,1.06757,696692725414.0,0.4839600000000001,0.3584699999999999,0.70111,0.36646,3,1,0.62205,0.3458199999999999,1,0.38561,0.60795,18.26077,0.98501,1,0.64718,0.61569,18.40838,0.99205,1,0,0.0,12,3.69722,1,3.57146,1,215.97464,196.14578,0.0,1180,1095
111,1,3,4df0c412-e01a6486-acd5ab0b-e6e4aa31-d6773e42,106,1.71466,696699196146.0,0.6377,0.31133,1.13214,0.5825199999999999,4,1,0.63669,0.34345,0,0.64425,0.58,13.43979,0.95687,0,0.64674,0.60975,18.04418,0.95687,0,0,0.0,12,4.344519999999998,0,3.72316,0,299.53912,9.78579,0.0,2061,951
112,1,3,4df0c412-e01a6486-acd5ab0b-e6e4aa31-d6773e42,143,2.31366,696705186100.0,0.491,0.32069,2.0257,0.28796,5,1,0.47579,0.40292,1,0.37495,0.6109100000000001,18.82737,1.01315,1,0.63797,0.61527,18.93611,1.01315,1,0,0.0,12,3.79213,1,3.76063,1,281.8454,182.05545,0.0,1220,980
113,1,3,4df0c412-e01a6486-acd5ab0b-e6e4aa31-d6773e42,177,2.86499,696710699623.0,0.47821,0.4033,2.32935,0.53564,6,1,0.50692,0.5522199999999999,0,0.3770699999999999,0.61593,7.10824,0.95687,0,0.63667,0.62033,8.26173,0.95687,0,171,0.0,12,2.07507,0,2.63037,0,92.53661,254.61086,0.0,1147,1232
114,1,3,4df0c412-e01a6486-acd5ab0b-e6e4aa31-d6773e42,217,3.51013,696717150727.0,0.49049,0.33281,3.0304,0.4797399999999999,7,1,0.51031,0.4206899999999999,1,0.38104,0.60929,18.21898,0.97094,1,0.6438699999999999,0.6149,17.95535,0.97094,1,0,0.0,13,3.59681,1,3.64926,1,79.69664,72.792,0.0,1217,1017
115,1,3,4df0c412-e01a6486-acd5ab0b-e6e4aa31-d6773e42,252,4.076169999999999,696722811285.0,0.49041,0.43132,3.52655,0.54962,8,1,0.5445300000000001,0.5524399999999999,1,0.38011,0.61288,18.39399,0.95687,1,0.64379,0.61675,17.10001,0.95687,1,0,0.0,13,3.45707,1,3.4743699999999995,1,106.39091,269.9173,0.0,1217,1318
116,1,3,4df0c412-e01a6486-acd5ab0b-e6e4aa31-d6773e42,280,4.52911,696727340505.0,0.53187,0.48235,4.09216,0.43695,9,1,0.51877,0.35112,1,0.37758,0.60016,18.80308,0.97094,1,0.63846,0.60268,18.46629,0.97094,1,0,0.0,13,3.78021,1,3.7145,1,96.81965,325.30365,0.0,1454,1474
117,1,3,4df0c412-e01a6486-acd5ab0b-e6e4aa31-d6773e42,316,5.11108,696733160433.0,0.5211899999999999,0.3261,4.59375,0.5173300000000001,10,1,0.55197,0.46201,1,0.37909,0.60502,18.51777,0.97872,1,0.6423399999999999,0.60434,18.21534,0.97242,1,0,0.0,13,3.65338,1,3.61136,1,169.9913,96.92833,0.0,1393,996
118,1,3,4df0c412-e01a6486-acd5ab0b-e6e4aa31-d6773e42,343,5.5487699999999975,696737537453.0,0.54322,0.44496,5.17584,0.37292,11,1,0.52794,0.27995,1,0.3738,0.61212,19.33713,0.98501,1,0.63643,0.61161,19.76052,0.98501,1,0,0.0,12,3.84831,1,3.80503,1,135.15785,288.23712,0.0,1519,1359
119,1,3,4df0c412-e01a6486-acd5ab0b-e6e4aa31-d6773e42,359,5.81079,696740157742.0,0.5079899999999999,0.18273,5.61346,0.19733,12,1,0.42235,-0.0669299999999999,0,0.37304,0.6097,9.7802,0.98501,0,0.6358,0.61215,18.91773,0.98501,0,172,0.0,12,3.22025,0,3.5971,0,291.17413,103.4329,0.0,1317,558
