,SESSION_ID,MEDIA_ID,DICOM_ID,CNT,Time (in secs),TIMETICK(f=10000000),FPOGX,FPOGY,FPOGS,FPOGD,FPOGID,FPOGV,BPOGX,BPOGY,BPOGV,LPCX,LPCY,LPD,LPS,LPV,RPCX,RPCY,RPD,RPS,RPV,BKID,BKDUR,BKPMIN,LPMM,LPMMV,RPMM,RPMMV,SACCADE_MAG,SACCADE_DIR,VID_FRAME,X_ORIGINAL,Y_ORIGINAL
138,1,4,4ff79c8d-fd7de62b-52ffeb40-2fe8ccfc-f12beb41,22,0.35358,696808210074.0,0.5280100000000001,0.2450699999999999,0.0,0.35358,1,1,0.44964,0.37363,1,0.3806,0.60612,18.38803,0.97797,1,0.64279,0.61078,18.46396,0.97797,1,0,0.0,13,3.71319,1,3.69786,1,358.35522000000014,105.29357,0.0,1422,696
139,1,4,4ff79c8d-fd7de62b-52ffeb40-2fe8ccfc-f12beb41,41,0.6621100000000001,696811294944.0,0.4447,0.43241,0.41895,0.24316,2,1,0.42523,0.5814600000000001,1,0.3747,0.61314,19.08523,0.95687,1,0.63763,0.61711,19.44755,0.95687,1,0,0.0,12,3.74045,1,3.9201,1,257.91855,231.67091,0.0,978,1229
140,1,4,4ff79c8d-fd7de62b-52ffeb40-2fe8ccfc-f12beb41,84,1.35651,696818239400.0,0.39759,0.57714,0.72687,0.62964,3,1,0.47193,0.44803,1,0.37636,0.61319,16.99149,0.97094,1,0.63923,0.61722,16.40156,0.9639,1,0,0.0,12,3.5288699999999995,1,3.39406,1,180.59268,239.94327,0.0,726,1641
141,1,4,4ff79c8d-fd7de62b-52ffeb40-2fe8ccfc-f12beb41,103,1.66376,696821312020.0,0.47444,0.37782,1.42151,0.24225,4,1,0.46733,0.25935,1,0.37722,0.6089399999999999,17.78643,1.01403,1,0.63963,0.61338,17.54495,1.02106,1,0,0.0,12,3.4985699999999995,1,3.50329,1,260.98056,55.571630000000006,0.0,1136,1074
142,1,4,4ff79c8d-fd7de62b-52ffeb40-2fe8ccfc-f12beb41,150,2.42407,696828914650.0,0.49427,0.1194799999999999,1.72876,0.69531,5,1,0.445,0.20904,1,0.38045,0.6076600000000001,18.69954,1.02898,1,0.64207,0.6108899999999999,19.43717,1.02106,1,0,0.0,12,3.76501,1,3.8342,1,281.59299,82.22935,0.0,1242,339
143,1,4,4ff79c8d-fd7de62b-52ffeb40-2fe8ccfc-f12beb41,169,2.73309,696832005140.0,0.44222,0.23133,2.44055,0.29254,6,1,0.43392,0.28394,1,0.3817,0.6076600000000001,19.7332,0.99204,1,0.6431399999999999,0.6099600000000001,19.76545,0.99204,1,0,0.0,12,3.87929,1,3.82109,1,156.77809,230.39908,0.0,964,657
144,1,4,4ff79c8d-fd7de62b-52ffeb40-2fe8ccfc-f12beb41,195,3.15173,696836191625.0,0.49178,0.27093,2.74884,0.40289,7,1,0.56081,0.26903,1,0.3970599999999999,0.60387,19.54626,1.01315,1,0.65899,0.60975,20.08223,1.01315,1,0,0.0,12,3.84781,1,3.87013,1,104.32462,335.79825,0.0,1229,770
145,1,4,4ff79c8d-fd7de62b-52ffeb40-2fe8ccfc-f12beb41,236,3.81494,696842823541.0,0.5554,0.28989,3.16791,0.64703,8,1,0.45818,0.28653,1,0.38735,0.60534,19.36089,0.98589,1,0.64933,0.60912,19.55783,1.00084,1,0,0.0,12,3.80176,1,3.82443,1,123.85482,350.48367,0.0,1569,824
146,1,4,4ff79c8d-fd7de62b-52ffeb40-2fe8ccfc-f12beb41,277,4.47809,696849454824.0,0.43877,0.2786099999999999,3.83148,0.64661,9,1,0.37836,0.34037,1,0.37931,0.60696,18.30619,0.97797,1,0.64105,0.60843,19.10565,0.97797,1,0,0.0,12,3.69155,1,3.72204,1,224.26076,176.88603,0.0,946,792
147,1,4,4ff79c8d-fd7de62b-52ffeb40-2fe8ccfc-f12beb41,299,4.83368,696853010804.0,0.36018,0.31515,4.49426,0.33942,10,1,0.30286,0.30756,1,0.37771,0.60595,18.63121,1.00699,1,0.63925,0.60763,19.39511,1.01491,1,0,0.0,12,4.0113400000000015,1,3.90159,1,155.96791000000005,194.65637,0.0,526,896
148,1,4,4ff79c8d-fd7de62b-52ffeb40-2fe8ccfc-f12beb41,312,5.0448,696855122202.0,0.36312,0.43278,4.850219999999998,0.19458,11,1,0.41508,0.5261,1,0.3799300000000001,0.61016,17.65179,0.97797,1,0.64222,0.61236,17.773039999999995,0.97094,1,0,0.0,12,3.56465,1,3.6848,1,127.16575,272.54413,0.0,542,1230
149,1,4,4ff79c8d-fd7de62b-52ffeb40-2fe8ccfc-f12beb41,333,5.38403,696858514654.0,0.4129899999999999,0.52078,5.06055,0.32349,12,1,0.63221,0.46261,1,0.38497,0.61037,16.798389999999998,0.99204,1,0.6471899999999999,0.6137199999999999,16.53859,0.99908,1,0,0.0,12,4.02936,1,4.00113,1,134.91017,315.21332,0.0,808,1481
150,1,4,4ff79c8d-fd7de62b-52ffeb40-2fe8ccfc-f12beb41,358,5.79132,696862587417.0,0.65373,0.49477,5.44861,0.34271,13,1,0.66932,0.5936,1,0.38889,0.6127,17.305629999999994,0.98501,1,0.65176,0.61624,16.87695,0.99204,1,0,0.0,12,3.45236,1,3.29279,1,463.07352,3.4778,0.0,2094,1407
151,1,4,4ff79c8d-fd7de62b-52ffeb40-2fe8ccfc-f12beb41,385,6.22498,696866923682.0,0.66942,0.5960300000000001,5.80505,0.4199199999999999,14,1,0.66882,0.6733,1,0.38891,0.61874,17.36636,1.00611,1,0.65259,0.62322,16.97993,0.99908,1,0,0.0,12,3.5631699999999995,1,3.35902,1,113.43413,285.40091,0.0,2177,1695
152,1,4,4ff79c8d-fd7de62b-52ffeb40-2fe8ccfc-f12beb41,405,6.54932,696870167261.0,0.63698,0.6642899999999999,6.24103,0.30829,15,1,0.41917,0.68803,1,0.38079,0.6197699999999999,15.32107,0.94502,1,0.6440899999999999,0.62339,15.46962,0.94502,1,0,0.0,12,3.13716,1,3.22185,1,96.50987,229.8064,0.0,2004,1889
153,1,4,4ff79c8d-fd7de62b-52ffeb40-2fe8ccfc-f12beb41,428,6.9207800000000015,696873881788.0,0.39458,0.6466,6.6131,0.30768,16,1,0.38482,0.55028,1,0.37645,0.6170100000000001,15.14118,0.94502,1,0.6402899999999999,0.61943,15.80911,0.95835,1,0,0.0,12,3.27426,1,3.21925,1,465.79993,177.64931,0.0,710,1838
154,1,4,4ff79c8d-fd7de62b-52ffeb40-2fe8ccfc-f12beb41,434,7.0175800000000015,696874850027.0,0.37637,0.63562,6.93658,0.0809899999999999,17,1,0.36921,0.70494,0,0.37681,0.6167,15.75368,0.95687,0,0.64115,0.59334,14.031670000000002,0.95687,0,0,0.0,12,3.19093,0,4.5356,0,36.91946,161.26469,0.0,613,1807
155,1,4,4ff79c8d-fd7de62b-52ffeb40-2fe8ccfc-f12beb41,465,7.51935,696879867762.0,0.42987,0.53608,7.2804600000000015,0.23889,18,1,0.65079,0.55413,1,0.38464,0.61588,16.69739,0.97094,1,0.64778,0.61928,16.34815,0.9639,1,0,0.0,13,3.29826,1,3.21818,1,148.68867,46.30342,0.0,899,1524
156,1,4,4ff79c8d-fd7de62b-52ffeb40-2fe8ccfc-f12beb41,496,8.02045,696884878591.0,0.65049,0.53701,7.58362,0.43683,19,1,0.54975,0.56324,1,0.38299,0.61657,15.26748,0.9639,1,0.6461899999999999,0.62022,14.567379999999998,0.9639,1,0,0.0,12,3.3075,1,3.18093,1,423.59161,359.86414,0.0,2076,1527
157,1,4,4ff79c8d-fd7de62b-52ffeb40-2fe8ccfc-f12beb41,524,8.473139999999999,696889405298.0,0.37085,0.61292,8.085510000000001,0.38763,20,1,0.53093,0.51732,1,0.37876,0.61683,16.701829999999998,1.00787,1,0.6416,0.61908,16.041520000000002,1.00084,1,0,0.0,12,3.15916,1,3.06509,1,543.1319,188.68167,0.0,583,1743
158,1,4,4ff79c8d-fd7de62b-52ffeb40-2fe8ccfc-f12beb41,558,9.02313,696894905222.0,0.64388,0.5546,8.542539999999999,0.4805899999999999,21,1,0.67802,0.61154,1,0.39092,0.61959,16.73859,0.9639,1,0.6543399999999999,0.62525,15.97938,0.9639,1,0,0.0,12,3.25856,1,3.13626,1,527.9880400000002,6.85134,0.0,2041,1577
159,1,4,4ff79c8d-fd7de62b-52ffeb40-2fe8ccfc-f12beb41,585,9.45984,696899272258.0,0.65394,0.58016,9.03943,0.4204100000000001,22,1,0.4191399999999999,0.56881,1,0.38465,0.61912,15.77839,0.97094,1,0.64753,0.62335,14.8099,0.9639,1,0,0.0,12,3.4492199999999995,1,3.96849,1,33.69126,304.9806200000001,0.0,2095,1649
160,1,4,4ff79c8d-fd7de62b-52ffeb40-2fe8ccfc-f12beb41,608,9.83362,696903010233.0,0.37044,0.57329,9.52478,0.30884,23,1,0.38873,0.65171,0,0.38009,0.61683,16.23805,1.01667,0,0.64289,0.62037,14.97834,1.01667,0,175,0.0,12,3.28656,0,3.07309,0,544.3706099999998,179.21906,0.0,581,1630
161,1,4,4ff79c8d-fd7de62b-52ffeb40-2fe8ccfc-f12beb41,640,10.34943,696908168621.0,0.41456,0.59582,10.09503,0.25439,24,1,0.60018,0.5415399999999999,1,0.38982,0.6188100000000001,16.393320000000006,1.01315,1,0.6531600000000001,0.62374,14.88675,1.01315,1,0,0.0,13,3.16485,1,2.94771,1,88.13578000000004,343.97369,0.0,817,1694
162,1,4,4ff79c8d-fd7de62b-52ffeb40-2fe8ccfc-f12beb41,685,11.07727,696915446645.0,0.69755,0.64432,10.41412,0.66315,25,1,0.70167,0.68375,1,0.39169,0.62343,16.55007,0.9639,1,0.6553399999999999,0.62847,14.91557,0.9639,1,0,0.0,13,3.2182,1,3.11885,1,545.8598,354.4935,0.0,2327,1832
163,1,4,4ff79c8d-fd7de62b-52ffeb40-2fe8ccfc-f12beb41,704,11.38556,696918530033.0,0.66759,0.67338,11.09424,0.2913199999999999,26,1,0.33646,0.64715,1,0.37928,0.624,16.683120000000002,0.98677,1,0.64257,0.62773,16.2827,0.98677,1,0,0.0,13,3.21735,1,3.23009,1,65.52805,208.61702,0.0,2168,1915
