,SESSION_ID,MEDIA_ID,DICOM_ID,CNT,Time (in secs),TIMETICK(f=10000000),FPOGX,FPOGY,FPOGS,FPOGD,FPOGID,FPOGV,BPOGX,BPOGY,BPOGV,LPCX,LPCY,LPD,LPS,LPV,RPCX,RPCY,RPD,RPS,RPV,BKID,BKDUR,BKPMIN,LPMM,LPMMV,RPMM,RPMMV,SACCADE_MAG,SACCADE_DIR,VID_FRAME,X_ORIGINAL,Y_ORIGINAL
8914,8,10,521d6f68-bba64c3b-86a27bc3-0f2eb3c0-908d6127,6,0.1016799999999999,568731852873.0,0.58634,0.8271700000000001,0.0,0.10169,1,1,0.4083699999999999,0.86869,1,0.23062,0.79637,19.0469,0.99019,1,0.66857,0.8005399999999999,16.89805,1.00495,1,0,0.0,13,3.9882,1,3.31272,1,173.47557,194.71109,0.0,1766,2527
8915,8,10,521d6f68-bba64c3b-86a27bc3-0f2eb3c0-908d6127,23,0.37939,568734629135.0,0.40683,0.7651399999999999,0.16467,0.21472,2,1,0.50874,0.39613,1,0.2346800000000001,0.7833899999999999,20.02189,1.02665,1,0.6721600000000001,0.7862100000000001,17.587,1.02665,1,0,0.0,13,3.93059,1,3.40912,1,351.10959,169.0004,0.0,737,2338
8916,8,10,521d6f68-bba64c3b-86a27bc3-0f2eb3c0-908d6127,49,0.8075,568738910567.0,0.4768,0.38621,0.44543,0.36206,3,1,0.46575,0.3855099999999999,1,0.23534,0.78661,20.3661,1.01107,1,0.6735899999999999,0.79038,17.63482,1.01107,1,0,0.0,12,4.01695,1,3.4156,1,430.73059000000006,71.82658,0.0,1138,1180
8917,8,10,521d6f68-bba64c3b-86a27bc3-0f2eb3c0-908d6127,69,1.13708,568742206071.0,0.41158,0.33397,0.8239700000000001,0.31311,4,1,0.45979,0.54889,0,0.22653,0.73132,9.61718,1.03446,0,0.67332,0.7864,17.90867,1.03446,0,0,0.0,12,2.21672,0,3.72232,0,137.34546,155.74597,0.0,765,1020
8918,8,10,521d6f68-bba64c3b-86a27bc3-0f2eb3c0-908d6127,118,1.94543,568750289427.0,0.39502,0.39513,1.4522700000000002,0.49316,5,1,0.37729,0.4073199999999999,1,0.23237,0.78545,22.29096,1.0268,1,0.6705399999999999,0.78974,20.18329,1.0268,1,0,0.0,13,4.46616,1,4.0467,1,73.30691999999998,244.29572,0.0,670,1207
8919,8,10,521d6f68-bba64c3b-86a27bc3-0f2eb3c0-908d6127,146,2.4093,568754929009.0,0.4393399999999999,0.40176,1.96643,0.44287,6,1,0.4639899999999999,0.59532,0,0.24201,0.79665,10.62131,1.03466,0,0.6766399999999999,0.79625,13.650670000000002,1.03466,0,309,0.0,13,2.44451,0,3.87816,0,85.3951,355.19009,0.0,924,1227
8920,8,10,521d6f68-bba64c3b-86a27bc3-0f2eb3c0-908d6127,175,2.88696,568759704670.0,0.42127,0.3634199999999999,2.62488,0.26208,7,1,0.42282,0.40119,1,0.23069,0.79297,21.88679,1.05028,1,0.6695800000000001,0.79372,19.92602,1.04247,1,0,0.0,14,4.34469,1,3.94219,1,54.02085,129.95903,0.0,820,1110
8921,8,10,521d6f68-bba64c3b-86a27bc3-0f2eb3c0-908d6127,192,3.18042,568762639727.0,0.43355,0.36846,2.90344,0.27698,8,1,0.45545,0.26849,1,0.2281699999999999,0.7895,22.48367,1.03446,1,0.66693,0.78894,20.82092,1.03446,1,0,0.0,14,4.43748,1,4.09934,1,24.19773,347.00031,0.0,891,1126
8922,8,10,521d6f68-bba64c3b-86a27bc3-0f2eb3c0-908d6127,210,3.4635,568765470997.0,0.42723,0.33325,3.18396,0.27954,9,1,0.37592,0.35675,1,0.22795,0.79346,22.28596,1.00321,1,0.66682,0.79088,20.48214,1.00321,1,0,0.0,14,4.38286,1,4.02597,1,39.91595,107.69794,0.0,854,1018
8923,8,10,521d6f68-bba64c3b-86a27bc3-0f2eb3c0-908d6127,231,3.80969,568768932757.0,0.41101,0.36834,3.47986,0.32983,10,1,0.45009,0.4537899999999999,1,0.22129,0.7955,22.49354,1.01199,1,0.66087,0.79192,20.62282,1.00504,1,0,0.0,14,4.47272,1,4.07247,1,49.05148,230.58803,0.0,761,1125
8924,8,10,521d6f68-bba64c3b-86a27bc3-0f2eb3c0-908d6127,250,4.12646,568772099569.0,0.41093,0.41203,3.83923,0.28723,11,1,0.3809599999999999,0.34869,1,0.2263099999999999,0.78899,22.44035,1.03445,1,0.66535,0.7882399999999999,21.19371,1.03445,1,0,0.0,14,4.46977,1,4.13795,1,47.18546,269.81348,0.0,761,1259
8925,8,10,521d6f68-bba64c3b-86a27bc3-0f2eb3c0-908d6127,283,4.665769999999998,568777492912.0,0.4238399999999999,0.34183,4.13916,0.52661,12,1,0.46479,0.36516,1,0.2260599999999999,0.7863399999999999,22.56394,1.02679,1,0.66383,0.78618,20.98292,1.02679,1,0,0.0,14,4.55309,1,4.14702,1,79.7651,71.89544000000002,0.0,835,1044
