,SESSION_ID,MEDIA_ID,DICOM_ID,CNT,Time (in secs),TIMETICK(f=10000000),FPOGX,FPOGY,FPOGS,FPOGD,FPOGID,FPOGV,BPOGX,BPOGY,BPOGV,LPCX,LPCY,LPD,LPS,LPV,RPCX,RPCY,RPD,RPS,RPV,BKID,BKDUR,BKPMIN,LPMM,LPMMV,RPMM,RPMMV,SACCADE_MAG,SACCADE_DIR,VID_FRAME,X_ORIGINAL,Y_ORIGINAL
38433,32,7,52ea7356-3e298e6e-41d09275-6cb75a3f-c77649de,5,0.0820299999999999,274916978128.0,0.59263,0.8092699999999999,0.0,0.0820299999999999,1,1,0.40693,0.68417,1,0.29277,0.51905,20.06538,1.0027700000000002,1,0.56052,0.49422,15.66281,1.0027700000000002,1,0,0.0,9,3.79206,1,3.11491,1,94.61388,159.40923,0.0,1803,2473
38434,32,7,52ea7356-3e298e6e-41d09275-6cb75a3f-c77649de,33,0.53906,274921549498.0,0.4129,0.733,0.14648,0.39258,2,1,0.41058,0.71312,0,0.29255,0.5180100000000001,21.52628,0.98767,0,0.5605,0.49178,14.50164,0.98767,0,1142,0.0,8,4.04896,0,2.87441,0,354.77655,166.57461999999995,0.0,772,2240
38435,32,7,52ea7356-3e298e6e-41d09275-6cb75a3f-c77649de,75,1.21289,274928288613.0,0.5193300000000001,0.42612,0.7959,0.4169899999999999,3,1,0.50889,0.23425,1,0.29804,0.5073300000000001,20.08406,1.02371,1,0.5647800000000001,0.48436,17.81766,1.03106,1,0,0.0,9,3.87331,1,3.46675,1,389.36255,58.34381,0.0,1382,1302
38436,32,7,52ea7356-3e298e6e-41d09275-6cb75a3f-c77649de,105,1.6992200000000002,274933144170.0,0.4695899999999999,0.26582,1.27734,0.42188,4,1,0.39704,0.26599,1,0.29633,0.50768,21.09465,1.00937,1,0.56321,0.48502,19.79335,1.01672,1,0,0.0,9,4.28927,1,3.69122,1,197.71783,118.88255,0.0,1097,812
38437,32,7,52ea7356-3e298e6e-41d09275-6cb75a3f-c77649de,140,2.26465,274938799243.0,0.3774699999999999,0.2701,1.71387,0.55078,5,1,0.48685,0.3544199999999999,1,0.30155,0.50616,22.23348,1.0386,1,0.56793,0.48428,19.35527,1.0386,1,0,0.0,9,4.76184,1,4.05273,1,176.93081999999995,181.49704,0.0,569,825
38438,32,7,52ea7356-3e298e6e-41d09275-6cb75a3f-c77649de,165,2.66895,274942842171.0,0.4756399999999999,0.4415600000000001,2.3291,0.33984,6,1,0.49355,0.4898899999999999,1,0.29076,0.51542,24.18418,0.97484,1,0.55795,0.48816,19.43448,0.97484,1,0,0.0,9,4.709969999999998,1,4.01031,1,264.23016,315.50748,0.0,1132,1349
38439,32,7,52ea7356-3e298e6e-41d09275-6cb75a3f-c77649de,286,4.62598,274962413988.0,0.47961,0.49668,2.68457,1.94141,7,1,0.50597,0.36152,1,0.28996,0.51177,21.38502,0.98767,1,0.55594,0.48527,19.36461,0.98767,1,0,0.0,9,4.642469999999999,1,3.86721,1,60.01558000000001,277.29663,0.0,1155,1517
38440,32,7,52ea7356-3e298e6e-41d09275-6cb75a3f-c77649de,306,4.94922,274965649878.0,0.51012,0.34615,4.6416,0.30762,8,1,0.50997,0.32111,1,0.2924,0.51012,20.70667000000001,0.98406,1,0.55857,0.48427,19.36415,0.97671,1,0,0.0,9,4.45859,1,3.59261,1,172.8042,70.18456,0.0,1330,1057
38441,32,7,52ea7356-3e298e6e-41d09275-6cb75a3f-c77649de,349,5.64551,274972610918.0,0.5102399999999999,0.27403,4.96582,0.67969,9,1,0.44138,0.3807,1,0.29173,0.51095,22.23461,1.00955,1,0.5585899999999999,0.48471,19.00668,1.0169,1,0,0.0,9,4.58153,1,3.74557,1,77.88996,89.83046999999998,0.0,1330,837
38442,32,7,52ea7356-3e298e6e-41d09275-6cb75a3f-c77649de,370,5.9843800000000025,274976000065.0,0.4729,0.37176,5.66113,0.32324,10,1,0.55865,0.5233,1,0.29401,0.51351,23.83712,1.0023799999999998,1,0.5605600000000001,0.48736,19.53473,0.99502,1,0,0.0,9,4.6749800000000015,1,3.83041,1,127.5944,235.81406,0.0,1116,1136
