,SESSION_ID,MEDIA_ID,DICOM_ID,CNT,Time (in secs),TIMETICK(f=10000000),FPOGX,FPOGY,FPOGS,FPOGD,FPOGID,FPOGV,BPOGX,BPOGY,BPOGV,LPCX,LPCY,LPD,LPS,LPV,RPCX,RPCY,RPD,RPS,RPV,BKID,BKDUR,BKPMIN,LPMM,LPMMV,RPMM,RPMMV,SACCADE_MAG,SACCADE_DIR,VID_FRAME,X_ORIGINAL,Y_ORIGINAL
18662,15,16,53260a23-5878a171-97061820-6c159b3b-c0fd6fad,7,0.1123,277085000000.0,0.5764699999999999,0.52047,0.0,0.11231,1,1,0.48593,0.40805,1,0.19611,0.5432,15.65444,0.97511,1,0.45429,0.57004,12.35187,0.97511,1,0,0.0,17,3.31217,1,3.37222,1,82.92638000000002,63.33929000000001,0.0,1710,1590
18663,15,16,53260a23-5878a171-97061820-6c159b3b-c0fd6fad,43,0.69775,277091000000.0,0.49472,0.43205,0.17627,0.52148,2,1,0.49315,0.70218,0,0.19442,0.54278,15.15431,0.98951,0,0.45242,0.5707899999999999,10.49583,0.98951,0,538,0.0,17,3.31122,0,2.89568,0,48.02518,240.70267,0.0,1241,1320
18664,15,16,53260a23-5878a171-97061820-6c159b3b-c0fd6fad,83,1.34033,277098000000.0,0.53282,0.41777,1.00879,0.33154,3,1,0.4981100000000001,0.45783,1,0.20276,0.54269,15.824129999999998,0.94649,1,0.46062,0.5745600000000001,12.5716,0.94649,1,0,0.0,17,3.35397,1,3.4232,1,168.25909,141.18206999999995,0.0,1460,1276
18665,15,16,53260a23-5878a171-97061820-6c159b3b-c0fd6fad,109,1.76123,277102000000.0,0.50766,0.43843,1.35693,0.4043,4,1,0.55737,0.30856,1,0.2062,0.5374899999999999,15.9359,0.98951,1,0.46262,0.5708300000000001,13.66631,0.98951,1,0,0.0,17,3.48711,1,3.38193,1,163.75076,191.34641,0.0,1315,1339
18666,15,16,53260a23-5878a171-97061820-6c159b3b-c0fd6fad,154,2.48926,277109000000.0,0.5446300000000001,0.32305,1.77783,0.71143,5,1,0.53282,0.28818,1,0.20751,0.53684,18.17363,0.97511,1,0.46472,0.56995,14.20391,0.97511,1,0,0.0,17,3.68719,1,3.5466900000000003,1,67.47131,193.77919,0.0,1527,987
18667,15,16,53260a23-5878a171-97061820-6c159b3b-c0fd6fad,213,3.44336,277119000000.0,0.55481,0.31234,2.50537,0.93799,6,1,0.5300199999999999,0.30756,1,0.20438,0.53873,18.84454,0.96745,1,0.4616,0.57087,15.46085,0.96009,1,0,0.0,16,3.75045,1,3.46504,1,109.29507,312.25793,0.0,1586,954
18668,15,16,53260a23-5878a171-97061820-6c159b3b-c0fd6fad,249,4.02588,277124000000.0,0.4679100000000001,0.37697,3.4589800000000004,0.56689,7,1,0.44251,0.41504,1,0.19879,0.54332,18.43445,0.95335,1,0.45645,0.57329,14.73044,0.96071,1,0,0.0,16,3.55271,1,3.36057,1,267.23712,357.20172,0.0,1088,1152
18669,15,16,53260a23-5878a171-97061820-6c159b3b-c0fd6fad,274,4.42969,277128000000.0,0.44128,0.41288,4.04199,0.3877,8,1,0.43125,0.43703,1,0.19769,0.54419,17.44291,0.94025,1,0.45552,0.5744199999999999,12.93513,0.9476,1,0,0.0,16,3.3955800000000003,1,3.35751,1,245.03662000000003,340.09656,0.0,935,1261
18670,15,16,53260a23-5878a171-97061820-6c159b3b-c0fd6fad,291,4.7045900000000005,277131000000.0,0.5335300000000001,0.38519,4.44775,0.25684,9,1,0.6159,0.37313,1,0.20755,0.5421600000000001,18.18364,0.99995,1,0.46428,0.57467,14.04669,0.99995,1,0,0.0,16,3.59901,1,3.4582900000000003,1,335.2872,163.28485,0.0,1464,1177
18671,15,16,53260a23-5878a171-97061820-6c159b3b-c0fd6fad,328,5.30322,277137000000.0,0.61446,0.35786,4.72314,0.58008,10,1,0.5979800000000001,0.32299,1,0.21297,0.54019,18.0455,1.01416,1,0.46967,0.57416,14.27793,1.02249,1,0,0.0,16,3.6079,1,3.55741,1,58.97187,63.13405,0.0,1928,1093
18672,15,16,53260a23-5878a171-97061820-6c159b3b-c0fd6fad,355,5.73975,277142000000.0,0.61279,0.33899,5.31982,0.41992,11,1,0.43097,0.33576,1,0.20185,0.54109,18.52398,0.98215,1,0.45929,0.57219,14.78479,0.9748,1,0,0.0,16,3.64661,1,3.3508400000000003,1,36.1049,147.21948,0.0,1918,1035
18673,15,16,53260a23-5878a171-97061820-6c159b3b-c0fd6fad,402,6.50049,277149000000.0,0.42982,0.38099,5.80469,0.6958,12,1,0.45247,0.43472,1,0.19797,0.54411,17.52175,0.96025,1,0.45564,0.5745,13.91247,0.96025,1,0,0.0,16,3.5848800000000005,1,3.29254,1,188.6217,195.18599,0.0,869,1164
18674,15,16,53260a23-5878a171-97061820-6c159b3b-c0fd6fad,423,6.83984,277153000000.0,0.46638,0.43631,6.51611,0.32373,13,1,0.63053,0.40692,1,0.20971,0.54232,17.828129999999994,0.94682,1,0.46703,0.57595,14.07055,0.96071,1,0,0.0,16,3.62834,1,3.49021,1,411.15005,342.46481,0.0,1079,1333
18675,15,16,53260a23-5878a171-97061820-6c159b3b-c0fd6fad,471,7.6162100000000015,277160000000.0,0.64437,0.3754,6.906739999999999,0.7094699999999999,14,1,0.6391899999999999,0.40832,1,0.20998,0.54292,16.9572,0.96791,1,0.467,0.57611,13.834270000000002,0.97624,1,0,0.0,15,3.5104900000000003,1,3.36006,1,1374.11609,310.05188,0.0,2099,1147
