,SESSION_ID,MEDIA_ID,DICOM_ID,CNT,Time (in secs),TIMETICK(f=10000000),FPOGX,FPOGY,FPOGS,FPOGD,FPOGID,FPOGV,BPOGX,BPOGY,BPOGV,LPCX,LPCY,LPD,LPS,LPV,RPCX,RPCY,RPD,RPS,RPV,BKID,BKDUR,BKPMIN,LPMM,LPMMV,RPMM,RPMMV,SACCADE_MAG,SACCADE_DIR,VID_FRAME,X_ORIGINAL,Y_ORIGINAL
15249,13,11,552d6e22-a8a9fcca-afa02588-aeae1cf6-6c6693b7,18,0.29123,1965549228009.0,0.45592,0.14755,0.0,0.29123,1,1,0.4628899999999999,0.51326,1,0.40071,0.53184,20.19855,0.9663,1,0.67778,0.5544600000000001,17.567729999999994,0.97234,1,0,0.0,8,5.68944,1,5.29343,1,7.28075,302.90393,0.0,1204,261
15250,13,11,552d6e22-a8a9fcca-afa02588-aeae1cf6-6c6693b7,48,0.77637,1965554079508.0,0.45227,0.56622,0.35577,0.4205899999999999,2,1,0.4181899999999999,0.55909,1,0.39075,0.5370199999999999,20.90379,0.99172,1,0.66872,0.55645,18.80757,0.9984,1,0,0.0,8,4.05176,1,3.73304,1,452.21786,269.11206,0.0,1184,1461
15251,13,11,552d6e22-a8a9fcca-afa02588-aeae1cf6-6c6693b7,73,1.18069,1965558122809.0,0.462,0.6139600000000001,0.7924800000000001,0.38821,3,1,0.61917,0.59993,1,0.39782,0.53937,20.22224,1.03677,1,0.67494,0.5617300000000001,17.68852,1.03677,1,0,0.0,8,3.80412,1,3.72932,1,54.83942,289.91714,0.0,1237,1598
15252,13,11,552d6e22-a8a9fcca-afa02588-aeae1cf6-6c6693b7,106,1.72003,1965563516102.0,0.67356,0.58494,1.24536,0.47467,4,1,0.59144,0.47121,1,0.39364,0.53709,18.8472,1.02368,1,0.6709999999999999,0.55765,16.58685,1.017,1,0,0.0,8,3.94939,1,3.8669,1,407.40253,4.41214,0.0,2382,1515
15253,13,11,552d6e22-a8a9fcca-afa02588-aeae1cf6-6c6693b7,139,2.24826,1965568798566.0,0.5111100000000001,0.4602,1.77951,0.46875,5,1,0.53786,0.47285,1,0.39189,0.53563,19.4715,1.02988,1,0.67014,0.55681,17.29577,1.02988,1,0,0.0,8,3.9828,1,3.9267300000000014,1,339.75485,156.63926999999995,0.0,1503,1157
15254,13,11,552d6e22-a8a9fcca-afa02588-aeae1cf6-6c6693b7,168,2.71741,1965573489776.0,0.47415,0.53864,2.2645,0.45291,6,1,0.5969,0.54027,1,0.39282,0.5376,19.65832,1.02988,1,0.67073,0.55858,16.87487,1.02988,1,0,0.0,8,3.88211,1,3.83993,1,110.50993,230.04813,0.0,1303,1382
15255,13,11,552d6e22-a8a9fcca-afa02588-aeae1cf6-6c6693b7,195,3.155,1965577865740.0,0.60083,0.5473,2.78189,0.37311,7,1,0.61026,0.61036,1,0.39654,0.5393899999999999,19.80846,1.0441,1,0.67477,0.56209,16.670560000000002,1.05077,1,0,0.0,8,3.67111,1,3.70062,1,243.4054,357.79788,0.0,1988,1407
15256,13,11,552d6e22-a8a9fcca-afa02588-aeae1cf6-6c6693b7,209,3.38135,1965580129243.0,0.56333,0.49041,3.1713,0.21005,8,1,0.53314,0.45636,1,0.39584,0.53313,18.38361,1.02988,1,0.67371,0.55591,18.06581,1.02988,1,0,0.0,8,4.00467,1,3.88347,1,94.65208,139.52423000000002,0.0,1785,1244
15257,13,11,552d6e22-a8a9fcca-afa02588-aeae1cf6-6c6693b7,229,3.70444,1965583360127.0,0.5125,0.4165100000000001,3.39709,0.30734,9,1,0.48753,0.37954,1,0.39537,0.5335,18.5674,1.08021,1,0.67243,0.55567,16.52769,1.0728,1,0,0.0,8,4.07404,1,4.17509,1,126.0733,140.72371,0.0,1510,1032
15258,13,11,552d6e22-a8a9fcca-afa02588-aeae1cf6-6c6693b7,263,4.25433,1965588859061.0,0.5067,0.45682,3.72025,0.53409,10,1,0.56012,0.59499,1,0.39487,0.5382,19.9688,1.00986,1,0.67251,0.5602699999999999,17.48819,1.01653,1,0,0.0,8,4.03875,1,4.22923,1,44.93653,255.65161,0.0,1479,1148
15259,13,11,552d6e22-a8a9fcca-afa02588-aeae1cf6-6c6693b7,293,4.73917,1965593707386.0,0.5726399999999999,0.59882,4.31909,0.42007,11,1,0.52405,0.49336,1,0.3859599999999999,0.53427,19.18322,1.0232,1,0.66384,0.55285,17.071620000000006,1.01653,1,0,0.0,8,3.82781,1,3.97137,1,198.86694,309.54105,0.0,1836,1555
15260,13,11,552d6e22-a8a9fcca-afa02588-aeae1cf6-6c6693b7,328,5.3128400000000005,1965599444302.0,0.54171,0.4714899999999999,4.75552,0.5573100000000001,12,1,0.5292899999999999,0.5024,0,0.44017,0.51305,6.075,1.02987,0,0.36609,0.57424,13.06027,1.02987,0,104,0.0,8,1.85334,0,4.35919,0,149.79117,113.35677,0.0,1668,1190
15261,13,11,552d6e22-a8a9fcca-afa02588-aeae1cf6-6c6693b7,374,6.05011,1965606816976.0,0.546,0.46696,5.52081,0.5293,13,1,0.4996100000000001,0.75203,1,0.39221,0.52507,19.18496,1.02364,0,0.67091,0.54628,15.63185,1.03031,1,0,0.0,9,3.86701,0,3.96608,1,9.58022,30.7089,0.0,1691,1177
15262,13,11,552d6e22-a8a9fcca-afa02588-aeae1cf6-6c6693b7,405,6.55124,1965611828287.0,0.47088,0.5084,6.3143,0.23694,14,1,0.42895,0.56788,1,0.3772,0.54346,19.97736,1.01126,1,0.6523399999999999,0.56111,17.25844,1.01126,1,0,0.0,10,3.82734,1,3.95369,1,151.01476,197.2393,0.0,1285,1296
15263,13,11,552d6e22-a8a9fcca-afa02588-aeae1cf6-6c6693b7,441,7.13293,1965617645235.0,0.40355,0.5425800000000001,6.56735,0.56558,15,1,0.444,0.37734,1,0.38234,0.54422,19.48831,1.0591700000000002,1,0.6579,0.56282,15.68967,1.06659,1,0,0.0,10,3.83016,1,3.3856900000000003,1,134.44083999999998,195.9368,0.0,921,1394
15264,13,11,552d6e22-a8a9fcca-afa02588-aeae1cf6-6c6693b7,460,7.44031,1965620718834.0,0.47857,0.4172300000000001,7.1978800000000005,0.24243,16,1,0.62979,0.4967,1,0.3935,0.54465,19.91642,1.02987,1,0.67083,0.56699,15.34215,1.02987,1,0,0.0,10,4.12599,1,3.39969,1,197.67215,43.2247,0.0,1327,1034
15265,13,11,552d6e22-a8a9fcca-afa02588-aeae1cf6-6c6693b7,480,7.76566,1965623972456.0,0.64159,0.47357,7.5051,0.26056,17,1,0.64048,0.5324,1,0.39691,0.54255,20.83423,1.02987,1,0.67495,0.5677800000000001,18.5961,1.02987,1,0,0.0,9,3.98054,1,3.9227300000000014,1,318.85788,348.99887,0.0,2209,1196
15266,13,11,552d6e22-a8a9fcca-afa02588-aeae1cf6-6c6693b7,514,8.31378,1965629453803.0,0.66215,0.5765899999999999,7.7816800000000015,0.5321,18,1,0.60936,0.45195,1,0.39833,0.54305,19.99407,1.01674,1,0.67576,0.5683,17.55913,1.01674,1,0,0.0,9,4.2129900000000005,1,4.15755,1,118.05695,289.53448,0.0,2320,1491
15267,13,11,552d6e22-a8a9fcca-afa02588-aeae1cf6-6c6693b7,538,8.70435,1965633359318.0,0.58434,0.4786,8.37836,0.32599,19,1,0.53333,0.4307,1,0.3961199999999999,0.53915,19.26022,1.01699,1,0.6734100000000001,0.5635399999999999,17.21045,1.01699,1,0,0.0,9,3.72727,1,3.66171,1,183.08131,144.68684,0.0,1899,1210
15268,13,11,552d6e22-a8a9fcca-afa02588-aeae1cf6-6c6693b7,553,8.94571,1965635773023.0,0.4579399999999999,0.51268,8.7193,0.22641,20,1,0.40578,0.52769,1,0.38744,0.54278,20.34518,1.00318,1,0.66504,0.5657,18.10964,1.00318,1,0,0.0,9,4.01924,1,3.84625,1,245.46312000000003,188.62386,0.0,1215,1308
15269,13,11,552d6e22-a8a9fcca-afa02588-aeae1cf6-6c6693b7,581,9.39771,1965640292849.0,0.41212,0.5143399999999999,8.96283,0.43488,21,1,0.4172300000000001,0.4451100000000001,1,0.3775,0.54782,20.93566,1.02987,1,0.65472,0.56121,18.90914,1.02987,1,0,0.0,9,4.18079,1,4.01619,1,87.99263,181.16743,0.0,967,1313
15270,13,11,552d6e22-a8a9fcca-afa02588-aeae1cf6-6c6693b7,599,9.68988,1965643214634.0,0.41999,0.4507100000000001,9.41348,0.2764,22,1,0.4058199999999999,0.45868,0,0.38919,0.5215,13.57637,1.0273,0,0.6540100000000001,0.5576300000000001,17.77593,1.01989,0,0,0.0,9,2.93174,0,3.63706,0,70.36204000000001,77.59905,0.0,1010,1130
15271,13,11,552d6e22-a8a9fcca-afa02588-aeae1cf6-6c6693b7,633,10.24435,1965648759495.0,0.4557600000000001,0.48602,9.9537,0.29065,23,1,0.63256,0.55167,1,0.38976,0.5526300000000001,21.39618,1.0591700000000002,1,0.66637,0.56839,18.49036,1.06659,1,0,0.0,10,3.95951,1,4.01175,1,78.55564,330.95804,0.0,1203,1231
15272,13,11,552d6e22-a8a9fcca-afa02588-aeae1cf6-6c6693b7,665,10.75589,1965653874680.0,0.64478,0.58098,10.30576,0.45013,24,1,0.66798,0.5948,1,0.39428,0.55423,19.35625,1.01746,1,0.67235,0.57152,16.47312,1.01746,1,0,0.0,10,3.96413,1,3.65941,1,377.13077,344.22028,0.0,2226,1504
15273,13,11,552d6e22-a8a9fcca-afa02588-aeae1cf6-6c6693b7,689,11.14465,1965657762249.0,0.65232,0.6119399999999999,10.77203,0.37262,25,1,0.4096,0.64772,1,0.3831699999999999,0.5647,19.98389,1.00318,1,0.66106,0.58103,17.35256,1.00318,1,0,0.0,10,3.81272,1,3.6287,1,36.43629,293.41086,0.0,2267,1593
15274,13,11,552d6e22-a8a9fcca-afa02588-aeae1cf6-6c6693b7,714,11.55084,1965661824265.0,0.41139,0.61337,11.20892,0.34192,26,1,0.4537,0.85175,1,0.37961,0.5614899999999999,15.827,1.00505,1,0.65814,0.57328,17.74036,1.00505,1,0,0.0,10,2.85827,1,3.93302,1,462.58823,180.19128,0.0,963,1597
15275,13,11,552d6e22-a8a9fcca-afa02588-aeae1cf6-6c6693b7,729,11.8017,1965664332897.0,0.4182899999999999,0.63045,11.56531,0.23639,27,1,0.5665,0.32991,0,0.37535,0.55823,19.30588,0.97836,0,0.65508,0.5646899999999999,9.69245,0.97836,0,107,0.0,10,3.65804,0,3.17533,0,22.71074,305.6853,0.0,1000,1646
15276,13,11,552d6e22-a8a9fcca-afa02588-aeae1cf6-6c6693b7,780,12.61676,1965672483456.0,0.42395,0.4708,12.0018,0.6149600000000001,28,1,0.5898100000000001,0.48753,1,0.38429,0.5482899999999999,18.05657,0.99442,1,0.66514,0.56445,15.51383,0.99442,1,0,0.0,11,4.60326,1,4.1507,1,172.76408,86.39361,0.0,1031,1188
15277,13,11,552d6e22-a8a9fcca-afa02588-aeae1cf6-6c6693b7,823,13.3118,1965679433964.0,0.61175,0.5142800000000001,12.68115,0.63065,29,1,0.63759,0.52612,1,0.4174,0.5366,20.66457,1.00317,1,0.69705,0.5661,18.77899,1.00317,1,0,0.0,11,3.96917,1,3.91029,1,363.62097,352.58005,0.0,2047,1312
15278,13,11,552d6e22-a8a9fcca-afa02588-aeae1cf6-6c6693b7,848,13.71951,1965683511106.0,0.6117199999999999,0.56085,13.37735,0.3421599999999999,30,1,0.51305,1.08071,0,0.4254199999999999,0.53992,18.39201,1.02987,0,0.7016399999999999,0.57744,13.94696,1.02987,0,108,0.0,11,3.62573,0,2.71236,0,50.29563,269.93439,0.0,2047,1446
15279,13,11,552d6e22-a8a9fcca-afa02588-aeae1cf6-6c6693b7,875,14.15363,1965687852029.0,0.56055,0.45956,13.93036,0.2232699999999999,31,1,0.64407,0.5986199999999999,1,0.42428,0.53952,19.76739,0.99744,1,0.70039,0.57507,17.647879999999994,1.00411,1,0,0.0,12,3.88932,1,3.83068,1,147.03484,131.92712,0.0,1770,1156
15280,13,11,552d6e22-a8a9fcca-afa02588-aeae1cf6-6c6693b7,896,14.49283,1965691244014.0,0.68693,0.6401100000000001,14.219270000000002,0.2735599999999999,32,1,0.7267600000000001,0.67774,1,0.42361,0.55371,19.45221,1.08709,1,0.6995600000000001,0.5888800000000001,17.82285,1.08709,1,0,0.0,12,3.74539,1,3.84027,1,311.2901,321.21454,0.0,2454,1673
15281,13,11,552d6e22-a8a9fcca-afa02588-aeae1cf6-6c6693b7,931,15.06049,1965696920658.0,0.7487,0.7247399999999999,14.50885,0.5516399999999999,33,1,0.76926,0.75342,1,0.4309,0.5483,19.25196,1.03741,1,0.70821,0.58524,16.83575,1.03074,1,0,0.0,12,3.79449,1,3.5819,1,149.7318,322.37958,0.0,2788,1916
15282,13,11,552d6e22-a8a9fcca-afa02588-aeae1cf6-6c6693b7,944,15.268679999999998,1965699002617.0,0.52793,0.72249,15.07516,0.19351,34,1,0.33443,0.7057899999999999,1,0.40614,0.54801,19.4369,1.01746,1,0.68357,0.57985,17.391579999999998,1.01746,1,0,0.0,12,3.74021,1,3.52639,1,423.88538,179.67154,0.0,1594,1910
