,SESSION_ID,MEDIA_ID,DICOM_ID,CNT,Time (in secs),TIMETICK(f=10000000),FPOGX,FPOGY,FPOGS,FPOGD,FPOGID,FPOGV,BPOGX,BPOGY,BPOGV,LPCX,LPCY,LPD,LPS,LPV,RPCX,RPCY,RPD,RPS,RPV,BKID,BKDUR,BKPMIN,LPMM,LPMMV,RPMM,RPMMV,SACCADE_MAG,SACCADE_DIR,VID_FRAME,X_ORIGINAL,Y_ORIGINAL
38597,32,12,655ca63b-91739e04-2121ab41-bb8734f9-d8fcd64b,6,0.09668,275615535103.0,0.3184099999999999,0.20953,0.0,0.09668,1,1,0.4181399999999999,0.3443,1,0.2899199999999999,0.5131,22.39415,1.0023799999999998,1,0.55537,0.48473,19.12522,1.00974,1,0,0.0,14,4.43153,1,3.65871,1,39.38582,321.30316,0.0,230,640
38598,32,12,655ca63b-91739e04-2121ab41-bb8734f9-d8fcd64b,26,0.42383,275618799315.0,0.43246,0.35374,0.16211,0.26172,2,1,0.45593,0.5212600000000001,0,0.29143,0.5123,23.18026,1.01709,0,0.55753,0.48467,16.62935,1.01709,0,1157,0.0,14,4.601459999999999,0,3.75088,0,268.71466000000004,324.57764,0.0,884,1081
38599,32,12,655ca63b-91739e04-2121ab41-bb8734f9-d8fcd64b,83,1.34277,275627991352.0,0.51828,0.53077,0.63477,0.70801,3,1,0.5604899999999999,0.57801,1,0.31475,0.5067,21.01749,1.00974,1,0.58118,0.48967,17.70744,1.0023799999999998,1,0,0.0,14,4.27008,1,3.5506900000000003,1,252.39879,310.75558,0.0,1376,1622
38600,32,12,655ca63b-91739e04-2121ab41-bb8734f9-d8fcd64b,105,1.6982400000000002,275631547514.0,0.54166,0.55088,1.3584,0.33984,4,1,0.53672,0.40915,1,0.30867,0.50597,22.94563,1.01709,1,0.57462,0.4871,18.90597,1.01709,1,0,0.0,14,4.60899,1,3.87307,1,49.86759,334.181,0.0,1510,1683
38601,32,12,655ca63b-91739e04-2121ab41-bb8734f9-d8fcd64b,126,2.03809,275634945431.0,0.52962,0.37235,1.7627,0.27539,5,1,0.52686,0.31947,1,0.30861,0.5043,20.88716,1.00919,1,0.57455,0.48531,18.74144,1.00919,1,0,0.0,14,4.47686,1,3.61971,1,194.19327,96.83671,0.0,1441,1137
38602,32,12,655ca63b-91739e04-2121ab41-bb8734f9-d8fcd64b,169,2.7334,275641898892.0,0.53513,0.3337699999999999,2.05371,0.67969,6,1,0.46035,0.38166,1,0.30282,0.50805,24.86224,0.99485,1,0.56887,0.48571,20.13161,0.99485,1,0,0.0,14,4.82089,1,4.03439,1,42.98849000000001,75.75331,0.0,1473,1020
38603,32,12,655ca63b-91739e04-2121ab41-bb8734f9-d8fcd64b,199,3.21875,275646752276.0,0.46274,0.39018,2.74902,0.46973,7,1,0.40141,0.5685399999999999,1,0.29971,0.51274,24.50707,1.0033,1,0.56467,0.4901,20.3593,0.99503,1,0,0.0,14,4.66456,1,4.000769999999998,1,151.75471000000005,203.66919,0.0,1058,1192
38604,32,12,655ca63b-91739e04-2121ab41-bb8734f9-d8fcd64b,228,3.6875,275651441542.0,0.39058,0.60425,3.2832,0.4043,8,1,0.38389,0.64982,1,0.2974699999999999,0.51322,24.38976,0.97452,1,0.56316,0.48983,19.69976,0.96794,1,0,0.0,14,4.6215,1,3.83386,1,269.53064,239.06726,0.0,644,1846
38605,32,12,655ca63b-91739e04-2121ab41-bb8734f9-d8fcd64b,242,3.91504,275653712517.0,0.38239,0.53517,3.7041,0.21094,9,1,0.37773,0.40849,1,0.29566,0.50781,22.85334,1.0314299999999998,1,0.56126,0.4838699999999999,18.66107,1.0314299999999998,1,0,0.0,13,4.49898,1,3.80325,1,76.24554,101.90203,0.0,597,1635
38606,32,12,655ca63b-91739e04-2121ab41-bb8734f9-d8fcd64b,264,4.27051,275657265469.0,0.3779,0.3599699999999999,3.93066,0.33984,10,1,0.41179,0.25899,1,0.30025,0.50579,22.03483,1.01709,1,0.5656100000000001,0.48311,19.35066,1.01709,1,0,0.0,13,4.49678,1,3.68365,1,189.41231,92.60862,0.0,572,1100
38607,32,12,655ca63b-91739e04-2121ab41-bb8734f9-d8fcd64b,281,4.5459,275660027082.0,0.45183,0.31822,4.28613,0.25977,11,1,0.6111800000000001,0.5372600000000001,1,0.30622,0.51293,24.42593,1.02372,1,0.5721,0.49104,20.04177,1.0310700000000002,1,0,0.0,13,4.7630300000000005,1,3.94972,1,148.93511999999996,17.62282,0.0,995,972
38608,32,12,655ca63b-91739e04-2121ab41-bb8734f9-d8fcd64b,302,4.88477,275663409795.0,0.62907,0.58913,4.609380000000002,0.27539,12,1,0.63512,0.6792199999999999,1,0.31021,0.51422,24.7803,0.98768,1,0.57682,0.4928399999999999,19.35155,0.98768,1,0,0.0,12,4.7911,1,3.84668,1,448.78647,319.3118,0.0,2011,1800
38609,32,12,655ca63b-91739e04-2121ab41-bb8734f9-d8fcd64b,321,5.19238,275666483900.0,0.65094,0.62305,4.90039,0.29199,13,1,0.62872,0.3879599999999999,1,0.30769,0.50935,21.34608,1.00956,1,0.57331,0.48811,18.4028,1.01691,1,0,0.0,12,4.6818,1,3.65856,1,55.72451,318.89771,0.0,2137,1904
38610,32,12,655ca63b-91739e04-2121ab41-bb8734f9-d8fcd64b,351,5.67676,275671335533.0,0.6087600000000001,0.24393,5.30566,0.37109,14,1,0.6090899999999999,0.36314,1,0.3056,0.50963,23.15998,0.99485,1,0.57116,0.48682,18.98952,0.99485,1,0,0.0,12,4.69572,1,3.67654,1,417.3819,101.1882,0.0,1895,745
38611,32,12,655ca63b-91739e04-2121ab41-bb8734f9-d8fcd64b,366,5.919919999999999,275673764866.0,0.57745,0.28776,5.69336,0.2265599999999999,15,1,0.51375,0.11945,1,0.30063,0.50356,23.77892,1.00956,1,0.5657800000000001,0.4802300000000001,21.21636,1.01691,1,0,0.0,12,4.82901,1,4.01805,1,76.5152,218.21786,0.0,1716,879
38612,32,12,655ca63b-91739e04-2121ab41-bb8734f9-d8fcd64b,387,6.26074,275677170936.0,0.4839600000000001,0.0422899999999999,5.9843800000000025,0.27637,16,1,0.32256,0.1806,1,0.29417,0.50664,24.31524,1.0023799999999998,1,0.55985,0.48253,20.43545,0.99503,1,0,0.0,12,5.0008,1,4.05084,1,320.16025,124.10139,0.0,1180,129
38613,32,12,655ca63b-91739e04-2121ab41-bb8734f9-d8fcd64b,413,6.6806600000000005,275681369024.0,0.30323,0.181,6.32422,0.35645,17,1,0.3210199999999999,0.17594,1,0.28988,0.50635,24.60522000000001,0.98768,1,0.55614,0.48163,21.03203,0.98768,1,0,0.0,11,5.05894,1,4.11586,1,377.95789,203.35072,0.0,143,553
38614,32,12,655ca63b-91739e04-2121ab41-bb8734f9-d8fcd64b,438,7.08398,275685407415.0,0.3200699999999999,0.16554,6.696289999999999,0.3877,18,1,0.45846,0.58008,1,0.29789,0.51347,26.12063,1.00239,1,0.56347,0.4903899999999999,20.22332,1.00974,1,0,0.0,11,5.39565,1,4.53369,1,36.38949,27.31202,0.0,240,505
38615,32,12,655ca63b-91739e04-2121ab41-bb8734f9-d8fcd64b,465,7.520510000000002,275689774541.0,0.56614,0.8264600000000001,7.15039,0.37012,19,1,0.58565,0.76136,1,0.30877,0.51794,24.38947000000001,1.00239,1,0.57592,0.4973399999999999,18.33727,1.00974,1,0,0.0,11,4.69186,1,3.82771,1,855.9873699999997,303.50027,0.0,1651,2525
38616,32,12,655ca63b-91739e04-2121ab41-bb8734f9-d8fcd64b,482,7.796880000000002,275692531421.0,0.61158,0.75581,7.53711,0.25977,20,1,0.68103,0.47001,1,0.31666,0.50968,19.97051,1.00202,1,0.5814600000000001,0.49191,15.5899,1.00202,1,0,0.0,11,4.138730000000002,1,3.29635,1,115.90364,41.17204,0.0,1911,2309
38617,32,12,655ca63b-91739e04-2121ab41-bb8734f9-d8fcd64b,500,8.086910000000001,275695438174.0,0.69426,0.36016,7.8613300000000015,0.22559,21,1,0.7107600000000001,0.31714,1,0.32095,0.50305,20.13771,1.04578,1,0.58436,0.48631,16.126279999999998,1.04578,1,0,0.0,11,4.10184,1,3.56022,1,455.83682000000016,69.61963,0.0,2385,1100
