,SESSION_ID,MEDIA_ID,DICOM_ID,CNT,Time (in secs),TIMETICK(f=10000000),FPOGX,FPOGY,FPOGS,FPOGD,FPOGID,FPOGV,BPOGX,BPOGY,BPOGV,LPCX,LPCY,LPD,LPS,LPV,RPCX,RPCY,RPD,RPS,RPV,BKID,BKDUR,BKPMIN,LPMM,LPMMV,RPMM,RPMMV,SACCADE_MAG,SACCADE_DIR,VID_FRAME,X_ORIGINAL,Y_ORIGINAL
447,1,11,67cffbc1-8c5a9b31-d91c6a78-95a07a25-1f2e8c7a,10,0.16229,698130311003.0,0.40946,0.55855,0.0,0.16229,1,1,0.43117,0.45343,1,0.36922,0.64144,17.53377,0.95685,1,0.63505,0.63168,17.78633,0.95685,1,0,0.0,12,3.57778,1,3.3253800000000004,1,32.50867,64.68456,0.0,1009,1449
448,1,11,67cffbc1-8c5a9b31-d91c6a78-95a07a25-1f2e8c7a,26,0.42212,698132909307.0,0.43442,0.47084,0.1784099999999999,0.2437099999999999,2,1,0.43308,0.54838,0,0.37141,0.64786,7.704039999999999,0.91982,0,0.63474,0.63249,16.19193,0.90649,0,200,0.0,12,1.81347,0,3.4614800000000003,0,106.1593,63.16473000000001,0.0,1152,1183
449,1,11,67cffbc1-8c5a9b31-d91c6a78-95a07a25-1f2e8c7a,50,0.80872,698136775021.0,0.44498,0.493,0.58649,0.22223,3,1,0.35907,0.58004,1,0.3612,0.64353,17.42245,0.95685,1,0.62683,0.63108,18.178420000000006,0.95685,1,0,0.0,13,3.5175,1,3.45919,1,31.36659,310.27036,0.0,1212,1250
450,1,11,67cffbc1-8c5a9b31-d91c6a78-95a07a25-1f2e8c7a,76,1.22925,698140980572.0,0.39808,0.5626,0.82489,0.40436,4,1,0.53385,0.47638,1,0.34369,0.64339,16.50429,0.95685,1,0.60656,0.61136,15.59707,0.95685,1,0,0.0,13,4.20029,1,3.87445,1,117.29822,219.85362,0.0,943,1461
451,1,11,67cffbc1-8c5a9b31-d91c6a78-95a07a25-1f2e8c7a,103,1.66595,698145347532.0,0.6305,0.43435,1.29388,0.3720699999999999,5,1,0.6745899999999999,0.4895199999999999,1,0.36472,0.63789,16.99097,0.97796,1,0.62746,0.61516,16.22318,0.98499,1,0,0.0,13,3.32652,1,3.15732,1,467.24826,17.24377,0.0,2275,1073
452,1,11,67cffbc1-8c5a9b31-d91c6a78-95a07a25-1f2e8c7a,120,1.94098,698148097893.0,0.6745,0.53057,1.68219,0.25879,6,1,0.67812,0.6904600000000001,1,0.36622,0.64295,17.90403,0.95685,1,0.62984,0.62107,17.5007,0.95685,1,0,0.0,12,3.6431,1,3.38632,1,133.92432,309.1094700000001,0.0,2527,1364
453,1,11,67cffbc1-8c5a9b31-d91c6a78-95a07a25-1f2e8c7a,147,2.37775,698152465168.0,0.6670699999999999,0.67718,2.00568,0.3720699999999999,7,1,0.42211,0.63135,1,0.35595,0.6438,17.365660000000002,0.97796,1,0.62063,0.6204,17.51728,0.98499,1,0,0.0,12,3.44305,1,3.3394800000000004,1,158.98015,264.85178,0.0,2485,1808
454,1,11,67cffbc1-8c5a9b31-d91c6a78-95a07a25-1f2e8c7a,167,2.70184,698155706065.0,0.39103,0.58523,2.44232,0.25952,8,1,0.37826,0.5419,1,0.35218,0.64361,16.91825,0.95685,1,0.61631,0.61973,16.96358,0.95685,1,0,0.0,12,3.426,1,3.30785,1,539.2199099999998,169.38748,0.0,903,1529
455,1,11,67cffbc1-8c5a9b31-d91c6a78-95a07a25-1f2e8c7a,197,3.18994,698160586972.0,0.38618,0.4834,2.71753,0.4724100000000001,9,1,0.38709,0.48702,0,0.35557,0.6433800000000001,13.57089,0.95685,0,0.61871,0.61985,16.32001,0.95685,0,201,0.0,12,3.23943,0,3.3492,0,110.36997,94.83985,0.0,875,1221
456,1,11,67cffbc1-8c5a9b31-d91c6a78-95a07a25-1f2e8c7a,229,3.70496,698165737366.0,0.38348,0.4460199999999999,3.35181,0.35315,10,1,0.34776,0.63054,1,0.3571,0.6510600000000001,17.53353,0.99906,1,0.62184,0.63183,17.80591,0.99203,1,0,0.0,12,3.56425,1,3.5815300000000003,1,40.70184,97.3174,0.0,860,1108
