,SESSION_ID,MEDIA_ID,DICOM_ID,CNT,Time (in secs),TIMETICK(f=10000000),FPOGX,FPOGY,FPOGS,FPOGD,FPOGID,FPOGV,BPOGX,BPOGY,BPOGV,LPCX,LPCY,LPD,LPS,LPV,RPCX,RPCY,RPD,RPS,RPV,BKID,BKDUR,BKPMIN,LPMM,LPMMV,RPMM,RPMMV,SACCADE_MAG,SACCADE_DIR,VID_FRAME,X_ORIGINAL,Y_ORIGINAL
7677,7,10,857eab1e-09807285-2ea45a30-f4d70a38-76097f8a,14,0.22778,716347506931.0,0.35318,0.18112,0.0,0.22778,1,1,0.43058,0.32088,1,0.45923,0.70531,17.45536,0.97514,1,0.71167,0.7065100000000001,17.86637,0.98223,1,0,0.0,7,3.49264,1,3.73801,1,32.52557,293.44479,0.0,430,553
7678,7,10,857eab1e-09807285-2ea45a30-f4d70a38-76097f8a,44,0.71191,716352349202.0,0.4924199999999999,0.5109199999999999,0.2912599999999999,0.42065,2,1,0.484,0.37423,1,0.46092,0.70809,16.23039,0.9581,1,0.7139300000000001,0.70938,16.88481,0.96615,1,0,0.0,7,3.49871,1,3.3515900000000003,1,445.35168,306.89078,0.0,1228,1561
7679,7,10,857eab1e-09807285-2ea45a30-f4d70a38-76097f8a,91,1.47192,716359949669.0,0.5041800000000001,0.37151,0.77661,0.69531,3,1,0.51698,0.33503,1,0.45878,0.70534,15.1383,0.96769,1,0.71212,0.70577,16.16057,0.96059,1,0,0.0,6,3.40249,1,3.56811,1,152.24641,81.47115,0.0,1295,1135
7680,7,10,857eab1e-09807285-2ea45a30-f4d70a38-76097f8a,114,1.84399,716363670572.0,0.50881,0.3678,1.4882799999999998,0.3557099999999999,4,1,0.51913,0.41248,1,0.45747,0.70509,16.42427,0.93012,1,0.71044,0.7054199999999999,16.62859,0.93012,1,0,0.0,6,3.37123,1,3.38711,1,9.7508,24.26267,0.0,1322,1123
7681,7,10,857eab1e-09807285-2ea45a30-f4d70a38-76097f8a,195,3.15405,716376770506.0,0.4916399999999999,0.3372,1.86035,1.2937,5,1,0.51805,0.36726,1,0.45561,0.7086899999999999,16.67439,0.96686,1,0.70865,0.70713,16.71814,0.95976,1,0,0.0,5,3.55894,1,3.42689,1,46.67925,134.92914,0.0,1224,1030
7682,7,10,857eab1e-09807285-2ea45a30-f4d70a38-76097f8a,237,3.83423,716383571581.0,0.5163399999999999,0.3851699999999999,3.17041,0.66382,6,1,0.50279,0.45941,1,0.45373,0.71123,15.84977,0.9581,1,0.7074199999999999,0.70953,15.71994,0.9581,1,0,0.0,4,3.31874,1,3.28576,1,70.23579000000001,312.47058,0.0,1365,1177
7683,7,10,857eab1e-09807285-2ea45a30-f4d70a38-76097f8a,258,4.1731,716386960291.0,0.49848,0.5048699999999999,3.84985,0.32324,7,1,0.47734,0.6058,1,0.4528899999999999,0.71483,14.90986,0.95101,1,0.70629,0.7126,14.69977,0.94391,1,0,0.0,4,3.22393,1,3.28256,1,133.74664,255.14407000000003,0.0,1263,1542
7684,7,10,857eab1e-09807285-2ea45a30-f4d70a38-76097f8a,280,4.52905,716390519506.0,0.46066,0.65081,4.18921,0.33984,8,1,0.4176,0.6756800000000001,1,0.45206,0.7166100000000001,15.15829,0.93712,1,0.7054,0.71431,14.68373,0.93712,1,0,0.0,4,3.22204,1,3.15649,1,173.53792,245.26416,0.0,1046,1988
7685,7,10,857eab1e-09807285-2ea45a30-f4d70a38-76097f8a,305,4.93335,716394563649.0,0.4652,0.6754899999999999,4.54541,0.38794,9,1,0.49387,0.68514,1,0.45407,0.7129,13.83177,0.93712,1,0.70754,0.7106600000000001,12.71765,0.93712,1,0,0.0,4,3.06659,1,2.91873,1,28.04355,288.10931,0.0,1072,2064
7686,7,10,857eab1e-09807285-2ea45a30-f4d70a38-76097f8a,318,5.14355,716396665033.0,0.55265,0.67995,4.94971,0.19385,10,1,0.59732,0.7390399999999999,1,0.45737,0.71307,9.65544,0.95267,1,0.70917,0.7107600000000001,13.31567,0.95976,1,0,0.0,4,2.63115,1,2.82504,1,167.97295,358.35678,0.0,1573,2077
