,SESSION_ID,MEDIA_ID,DICOM_ID,CNT,Time (in secs),TIMETICK(f=10000000),FPOGX,FPOGY,FPOGS,FPOGD,FPOGID,FPOGV,BPOGX,BPOGY,BPOGV,LPCX,LPCY,LPD,LPS,LPV,RPCX,RPCY,RPD,RPS,RPV,BKID,BKDUR,BKPMIN,LPMM,LPMMV,RPMM,RPMMV,SACCADE_MAG,SACCADE_DIR,VID_FRAME,X_ORIGINAL,Y_ORIGINAL
43849,35,18,86984a09-53add60f-d7a18edc-0fad0370-4a28d632,9,0.0481,41885269166.0,0.4753199999999999,0.26511,0.0,0.0481,1,1,0.4792,0.30645,1,0.23626,0.44238,19.35213,1.01613,1,0.50293,0.43699,17.202370000000002,1.01613,1,0,0.0,10,3.87301,1,3.32016,1,10.61327,283.3891,0.0,1130,810
43850,35,18,86984a09-53add60f-d7a18edc-0fad0370-4a28d632,38,0.22144,41887001752.0,0.4852,0.27076,0.05737,0.1640599999999999,2,1,0.49793,0.3199,1,0.23545,0.4431199999999999,19.40039,1.01613,1,0.5022,0.43773,17.80001,1.01613,1,0,0.0,10,4.05295,1,3.47967,1,19.926820000000006,342.16833,0.0,1187,827
43851,35,18,86984a09-53add60f-d7a18edc-0fad0370-4a28d632,67,0.3869599999999999,41888658470.0,0.4814600000000001,0.2647,0.2258300000000001,0.16113,3,1,0.50497,0.41085,1,0.23786,0.4456600000000001,20.53145,1.03833,1,0.50438,0.44014,17.74911,1.0457299999999998,1,0,0.0,10,4.15345,1,3.37924,1,9.71587,137.65295,0.0,1165,808
43852,35,18,86984a09-53add60f-d7a18edc-0fad0370-4a28d632,114,0.6621100000000001,41891410203.0,0.50053,0.4196,0.4138199999999999,0.24829,4,1,0.50443,0.46629,1,0.2366599999999999,0.4469899999999999,21.57787,1.01613,0,0.50367,0.44231,14.2903,1.01613,1,0,0.0,10,4.37868,0,3.4223800000000004,1,171.25194,282.3454,0.0,1275,1282
43853,35,18,86984a09-53add60f-d7a18edc-0fad0370-4a28d632,121,0.70532,41891842322.0,0.50464,0.4611399999999999,0.6721199999999999,0.0332,5,1,0.50443,0.46629,0,0.2366599999999999,0.4469899999999999,21.57787,1.01613,0,0.50367,0.44231,14.2903,1.01613,0,0,0.0,10,4.37868,0,3.4223800000000004,0,45.55194,279.97595,0.0,1298,1409
43854,35,18,86984a09-53add60f-d7a18edc-0fad0370-4a28d632,199,1.17969,41896585367.0,0.48473,0.53342,1.03467,0.14502,6,1,0.45285,0.50568,1,0.23528,0.45061,22.44784,1.0457299999999998,1,0.5031100000000001,0.44143,17.80931,1.0457299999999998,1,0,0.0,11,4.35385,1,3.45054,1,86.9198,243.90904,0.0,1184,1630
43855,35,18,86984a09-53add60f-d7a18edc-0fad0370-4a28d632,287,1.71387,41901925991.0,0.4694899999999999,0.50979,1.18921,0.52466,7,1,0.57711,0.569,1,0.23972,0.4512,20.6453,1.0457299999999998,1,0.50695,0.4447,16.16615,1.0457299999999998,1,0,0.0,11,4.4206400000000015,1,3.26148,1,38.82643,138.90604,0.0,1097,1557
43856,35,18,86984a09-53add60f-d7a18edc-0fad0370-4a28d632,360,2.17725,41906560406.0,0.57607,0.57898,1.7229,0.45435,8,1,0.52117,0.6179899999999999,1,0.2359,0.45327,21.58687,1.01613,1,0.50283,0.4463899999999999,17.76278,1.01613,1,0,0.0,11,4.16869,1,3.3495,1,217.8504,339.93954,0.0,1708,1769
43857,35,18,86984a09-53add60f-d7a18edc-0fad0370-4a28d632,389,2.32788,41908067618.0,0.51645,0.6045699999999999,2.1792,0.14868,9,1,0.50764,0.31792,1,0.23575,0.44765,20.29886,1.03833,1,0.5021399999999999,0.4413399999999999,17.29668,1.0457299999999998,1,0,0.0,11,4.1869,1,3.3707,1,117.75949,193.57343,0.0,1366,1847
43858,35,18,86984a09-53add60f-d7a18edc-0fad0370-4a28d632,451,2.68384,41911626519.0,0.52374,0.31567,2.354,0.32983,10,1,0.55092,0.39153,1,0.24092,0.4479399999999999,20.41125,1.01613,1,0.50794,0.44272,16.81765,1.01613,1,0,0.0,11,4.1178,1,3.43422,1,312.32571,87.43144000000002,0.0,1408,964
