,SESSION_ID,MEDIA_ID,DICOM_ID,CNT,Time (in secs),TIMETICK(f=10000000),FPOGX,FPOGY,FPOGS,FPOGD,FPOGID,FPOGV,BPOGX,BPOGY,BPOGV,LPCX,LPCY,LPD,LPS,LPV,RPCX,RPCY,RPD,RPS,RPV,BKID,BKDUR,BKPMIN,LPMM,LPMMV,RPMM,RPMMV,SACCADE_MAG,SACCADE_DIR,VID_FRAME,X_ORIGINAL,Y_ORIGINAL
36227,30,14,90e24c07-a45678f2-dcdbd866-658ae794-d0b5f445,4,0.0647,3222735875753.0,0.63184,0.36007,0.0,0.0647,1,1,0.49049,0.32438,1,0.39558,0.68103,16.3571,0.9928,1,0.64366,0.6905,15.70799,1.00085,1,0,0.0,13,3.65,1,3.5258199999999995,1,87.0976,169.20111,0.0,2268,851
36228,30,14,90e24c07-a45678f2-dcdbd866-658ae794-d0b5f445,20,0.32361,3222738465184.0,0.49905,0.31316,0.12939,0.19421,2,1,0.50375,0.33379,0,0.64112,0.69362,8.64051,1.01705,0,0.64264,0.68902,17.1566,1.01705,0,0,0.0,13,2.16088,0,3.6288,0,259.94174,168.76109,0.0,1512,710
36229,30,14,90e24c07-a45678f2-dcdbd866-658ae794-d0b5f445,50,0.80872,3222743315797.0,0.4230899999999999,0.45868,0.5863,0.22241,3,1,0.40502,0.59605,1,0.38465,0.68158,18.39773,1.03325,1,0.6332399999999999,0.68704,16.65788,1.03325,1,0,0.0,14,3.65172,1,3.46276,1,214.40611,227.13924,0.0,1080,1147
36230,30,14,90e24c07-a45678f2-dcdbd866-658ae794-d0b5f445,70,1.13214,3222746550557.0,0.45911,0.5947100000000001,0.8734700000000001,0.2586699999999999,4,1,0.4943399999999999,0.57109,1,0.38983,0.68181,16.860139999999998,1.02515,1,0.6383800000000001,0.69007,16.17411,1.02515,1,0,0.0,14,3.42005,1,3.4177,1,162.37653999999995,295.2085,0.0,1285,1556
36231,30,14,90e24c07-a45678f2-dcdbd866-658ae794-d0b5f445,84,1.35876,3222748816526.0,0.58192,0.68135,1.14838,0.21039,5,1,0.62495,0.64744,1,0.39343,0.6843899999999999,15.7433,1.07285,1,0.6409699999999999,0.69267,16.10322,1.09265,1,0,0.0,14,3.64456,1,3.25542,1,253.68283,338.3552200000001,0.0,1984,1817
36232,30,14,90e24c07-a45678f2-dcdbd866-658ae794-d0b5f445,108,1.74689,3222752697906.0,0.59354,0.69991,1.37506,0.37183,6,1,0.53041,0.65894,1,0.38804,0.68297,15.95661,0.99286,1,0.6358600000000001,0.69012,14.872179999999998,0.98482,1,0,0.0,14,3.31293,1,3.31452,1,29.992390000000004,318.06174,0.0,2050,1872
36233,30,14,90e24c07-a45678f2-dcdbd866-658ae794-d0b5f445,156,2.52319,3222760460802.0,0.52287,0.63779,1.7634299999999998,0.75977,7,1,0.5344300000000001,0.58565,1,0.38926,0.6827300000000001,15.51361,0.97141,1,0.63768,0.68999,14.77603,0.96337,1,0,0.0,13,3.24528,1,3.158,1,151.36646000000005,153.69011,0.0,1648,1686
36234,30,14,90e24c07-a45678f2-dcdbd866-658ae794-d0b5f445,174,2.8151900000000003,3222763380778.0,0.54469,0.5465899999999999,2.53931,0.27588,8,1,0.55242,0.46693,1,0.3902,0.67912,15.43656,1.00906,1,0.6380899999999999,0.6868,15.08049,1.01711,1,0,0.0,13,3.28482,1,3.09017,1,107.03561,66.95796999999999,0.0,1772,1412
36235,30,14,90e24c07-a45678f2-dcdbd866-658ae794-d0b5f445,214,3.4613,3222769841846.0,0.55511,0.50022,2.83075,0.63055,9,1,0.54605,0.4559899999999999,1,0.39054,0.6766399999999999,16.961660000000002,1.0284799999999998,1,0.63766,0.68455,16.670189999999998,1.0284799999999998,1,0,0.0,12,3.65627,1,3.41346,1,53.92785,68.22371,0.0,1831,1272
36236,30,14,90e24c07-a45678f2-dcdbd866-658ae794-d0b5f445,257,4.1568,3222776797058.0,0.5219600000000001,0.40323,3.4774199999999995,0.67938,10,1,0.4804199999999999,0.33596,1,0.38858,0.6763100000000001,16.39931,1.02624,1,0.6359899999999999,0.68442,16.13462,1.03543,1,0,0.0,12,3.60614,1,3.49634,1,122.57021,121.28379,0.0,1643,981
36237,30,14,90e24c07-a45678f2-dcdbd866-658ae794-d0b5f445,277,4.48041,3222780033065.0,0.4756,0.35029,4.22144,0.25897,11,1,0.42472,0.52179,1,0.38711,0.67982,16.13727,0.97677,1,0.63442,0.68776,15.2202,0.98481,1,0,0.0,12,3.2779199999999995,1,3.15901,1,105.79227,147.28587,0.0,1379,821
36238,30,14,90e24c07-a45678f2-dcdbd866-658ae794-d0b5f445,314,5.07874,3222786016089.0,0.43136,0.5634600000000001,4.5451,0.53363,12,1,0.37773,0.61515,1,0.3846699999999999,0.68377,15.92172,0.98082,1,0.63235,0.69045,13.8748,1.00515,1,0,0.0,12,3.3181,1,3.06657,1,245.39325,249.7485,0.0,1127,1462
36239,30,14,90e24c07-a45678f2-dcdbd866-658ae794-d0b5f445,340,5.49982,3222790227013.0,0.39913,0.61619,5.09583,0.40399,13,1,0.5112300000000001,0.50058,1,0.38906,0.68274,16.945420000000002,1.02515,1,0.63689,0.68987,14.585020000000002,1.01711,1,0,0.0,12,3.51886,1,3.3435,1,84.09789,222.62277000000003,0.0,943,1621
36240,30,14,90e24c07-a45678f2-dcdbd866-658ae794-d0b5f445,368,5.95221,3222794751039.0,0.59328,0.4673100000000001,5.56409,0.3881199999999999,14,1,0.59636,0.37847,1,0.39286,0.6804600000000001,16.615029999999994,0.98487,1,0.64025,0.68876,15.14684,0.98487,1,0,0.0,12,3.4735400000000003,1,3.46521,1,405.96747,23.33255,0.0,2048,1173
36241,30,14,90e24c07-a45678f2-dcdbd866-658ae794-d0b5f445,401,6.4859,3222800088042.0,0.61129,0.3855099999999999,5.96881,0.5170899999999999,15,1,0.635,0.33594,1,0.39376,0.6814399999999999,17.60374,1.10706,1,0.6411100000000001,0.69003,16.13914,1.10706,1,0,0.0,11,3.62905,1,3.44814,1,94.87034,68.62392,0.0,2151,927
36242,30,14,90e24c07-a45678f2-dcdbd866-658ae794-d0b5f445,416,6.72876,3222802516318.0,0.61342,0.44137,6.50208,0.22668,16,1,0.60025,0.54811,1,0.39192,0.68397,17.13675,1.00107,1,0.63944,0.69118,16.17499,1.00107,1,0,0.0,11,3.70498,1,3.33991,1,60.46728,273.87805,0.0,2163,1095
