,SESSION_ID,MEDIA_ID,DICOM_ID,CNT,Time (in secs),TIMETICK(f=10000000),FPOGX,FPOGY,FPOGS,FPOGD,FPOGID,FPOGV,BPOGX,BPOGY,BPOGV,LPCX,LPCY,LPD,LPS,LPV,RPCX,RPCY,RPD,RPS,RPV,BKID,BKDUR,BKPMIN,LPMM,LPMMV,RPMM,RPMMV,SACCADE_MAG,SACCADE_DIR,VID_FRAME,X_ORIGINAL,Y_ORIGINAL
16657,14,10,92e3ffb0-ef137d7f-51fc0415-7c0f39c4-7bc16d08,2,0.01465,82279783605.0,0.42571,0.19652,0.0,0.01465,1,1,0.47761,0.15677,1,0.2271699999999999,0.35483,22.56664,0.98543,1,0.50869,0.36123,20.49839,0.98543,1,0,0.0,20,4.77556,1,3.93079,1,11.42537,26.61891,0.0,846,600
16658,14,10,92e3ffb0-ef137d7f-51fc0415-7c0f39c4-7bc16d08,66,0.36914,82283332029.0,0.68621,0.22745,0.03174,0.3374,2,1,0.5888399999999999,0.3260699999999999,1,0.23196,0.35909,24.22609,0.99786,1,0.51234,0.36446,19.19851,0.99786,1,0,0.0,20,5.14341,1,4.22342,1,501.27429000000006,356.17905,0.0,2339,695
16659,14,10,92e3ffb0-ef137d7f-51fc0415-7c0f39c4-7bc16d08,128,0.72559,82286894153.0,0.51694,0.4890899999999999,0.38623,0.33936,3,1,0.49621,0.54335,1,0.22488,0.36959,22.49052,0.97286,1,0.5058600000000001,0.37449,17.62696,0.97286,1,0,0.0,20,4.11521,1,3.25876,1,430.66281,221.00546,0.0,1369,1494
16660,14,10,92e3ffb0-ef137d7f-51fc0415-7c0f39c4-7bc16d08,172,0.95801,82289221655.0,0.4996100000000001,0.5617800000000001,0.72656,0.23145,4,1,0.5646899999999999,0.5874199999999999,1,0.23126,0.3696,20.81854,0.94801,1,0.51121,0.37724,16.48516,0.94801,1,0,0.0,20,4.0791900000000005,1,3.0839,1,85.26538000000002,247.03085,0.0,1269,1716
16661,14,10,92e3ffb0-ef137d7f-51fc0415-7c0f39c4-7bc16d08,234,1.30811,82292722655.0,0.5792,0.56992,0.96777,0.34033,5,1,0.56816,0.5151600000000001,1,0.23851,0.36901,20.18771,0.99786,1,0.5189699999999999,0.38022,16.77822,0.99786,1,0,0.0,20,3.88741,1,3.0292,1,153.06554,356.70743,0.0,1726,1741
16662,14,10,92e3ffb0-ef137d7f-51fc0415-7c0f39c4-7bc16d08,256,1.43848,82294022517.0,0.5595899999999999,0.5143399999999999,1.31445,0.12402,6,1,0.51742,0.47726,1,0.23939,0.36574,19.99706,0.94801,1,0.51963,0.37897,17.21045,0.94801,1,0,0.0,20,3.84194,1,3.11616,1,70.85759,122.09785,0.0,1613,1571
16663,14,10,92e3ffb0-ef137d7f-51fc0415-7c0f39c4-7bc16d08,343,1.92285,82298869715.0,0.49731,0.4376100000000001,1.44336,0.4794899999999999,7,1,0.53046,0.33703,1,0.23792,0.36311,20.08234,0.97301,1,0.5173800000000001,0.37572,18.18374,0.97301,1,0,0.0,20,4.09547,1,3.29564,1,145.48521000000005,145.27766,0.0,1256,1337
16664,14,10,92e3ffb0-ef137d7f-51fc0415-7c0f39c4-7bc16d08,443,2.48779,82304519168.0,0.53893,0.37166,1.92871,0.55908,8,1,0.4999399999999999,0.39696,1,0.23203,0.3627599999999999,20.12384,0.97911,1,0.51177,0.37319,18.44398,0.98536,1,0,0.0,19,4.13616,1,3.36546,1,107.04586,41.71137,0.0,1495,1135
16665,14,10,92e3ffb0-ef137d7f-51fc0415-7c0f39c4-7bc16d08,498,2.79639,82307602399.0,0.50934,0.41567,2.48877,0.30762,9,1,0.5402,0.41117,1,0.23528,0.36375,21.78211,0.97301,1,0.5151,0.37467,18.33625,0.97301,1,0,0.0,19,4.14432,1,3.2964900000000004,1,74.07343,219.91658,0.0,1325,1270
16666,14,10,92e3ffb0-ef137d7f-51fc0415-7c0f39c4-7bc16d08,528,2.95898,82309230214.0,0.53718,0.40797,2.80225,0.15674,10,1,0.53047,0.45657,0,0.4959699999999999,0.3407699999999999,7.6476,0.94801,1,0.5149699999999999,0.37303,17.792839999999995,0.94801,0,0,0.0,19,2.25443,1,3.3381800000000004,0,54.09584,8.842989999999997,0.0,1485,1246
