,SESSION_ID,MEDIA_ID,DICOM_ID,CNT,Time (in secs),TIMETICK(f=10000000),FPOGX,FPOGY,FPOGS,FPOGD,FPOGID,FPOGV,BPOGX,BPOGY,BPOGV,LPCX,LPCY,LPD,LPS,LPV,RPCX,RPCY,RPD,RPS,RPV,BKID,BKDUR,BKPMIN,LPMM,LPMMV,RPMM,RPMMV,SACCADE_MAG,SACCADE_DIR,VID_FRAME,X_ORIGINAL,Y_ORIGINAL
9305,8,20,a06609d8-57f41c76-af85d92f-93c2b1de-217c4189,20,0.3291,570401090796.0,0.6621600000000001,0.13415,0.0459,0.2832,2,1,0.4990600000000001,0.29323,1,0.171,0.82284,21.36747,1.06566,1,0.6068899999999999,0.79783,19.14516,1.06566,1,0,0.0,11,4.31121,1,3.88879,1,142.93523000000005,102.60018,0.0,2201,409
9306,8,20,a06609d8-57f41c76-af85d92f-93c2b1de-217c4189,37,0.60815,570403882817.0,0.4457600000000001,0.43355,0.39404,0.21411,3,1,0.39855,0.5139100000000001,1,0.16666,0.82734,22.08173,1.03441,1,0.60218,0.80181,20.31169,1.03441,1,0,0.0,11,4.42199,1,4.062819999999999,1,526.48523,217.89171,0.0,961,1324
9307,8,20,a06609d8-57f41c76-af85d92f-93c2b1de-217c4189,58,0.9541,570407341425.0,0.40016,0.4994699999999999,0.62427,0.32983,4,1,0.40268,0.3146,1,0.16723,0.81921,21.39568,1.01082,1,0.60213,0.79368,19.57521,1.01082,1,0,0.0,11,4.38753,1,3.8391,1,112.84451,219.11656,0.0,699,1526
9308,8,20,a06609d8-57f41c76-af85d92f-93c2b1de-217c4189,77,1.26758,570410476057.0,0.36332,0.2835,1.02026,0.24731,5,1,0.33205,0.60931,1,0.16622,0.82878,22.04321,1.04999,1,0.59936,0.8046399999999999,19.8795,1.0578,1,0,0.0,11,4.27168,1,4.07868,1,243.73672,106.87005,0.0,488,866
9309,8,20,a06609d8-57f41c76-af85d92f-93c2b1de-217c4189,104,1.71338,570414935139.0,0.33952,0.77153,1.33276,0.3806199999999999,6,1,0.5091399999999999,0.76995,1,0.17129,0.83116,21.31166,1.03421,1,0.60696,0.8075600000000001,19.585420000000006,1.03421,1,0,0.0,11,4.27986,1,3.90533,1,529.0495599999998,265.04498,0.0,351,2357
9310,8,20,a06609d8-57f41c76-af85d92f-93c2b1de-217c4189,124,2.04468,570418248067.0,0.59349,0.67584,1.77832,0.26636,7,1,0.59546,0.63074,1,0.17123,0.82862,19.99638,1.05004,1,0.60751,0.8055100000000001,18.44688,1.04222,1,0,0.0,11,4.09555,1,3.65602,1,498.45346,11.96602,0.0,1807,2065
9311,8,20,a06609d8-57f41c76-af85d92f-93c2b1de-217c4189,137,2.25513,570420351841.0,0.56555,0.43166,2.07471,0.18042,8,1,0.56058,0.32937,1,0.1670299999999999,0.8235100000000001,19.85511,1.03441,1,0.60232,0.79892,17.866629999999994,1.04222,1,0,0.0,11,4.00781,1,3.66048,1,269.11533,101.49822,0.0,1647,1319
9312,8,20,a06609d8-57f41c76-af85d92f-93c2b1de-217c4189,156,2.56909,570423492260.0,0.51554,0.36163,2.27197,0.29712,9,1,0.38386,0.3702,1,0.16017,0.82575,21.29403,1.06566,1,0.59535,0.80047,19.64251,1.06566,1,0,0.0,10,4.26797,1,3.90485,1,122.22915,141.77322,0.0,1361,1105
9313,8,20,a06609d8-57f41c76-af85d92f-93c2b1de-217c4189,188,3.09668,570428768066.0,0.39536,0.50556,2.63525,0.46143,10,1,0.46106,0.6610699999999999,1,0.16948,0.8253799999999999,22.12551,1.0342,1,0.60532,0.80294,19.872020000000006,1.02639,1,0,0.0,10,4.3973900000000015,1,3.93499,1,278.22021,213.96661,0.0,672,1544
9314,8,20,a06609d8-57f41c76-af85d92f-93c2b1de-217c4189,211,3.47583,570432558039.0,0.51135,0.64335,3.16235,0.31348,11,1,0.58178,0.6622899999999999,1,0.17255,0.8276700000000001,22.03176,1.02644,1,0.6091,0.80586,20.02786,1.01863,1,0,0.0,10,4.40599,1,3.89347,1,267.84509,326.24835,0.0,1337,1966
9315,8,20,a06609d8-57f41c76-af85d92f-93c2b1de-217c4189,237,3.90479,570436848288.0,0.53263,0.63823,3.4921900000000003,0.4126,12,1,0.45487,0.6269100000000001,1,0.1706,0.82481,21.61848,1.06566,1,0.60629,0.8022100000000001,19.42679,1.06566,1,0,0.0,10,4.36833,1,3.82154,1,41.2302,7.7073800000000015,0.0,1459,1950
9316,8,20,a06609d8-57f41c76-af85d92f-93c2b1de-217c4189,251,4.14111,570439210709.0,0.48423,0.51676,3.92725,0.2138699999999999,13,1,0.5184,0.37377,1,0.1718,0.8201,21.39268,1.04222,1,0.60775,0.79852,19.71314,1.03441,1,0,0.0,10,4.36799,1,3.83651,1,160.76637,125.31222,0.0,1181,1579
9317,8,20,a06609d8-57f41c76-af85d92f-93c2b1de-217c4189,274,4.51465,570442947722.0,0.4864600000000001,0.39002,4.15356,0.36108,14,1,0.47485,0.35407,1,0.1675,0.82121,20.96384,1.0342,1,0.60369,0.7972600000000001,18.32965,1.0342,1,0,0.0,10,4.29994,1,3.73982,1,136.94611,88.20838,0.0,1194,1191
