,SESSION_ID,MEDIA_ID,DICOM_ID,CNT,Time (in secs),TIMETICK(f=10000000),FPOGX,FPOGY,FPOGS,FPOGD,FPOGID,FPOGV,BPOGX,BPOGY,BPOGV,LPCX,LPCY,LPD,LPS,LPV,RPCX,RPCY,RPD,RPS,RPV,BKID,BKDUR,BKPMIN,LPMM,LPMMV,RPMM,RPMMV,SACCADE_MAG,SACCADE_DIR,VID_FRAME,X_ORIGINAL,Y_ORIGINAL
9281,8,19,a439aa5a-bb7de25c-957b50e6-84b63133-744396b1,1,0.01831,570301996928.0,0.42598,0.64946,0.0,0.01831,1,1,0.32518,0.8024100000000001,1,0.19501,0.81715,18.58508,1.02646,1,0.6313300000000001,0.8137,15.06398,1.01865,1,0,0.0,10,3.73289,1,3.52391,1,37.17196,216.51474,0.0,847,1984
9282,8,19,a439aa5a-bb7de25c-957b50e6-84b63133-744396b1,21,0.34546,570305269942.0,0.34908,0.7092,0.03271,0.31274,2,1,0.41348,0.40243,1,0.19599,0.8074399999999999,19.49011,1.02651,1,0.6315,0.80306,17.05459,1.03433,1,0,0.0,10,3.90767,1,3.4371,1,161.12935,203.60435,0.0,406,2167
9283,8,19,a439aa5a-bb7de25c-957b50e6-84b63133-744396b1,51,0.84009,570310215040.0,0.40945,0.39637,0.42676,0.41333,3,1,0.56171,0.40408,1,0.19648,0.80411,21.30024,1.0835,1,0.63212,0.79866,19.06108,1.0835,1,0,0.0,10,4.45259,1,3.92629,1,357.18649,71.06414000000002,0.0,752,1211
9284,8,19,a439aa5a-bb7de25c-957b50e6-84b63133-744396b1,95,1.56592,570317474587.0,0.58494,0.45856,0.90771,0.6582,4,1,0.60747,0.72741,0,0.20276,0.81099,12.42259,1.06568,0,0.6357,0.80069,17.1107,1.06568,0,340,0.0,10,4.10777,0,3.92089,0,343.56995,348.72653,0.0,1758,1401
9285,8,19,a439aa5a-bb7de25c-957b50e6-84b63133-744396b1,131,2.15869,570323401888.0,0.5365300000000001,0.34071,1.83594,0.32275,5,1,0.44201,0.50385,1,0.19497,0.81077,22.77199,1.03437,1,0.63044,0.80506,20.84963,1.03437,1,0,0.0,11,4.511909999999999,1,4.147469999999998,1,157.60345,126.1395,0.0,1481,1041
9286,8,19,a439aa5a-bb7de25c-957b50e6-84b63133-744396b1,154,2.53906,570327205648.0,0.4190899999999999,0.4481699999999999,2.22534,0.31372,6,1,0.41443,0.4357399999999999,1,0.19152,0.81834,21.20276,1.03537,1,0.62731,0.81121,18.52643,1.02756,1,0,0.0,11,4.33611,1,3.86718,1,253.59929,207.23483,0.0,808,1369
9287,8,19,a439aa5a-bb7de25c-957b50e6-84b63133-744396b1,174,2.86841,570330497695.0,0.41528,0.40438,2.55542,0.31299,7,1,0.4557100000000001,0.31174,1,0.19104,0.8133699999999999,21.45641,1.04213,1,0.62705,0.80625,19.78667,1.03432,1,0,0.0,11,4.33022,1,3.98216,1,47.85561,98.79267,0.0,786,1235
9288,8,19,a439aa5a-bb7de25c-957b50e6-84b63133-744396b1,192,3.16553,570333470138.0,0.45109,0.33681,2.88501,0.28052,8,1,0.55948,0.38752,1,0.19897,0.8135399999999999,21.20018,1.04213,1,0.63571,0.80861,18.86788,1.03432,1,0,0.0,11,4.35513,1,3.85094,1,100.26324,46.70564,0.0,991,1029
9289,8,19,a439aa5a-bb7de25c-957b50e6-84b63133-744396b1,225,3.70923,570338906889.0,0.5706,0.41788,3.18164,0.52759,9,1,0.51193,0.51198,1,0.19651,0.8147800000000001,21.58159,1.04213,1,0.633,0.80904,19.9914,1.03432,1,0,0.0,10,4.34077,1,3.97054,1,245.59619,339.11444,0.0,1676,1277
9290,8,19,a439aa5a-bb7de25c-957b50e6-84b63133-744396b1,247,4.07251,570342539341.0,0.5169600000000001,0.47976,3.72583,0.34668,10,1,0.4710899999999999,0.51771,1,0.19368,0.81495,21.63621,1.04218,1,0.6297699999999999,0.80862,19.62336,1.05,1,0,0.0,10,4.34044,1,3.90581,1,122.77211,212.97993,0.0,1369,1466
