,SESSION_ID,MEDIA_ID,DICOM_ID,CNT,Time (in secs),TIMETICK(f=10000000),FPOGX,FPOGY,FPOGS,FPOGD,FPOGID,FPOGV,BPOGX,BPOGY,BPOGV,LPCX,LPCY,LPD,LPS,LPV,RPCX,RPCY,RPD,RPS,RPV,BKID,BKDUR,BKPMIN,LPMM,LPMMV,RPMM,RPMMV,SACCADE_MAG,SACCADE_DIR,VID_FRAME,X_ORIGINAL,Y_ORIGINAL
688,1,17,ace4c487-623940d8-3d9ba694-554f8ed1-929099ce,21,0.3396,699164818899.0,0.50557,0.11664,0.0,0.3396,1,1,0.4728199999999999,0.31226,1,0.38178,0.62726,20.03139,0.96387,1,0.64488,0.61121,19.52861,0.96387,1,0,0.0,7,3.83942,1,4.00306,1,7.232369999999999,259.29047,0.0,1559,111
689,1,17,ace4c487-623940d8-3d9ba694-554f8ed1-929099ce,45,0.7279100000000001,699168701879.0,0.40707,0.53235,0.40417,0.32373,2,1,0.38065,0.56239,1,0.37474,0.63649,18.8822,0.95684,1,0.639,0.61905,19.1165,0.95684,1,0,0.0,7,3.65216,1,3.762,1,487.17303,247.15753,0.0,995,1369
690,1,17,ace4c487-623940d8-3d9ba694-554f8ed1-929099ce,69,1.11768,699172600690.0,0.36726,0.5453899999999999,0.7441399999999999,0.37354,3,1,0.28723,0.24821,0,0.37459,0.63459,10.49798,0.95684,0,0.62126,0.5989300000000001,5.9707300000000005,0.95684,0,220,0.0,7,3.75862,0,1.92468,0,77.72178000000002,190.4397,0.0,767,1409
691,1,17,ace4c487-623940d8-3d9ba694-554f8ed1-929099ce,119,1.92456,699180669139.0,0.37771,0.5257,1.56909,0.35547,4,1,0.33692,0.6681199999999999,1,0.3683,0.6410899999999999,19.56111,0.97165,1,0.6322800000000001,0.62675,19.57202,0.95832,1,0,0.0,8,3.75397,1,3.84365,1,29.23656,46.66483,0.0,827,1349
692,1,17,ace4c487-623940d8-3d9ba694-554f8ed1-929099ce,147,2.3776900000000003,699185200082.0,0.35,0.6431100000000001,1.9408,0.4368899999999999,5,1,0.54198,0.65591,1,0.36563,0.64039,17.505489999999998,0.97091,1,0.62716,0.6249600000000001,17.96516,0.96387,1,0,0.0,8,4.44602,1,4.42063,1,137.51195,247.23831,0.0,668,1705
693,1,17,ace4c487-623940d8-3d9ba694-554f8ed1-929099ce,172,2.78186,699189242621.0,0.65787,0.66575,2.44238,0.33948,6,1,0.6843600000000001,0.68512,1,0.4212,0.63275,17.22261,0.95684,1,0.6865899999999999,0.6394,15.37694,0.96387,1,0,0.0,8,3.5981300000000003,1,3.54204,1,591.61584,357.63132,0.0,2432,1773
694,1,17,ace4c487-623940d8-3d9ba694-554f8ed1-929099ce,209,3.38025,699195225867.0,0.68634,0.67373,2.79834,0.58191,7,1,0.68547,0.62579,1,0.53566,0.6149399999999999,15.86035,0.99202,1,0.7931199999999999,0.67535,15.96071,0.99905,1,0,0.0,8,3.22721,1,3.09865,1,55.3376,351.04016,0.0,2595,1797
695,1,17,ace4c487-623940d8-3d9ba694-554f8ed1-929099ce,240,3.88184,699200241383.0,0.6975,0.64777,3.3964800000000004,0.48535,8,1,0.7059,0.67665,1,0.5551,0.61131,17.3606,1.00784,1,0.8114,0.6824899999999999,16.371,1.01576,1,0,0.0,8,3.50816,1,3.2957,1,35.28724000000001,52.61098000000001,0.0,2659,1719
696,1,17,ace4c487-623940d8-3d9ba694-554f8ed1-929099ce,274,4.43567,699205780679.0,0.69455,0.65684,3.89795,0.53772,9,1,0.70473,0.6932,0,0.5243899999999999,0.61763,16.62549,0.95684,0,0.78066,0.67502,15.41824,0.95684,0,221,0.0,8,3.29512,0,3.07521,0,11.31521,239.96295,0.0,2642,1746
697,1,17,ace4c487-623940d8-3d9ba694-554f8ed1-929099ce,340,5.50439,699216467582.0,0.6973600000000001,0.64913,4.83972,0.66467,10,1,0.7262,0.69043,0,0.56912,0.66499,15.10296,0.95684,0,0.73685,0.7034100000000001,15.05493,0.95684,0,222,0.0,9,3.69378,0,3.8644,0,9.92189,57.05993,0.0,2658,1723
