,SESSION_ID,MEDIA_ID,DICOM_ID,CNT,Time (in secs),TIMETICK(f=10000000),FPOGX,FPOGY,FPOGS,FPOGD,FPOGID,FPOGV,BPOGX,BPOGY,BPOGV,LPCX,LPCY,LPD,LPS,LPV,RPCX,RPCY,RPD,RPS,RPV,BKID,BKDUR,BKPMIN,LPMM,LPMMV,RPMM,RPMMV,SACCADE_MAG,SACCADE_DIR,VID_FRAME,X_ORIGINAL,Y_ORIGINAL
40779,33,24,b0af618c-5f432fb8-3a5eaf31-23fa161e-e837cb84,60,0.33838,72809663078.0,0.5141,0.37817,0.0,0.33838,2,1,0.53014,0.4312,1,0.14101,0.45023,20.79529,1.04968,1,0.40202,0.4687199999999999,17.35557,1.04968,1,0,0.0,19,4.456930000000002,1,3.51391,1,47.48906,79.75291,0.0,1305,861
40780,33,24,b0af618c-5f432fb8-3a5eaf31-23fa161e-e837cb84,79,0.45215,72810803677.0,0.51726,0.40043,0.33936,0.11279,3,1,0.55618,0.10764,1,0.14157,0.4471600000000001,15.19155,1.02045,1,0.40347,0.46738,16.070829999999994,1.02045,1,0,0.0,19,4.17635,1,3.2267900000000003,1,24.79455,284.16403,0.0,1320,916
40781,33,24,b0af618c-5f432fb8-3a5eaf31-23fa161e-e837cb84,189,1.0507799999999998,72816789420.0,0.46132,0.48171,0.87744,0.17334,4,1,0.5070100000000001,0.4761,1,0.14159,0.45288,24.402,1.06602,1,0.40362,0.471,18.40846,1.07419,1,0,0.0,19,4.98893,1,4.13404,1,138.71387,219.25926,0.0,1060,1116
40782,33,24,b0af618c-5f432fb8-3a5eaf31-23fa161e-e837cb84,221,1.229,72818568592.0,0.55272,0.5101899999999999,1.05664,0.1723599999999999,5,1,0.56263,0.55289,1,0.14167,0.45313,24.16814,0.99141,1,0.4041099999999999,0.4717699999999999,18.49396,0.99141,1,0,0.0,19,4.75899,1,3.84832,1,178.16315,350.05853,0.0,1485,1187
40783,33,24,b0af618c-5f432fb8-3a5eaf31-23fa161e-e837cb84,315,1.74561,72823735208.0,0.5657,0.4987,1.23486,0.51074,6,1,0.57368,0.52076,1,0.14179,0.4523100000000001,23.52391,1.08237,1,0.40391,0.47075,17.756429999999995,1.08237,1,0,0.0,19,4.6575,1,3.60694,1,27.84018,26.47,0.0,1545,1158
40784,33,24,b0af618c-5f432fb8-3a5eaf31-23fa161e-e837cb84,340,1.88184,72825095925.0,0.56809,0.50757,1.74658,0.13525,7,1,0.51108,0.58219,1,0.13875,0.45287,23.14958,1.04242,1,0.40041,0.47057,18.3521,1.04969,1,0,0.0,19,4.57092,1,3.58616,1,10.62197,295.59488,0.0,1556,1180
40785,33,24,b0af618c-5f432fb8-3a5eaf31-23fa161e-e837cb84,366,2.02148,72826495348.0,0.49026,0.55494,1.89111,0.13037,8,1,0.4704,0.58936,1,0.1386,0.45252,23.20409,1.02449,1,0.40021,0.47066,18.59203,1.03266,1,0,0.0,19,4.57645,1,3.75671,1,157.94839,198.89897,0.0,1194,1297
40786,33,24,b0af618c-5f432fb8-3a5eaf31-23fa161e-e837cb84,397,2.19873,72828267576.0,0.49403,0.59475,2.02734,0.17139,9,1,0.4936100000000001,0.69655,1,0.13942,0.45288,20.32911,0.99141,1,0.40069,0.4696,17.99738,0.99141,1,0,0.0,19,4.59358,1,3.66427,1,43.59981,279.55646,0.0,1212,1396
40787,33,24,b0af618c-5f432fb8-3a5eaf31-23fa161e-e837cb84,404,2.23193,72828599550.0,0.49171,0.66196,2.19971,0.03223,10,1,0.49,0.66091,0,0.13945,0.4542199999999999,16.91378,1.11525,0,0.40068,0.46968,18.30975,1.11525,0,0,0.0,19,4.68961,0,3.84561,0,72.7234,266.48834,0.0,1201,1562
40788,33,24,b0af618c-5f432fb8-3a5eaf31-23fa161e-e837cb84,487,2.69971,72833278408.0,0.47848,0.5231600000000001,2.52588,0.1738299999999999,11,1,0.4852899999999999,0.54542,1,0.13769,0.45165,23.47896,1.03607,1,0.39993,0.46883,17.80368,1.0515,1,0,0.0,20,4.5817,1,3.73306,1,152.04099,99.61753,0.0,1139,1219
40789,33,24,b0af618c-5f432fb8-3a5eaf31-23fa161e-e837cb84,538,2.9751,72836030906.0,0.5181399999999999,0.48194,2.70068,0.27441,12,1,0.52617,0.4325699999999999,1,0.13756,0.45108,22.53395,1.04969,1,0.3996699999999999,0.4686899999999999,17.46688,1.04969,1,0,0.0,20,4.37187,1,3.4690800000000004,1,88.20551999999998,30.31163,0.0,1324,1117
40790,33,24,b0af618c-5f432fb8-3a5eaf31-23fa161e-e837cb84,585,3.22412,72838521003.0,0.51841,0.42528,2.97656,0.24756,13,1,0.4793699999999999,0.34996,1,0.1358,0.44822,20.36102,0.99141,1,0.3976,0.4664100000000001,16.95806,0.99141,1,0,0.0,20,4.12245,1,3.35955,1,61.19497,89.51465,0.0,1325,977
40791,33,24,b0af618c-5f432fb8-3a5eaf31-23fa161e-e837cb84,603,3.32227,72839500651.0,0.4805399999999999,0.32214,3.2334,0.08887,14,1,0.4768600000000001,0.27381,1,0.13465,0.44853,20.44621,1.08237,1,0.39664,0.4668600000000001,17.602710000000005,1.0742,1,0,0.0,20,4.138809999999999,1,3.4339,1,133.0218,123.13442,0.0,1149,722
40792,33,24,b0af618c-5f432fb8-3a5eaf31-23fa161e-e837cb84,646,3.55811,72841861509.0,0.47498,0.28628,3.33057,0.22754,15,1,0.47106,0.24718,1,0.13685,0.4484899999999999,20.8543,1.11525,1,0.39881,0.4669100000000001,17.44324,1.11525,1,0,0.0,20,4.23925,1,3.54516,1,40.17312,105.41038,0.0,1123,634
40793,33,24,b0af618c-5f432fb8-3a5eaf31-23fa161e-e837cb84,719,3.96826,72845962709.0,0.51876,0.3409,3.56396,0.4043,16,1,0.51341,0.34674,1,0.14018,0.4471,21.04795,1.02046,1,0.40214,0.46712,18.35793,1.02046,1,0,0.0,20,4.4568400000000015,1,3.6997,1,102.69106,324.9397600000001,0.0,1327,769
40794,33,24,b0af618c-5f432fb8-3a5eaf31-23fa161e-e837cb84,739,4.07568,72847036762.0,0.53256,0.3578199999999999,3.97949,0.09619,17,1,0.55737,0.50959,1,0.13985,0.4517100000000001,23.10086,1.08237,1,0.40153,0.47016,17.938489999999994,1.08237,1,0,0.0,20,4.45715,1,3.72341,1,32.18636,325.40692,0.0,1391,810
40795,33,24,b0af618c-5f432fb8-3a5eaf31-23fa161e-e837cb84,837,4.62549,72852536713.0,0.55186,0.5414399999999999,4.097659999999999,0.52783,18,1,0.65701,0.55602,1,0.14388,0.45295,20.4151,1.05353,1,0.40502,0.47225,16.097579999999994,1.05353,1,0,0.0,19,4.43027,1,3.26928,1,201.74199,280.58417000000003,0.0,1481,1264
40796,33,24,b0af618c-5f432fb8-3a5eaf31-23fa161e-e837cb84,862,4.77002,72853981831.0,0.65862,0.55787,4.63135,0.13867,19,1,0.6573399999999999,0.61206,1,0.14548,0.4537100000000001,20.29416,0.99141,1,0.40649,0.47242,16.69419,0.99141,1,0,0.0,19,4.3834300000000015,1,3.19885,1,205.74585,355.05243,0.0,1977,1305
40797,33,24,b0af618c-5f432fb8-3a5eaf31-23fa161e-e837cb84,985,5.43457,72860623366.0,0.68048,0.56622,4.771,0.66357,20,1,0.67803,0.55345,1,0.1461599999999999,0.4544,20.95779,1.08237,1,0.40708,0.47397,17.21761,1.08237,1,0,0.0,19,4.34675,1,3.3641,1,42.92907,347.87369,0.0,2079,1325
40798,33,24,b0af618c-5f432fb8-3a5eaf31-23fa161e-e837cb84,1128,6.21045,72868382986.0,0.6687,0.5716899999999999,5.7148400000000015,0.4956100000000001,21,1,0.68389,0.5868,0,0.14986,0.45808,21.30712,1.08238,0,0.41198,0.47766,17.7473,1.08238,0,0,0.0,20,4.3660000000000005,0,3.41269,0,23.37648,194.6384,0.0,2024,1339
40799,33,24,b0af618c-5f432fb8-3a5eaf31-23fa161e-e837cb84,1217,6.72852,72873565324.0,0.6752600000000001,0.5964,6.54004,0.18848,22,1,0.68481,0.60998,1,0.1469,0.45148,22.65906,1.04339,1,0.40873,0.4720899999999999,18.09117,1.05066,1,0,0.0,20,4.477530000000002,1,3.57236,1,29.50976,295.26587,0.0,2054,1400
40800,33,24,b0af618c-5f432fb8-3a5eaf31-23fa161e-e837cb84,1320,7.29346,72879214820.0,0.67385,0.57712,7.0249,0.26855,23,1,0.71087,0.59283,1,0.1611,0.45041,22.31296,1.08238,1,0.4226,0.4754,17.701420000000006,1.08238,1,0,0.0,20,4.43935,1,3.50737,1,20.99765,97.40791,0.0,2048,1352
40801,33,24,b0af618c-5f432fb8-3a5eaf31-23fa161e-e837cb84,1379,7.6074199999999985,72882353463.0,0.68987,0.62445,7.29443,0.31299,24,1,0.6853100000000001,0.65913,1,0.15805,0.44769,22.61686,0.99868,1,0.42013,0.47112,17.74376,0.99142,1,0,0.0,20,4.47506,1,3.50803,1,59.65707,301.03671,0.0,2122,1469
40802,33,24,b0af618c-5f432fb8-3a5eaf31-23fa161e-e837cb84,1398,7.71387,72883419965.0,0.6805899999999999,0.62441,7.617189999999999,0.09668,25,1,0.68183,0.58315,1,0.15563,0.44868,22.54918,1.08238,1,0.41784,0.47117,17.62951,1.08238,1,0,0.0,20,4.42801,1,3.48664,1,17.81768,179.86104,0.0,2079,1469
40803,33,24,b0af618c-5f432fb8-3a5eaf31-23fa161e-e837cb84,1508,8.3125,72889404997.0,0.6774600000000001,0.5715,7.71484,0.5976600000000001,26,1,0.6912,0.60853,1,0.15216,0.44895,21.09633,1.02065,1,0.41317,0.47008,17.84226,1.02065,1,0,0.0,20,4.43599,1,3.4675,1,57.45789,96.00355,0.0,2065,1338
40804,33,24,b0af618c-5f432fb8-3a5eaf31-23fa161e-e837cb84,1525,8.3999,72890278950.0,0.68642,0.54662,8.31348,0.0864299999999999,27,1,0.38281,-0.8380299999999999,1,0.15531,0.44351,16.697860000000002,1.05354,1,0.41242,0.45314,7.77513,1.05354,1,0,0.0,20,3.87862,1,2.1167,1,31.9056,57.3716,0.0,2106,1277
