,SESSION_ID,MEDIA_ID,DICOM_ID,CNT,Time (in secs),TIMETICK(f=10000000),FPOGX,FPOGY,FPOGS,FPOGD,FPOGID,FPOGV,BPOGX,BPOGY,BPOGV,LPCX,LPCY,LPD,LPS,LPV,RPCX,RPCY,RPD,RPS,RPV,BKID,BKDUR,BKPMIN,LPMM,LPMMV,RPMM,RPMMV,SACCADE_MAG,SACCADE_DIR,VID_FRAME,X_ORIGINAL,Y_ORIGINAL
5915,5,23,b5647c01-13e985db-d10f71c7-01db1bc1-f68366a0,2,0.03204,5493520000000.0,0.40418,2.30572,0.0,0.03204,2,1,0.40304,2.32692,0,0.23992,0.6751199999999999,15.77518,0.96783,0,0.53345,0.6402800000000001,8.52955,0.96783,0,0,0.0,23,3.41469,0,2.51701,0,190.00826,269.63525,0.0,-2,-2
5916,5,23,b5647c01-13e985db-d10f71c7-01db1bc1-f68366a0,39,0.63,5493530000000.0,0.4811,0.4244699999999999,0.3465,0.28351,3,1,0.47048,0.4759,1,0.33829,0.5865600000000001,21.35732,0.82314,1,0.63053,0.58036,19.05284,0.8282299999999999,1,0,0.0,24,3.79965,1,3.44851,1,2037.1106,85.84253000000002,0.0,1163,1297
5917,5,23,b5647c01-13e985db-d10f71c7-01db1bc1-f68366a0,51,0.8273299999999999,5493530000000.0,0.46615,0.43699,0.64618,0.18115,4,1,0.48978,0.08475,0,0.35079,0.5847399999999999,16.45824,0.87565,0,0.64422,0.57823,18.34153,0.87565,0,154,0.0,23,3.26653,0,3.39598,0,31.72935,205.22371,0.0,1077,1335
5918,5,23,b5647c01-13e985db-d10f71c7-01db1bc1-f68366a0,72,1.17291,5493540000000.0,0.6242300000000001,0.45236,1.08905,0.08386,5,1,0.63751,0.42388,0,0.56257,0.5353600000000001,15.82736,0.87565,0,0.64422,0.57823,18.34153,0.87565,0,0,0.0,24,3.85602,0,3.39598,0,303.96719,356.86954,0.0,1984,1382
5919,5,23,b5647c01-13e985db-d10f71c7-01db1bc1-f68366a0,109,1.7622099999999998,5493540000000.0,0.51608,0.48425,1.32672,0.43549,6,1,0.55284,0.5321199999999999,1,0.2623,0.64005,18.84294,0.93879,1,0.53678,0.55381,16.41199,0.93879,1,0,0.0,24,3.73611,1,3.23543,1,210.48483,189.41756,0.0,1364,1479
5920,5,23,b5647c01-13e985db-d10f71c7-01db1bc1-f68366a0,139,2.2478,5493550000000.0,0.54063,0.52696,1.77856,0.46924,7,1,0.50246,0.51453,1,0.27359,0.62037,20.11108,0.87565,1,0.55903,0.53864,17.699679999999994,0.87565,1,0,0.0,23,3.89208,1,3.62351,1,65.95055,315.61987,0.0,1504,1610
5921,5,23,b5647c01-13e985db-d10f71c7-01db1bc1-f68366a0,153,2.47424,5493550000000.0,0.52641,0.39576,2.26385,0.21039,8,1,0.5533399999999999,0.30785,1,0.30606,0.61993,20.96819,0.8989799999999999,1,0.59312,0.55696,19.90135,0.8989799999999999,1,0,0.0,23,3.96795,1,3.6834,1,144.30238,100.90624,0.0,1423,1209
5922,5,23,b5647c01-13e985db-d10f71c7-01db1bc1-f68366a0,181,2.92706,5493550000000.0,0.53486,0.35712,2.49005,0.43701,9,1,0.5099600000000001,0.38535,1,0.32778,0.61052,22.03238,0.8561700000000001,1,0.6192300000000001,0.55296,19.81428,0.8561700000000001,1,0,0.0,23,3.93797,1,3.5668800000000003,1,44.77405,68.75506999999999,0.0,1471,1091
5923,5,23,b5647c01-13e985db-d10f71c7-01db1bc1-f68366a0,217,3.50922,5493560000000.0,0.52849,0.34659,2.94354,0.56567,10,1,0.51625,0.31294,1,0.3508199999999999,0.6240399999999999,22.14038,0.83585,1,0.64584,0.58348,20.24618,0.83585,1,0,0.0,23,5.17322,1,4.86552,1,16.700779999999998,137.08202,0.0,1435,1059
5924,5,23,b5647c01-13e985db-d10f71c7-01db1bc1-f68366a0,248,4.0109900000000005,5493560000000.0,0.50467,0.26141,3.52521,0.4857800000000001,11,1,0.5332899999999999,0.25406,1,0.3855699999999999,0.60146,22.94085,0.81807,1,0.68286,0.5755899999999999,19.19279,0.81807,1,0,0.0,23,4.28948,1,3.95392,1,102.73561,116.43394,0.0,1298,798
5925,5,23,b5647c01-13e985db-d10f71c7-01db1bc1-f68366a0,275,4.44727,5493570000000.0,0.50802,0.2414800000000001,4.02661,0.42065,12,1,0.4474,0.29658,1,0.36524,0.5991,21.41081,0.85139,1,0.65601,0.5565899999999999,18.3943,0.85139,1,0,0.0,23,4.09765,1,3.84209,1,22.46484,73.36272,0.0,1317,737
5926,5,23,b5647c01-13e985db-d10f71c7-01db1bc1-f68366a0,294,4.75476,5493570000000.0,0.4265600000000001,0.30638,4.46326,0.2915,13,1,0.3851,0.43651,1,0.35131,0.59316,21.30425,0.8989799999999999,1,0.64059,0.5475,18.82178,0.8989799999999999,1,0,0.0,23,3.9257800000000014,1,3.55186,1,171.39087,204.13953,0.0,850,936
5927,5,23,b5647c01-13e985db-d10f71c7-01db1bc1-f68366a0,317,5.12646,5493580000000.0,0.38572,0.48899,4.81927,0.30719,14,1,0.3634,0.52689,1,0.34467,0.59455,21.03291,0.88686,1,0.6332399999999999,0.54652,18.22683,0.8986200000000001,1,0,0.0,23,3.77792,1,3.3153900000000003,1,212.23529,248.31757,0.0,616,1494
5928,5,23,b5647c01-13e985db-d10f71c7-01db1bc1-f68366a0,337,5.44995,5493580000000.0,0.34826,0.6313,5.1425800000000015,0.30737,15,1,0.34755,0.70407,1,0.35006,0.5939800000000001,18.99966,0.8561799999999999,1,0.6389600000000001,0.5494600000000001,17.24369,0.8561799999999999,1,0,0.0,23,3.71009,1,3.45646,1,169.69098,244.92221,0.0,402,1929
5929,5,23,b5647c01-13e985db-d10f71c7-01db1bc1-f68366a0,357,5.7750900000000005,5493580000000.0,0.36061,0.64208,5.46625,0.30884,16,1,0.44083,0.02655,0,0.36075,0.59519,10.60277,0.87566,0,0.64894,0.5494,17.12494,0.87566,0,155,0.0,23,2.83288,0,3.98281,0,26.41605,333.8492700000001,0.0,472,1962
5930,5,23,b5647c01-13e985db-d10f71c7-01db1bc1-f68366a0,401,6.48645,5493590000000.0,0.62961,0.62613,6.0365,0.44995,17,1,0.65075,0.65866,1,0.3804599999999999,0.56913,18.00788,0.8980100000000001,1,0.6685300000000001,0.57153,16.29115,0.8980100000000001,1,0,0.0,24,3.34449,1,3.06177,1,516.76715,1.91026,0.0,2015,1913
5931,5,23,b5647c01-13e985db-d10f71c7-01db1bc1-f68366a0,429,6.93842,5493590000000.0,0.64559,0.68043,6.50134,0.4370699999999999,18,1,0.6186,0.58341,1,0.43682,0.5646100000000001,18.62932,0.92569,1,0.72002,0.58313,16.6866,0.9201,1,0,0.0,24,3.45434,1,3.20526,1,66.1852,297.61789,0.0,2106,2079
5932,5,23,b5647c01-13e985db-d10f71c7-01db1bc1-f68366a0,450,7.27795,5493600000000.0,0.62255,0.4648899999999999,7.00275,0.27521,19,1,0.6059899999999999,0.31622,1,0.43883,0.5544600000000001,19.07554,0.93746,1,0.72175,0.57668,16.9097,0.94363,1,0,0.0,24,3.5883800000000003,1,3.54587,1,236.94914,100.75987,0.0,1974,1420
5933,5,23,b5647c01-13e985db-d10f71c7-01db1bc1-f68366a0,476,7.69855,5493600000000.0,0.604,0.30837,7.34247,0.35608,20,1,0.59449,0.27207,1,0.43986,0.5525899999999999,20.68765,0.95101,1,0.72278,0.57718,18.34068,0.94415,1,0,0.0,23,3.91891,1,3.78427,1,172.75294,101.89787,0.0,1868,942
5934,5,23,b5647c01-13e985db-d10f71c7-01db1bc1-f68366a0,514,8.31305,5493610000000.0,0.59262,0.27563,7.714360000000001,0.5986899999999999,21,1,0.5857899999999999,0.24958,1,0.4483899999999999,0.5452,21.28367,0.94415,1,0.73039,0.57545,19.24918,0.94415,1,0,0.0,23,3.76815,1,3.69213,1,41.56528,121.71314,0.0,1802,842
