,SESSION_ID,MEDIA_ID,DICOM_ID,CNT,Time (in secs),TIMETICK(f=10000000),FPOGX,FPOGY,FPOGS,FPOGD,FPOGID,FPOGV,BPOGX,BPOGY,BPOGV,LPCX,LPCY,LPD,LPS,LPV,RPCX,RPCY,RPD,RPS,RPV,BKID,BKDUR,BKPMIN,LPMM,LPMMV,RPMM,RPMMV,SACCADE_MAG,SACCADE_DIR,VID_FRAME,X_ORIGINAL,Y_ORIGINAL
3340,3,21,b5cbe078-e42aad9e-35e36473-a7ce29d0-21319f57,8,0.13196,4603664945135.0,0.32914,0.18766,0.0,0.13195,1,1,0.31254,0.16641,1,0.19104,0.4379,19.17968,1.04242,1,0.6302800000000001,0.31343,16.944029999999998,1.03362,1,0,0.0,16,3.93968,1,3.71274,1,86.52141999999998,200.20558,0.0,292,573
3341,3,21,b5cbe078-e42aad9e-35e36473-a7ce29d0-21319f57,22,0.36243,4603667249245.0,0.36058,0.26679,0.14807,0.21436,2,1,0.47828,0.44153,1,0.2007,0.4434399999999999,18.2243,0.99378,1,0.6402899999999999,0.32115,16.553829999999998,0.99378,1,0,0.0,16,3.83352,1,3.31656,1,104.62979,305.23541,0.0,472,815
3342,3,21,b5cbe078-e42aad9e-35e36473-a7ce29d0-21319f57,50,0.82458,4603671871012.0,0.4953899999999999,0.4633,0.4289600000000001,0.39563,3,1,0.50784,0.50793,1,0.1899,0.4543100000000001,17.84846,0.94549,1,0.6297699999999999,0.32675,15.61922,0.94549,1,0,0.0,16,3.59671,1,3.0657,1,334.72012,320.65012,0.0,1245,1415
3343,3,21,b5cbe078-e42aad9e-35e36473-a7ce29d0-21319f57,76,1.25269,4603676152352.0,0.50308,0.51423,0.8408200000000001,0.4118699999999999,4,1,0.53352,0.57655,1,0.1980299999999999,0.45843,17.51101,0.95239,1,0.63768,0.33254,14.84279,0.95239,1,0,0.0,16,3.4669300000000005,1,3.16164,1,56.95162,285.0257,0.0,1289,1571
3344,3,21,b5cbe078-e42aad9e-35e36473-a7ce29d0-21319f57,115,1.89575,4603682582584.0,0.52693,0.54542,1.27002,0.62573,5,1,0.4657199999999999,0.5253399999999999,1,0.19729,0.45305,17.613570000000006,0.93859,1,0.6362899999999999,0.32777,14.556029999999998,0.93859,1,0,0.0,16,3.49614,1,2.9560000000000004,1,56.8471,323.66129,0.0,1426,1666
3345,3,21,b5cbe078-e42aad9e-35e36473-a7ce29d0-21319f57,131,2.15979,4603685223245.0,0.47033,0.45901,1.91223,0.24756,6,1,0.47775,0.351,1,0.20292,0.44647,17.952189999999995,1.00154,1,0.64084,0.32377,15.50875,1.00154,1,0,0.0,16,3.45146,1,3.22022,1,143.24365,139.34544,0.0,1101,1402
3346,3,21,b5cbe078-e42aad9e-35e36473-a7ce29d0-21319f57,155,2.55579,4603689182870.0,0.50388,0.32593,2.17688,0.3789099999999999,7,1,0.53623,0.25323,1,0.20401,0.44341,18.09512,0.98688,1,0.64184,0.3203,15.62735,0.98688,1,0,0.0,16,3.5677800000000004,1,3.3610800000000003,1,157.50146,65.85876999999999,0.0,1294,996
3347,3,21,b5cbe078-e42aad9e-35e36473-a7ce29d0-21319f57,187,3.08337,4603694458650.0,0.54025,0.27386,2.57178,0.5116,8,1,0.53772,0.34608,1,0.20244,0.44085,18.95693,0.96618,1,0.6406,0.31688,16.323079999999994,0.96618,1,0,0.0,16,3.68721,1,3.49536,1,89.65894,38.84509,0.0,1502,836
3348,3,21,b5cbe078-e42aad9e-35e36473-a7ce29d0-21319f57,217,3.57825,4603699408305.0,0.53737,0.2918699999999999,3.09961,0.4786399999999999,9,1,0.53514,0.2688,1,0.20362,0.4420699999999999,18.98054,1.01707,1,0.64175,0.31766,15.93626,1.02483,1,0,0.0,16,3.6586,1,3.5172,1,20.22152,254.13043,0.0,1486,891
3349,3,21,b5cbe078-e42aad9e-35e36473-a7ce29d0-21319f57,262,4.31958,4603706821476.0,0.5391100000000001,0.29789,3.59497,0.7246100000000001,10,1,0.5335300000000001,0.35611,1,0.19684,0.44565,19.18981,1.00154,1,0.63431,0.3184,16.947470000000006,1.0093,1,0,0.0,16,3.74502,1,3.2938,1,7.30967,297.19525,0.0,1496,910
3350,3,21,b5cbe078-e42aad9e-35e36473-a7ce29d0-21319f57,281,4.63293,4603709954429.0,0.53382,0.40155,4.33606,0.29688,11,1,0.5021399999999999,0.4965600000000001,1,0.18925,0.45252,19.0538,0.96764,1,0.62634,0.32321,16.85388,0.98071,1,0,0.0,16,3.62272,1,3.31685,1,112.41255,264.81604,0.0,1465,1227
3351,3,21,b5cbe078-e42aad9e-35e36473-a7ce29d0-21319f57,306,5.04602,4603714085341.0,0.4993399999999999,0.45858,4.64941,0.39661,12,1,0.48168,0.54089,1,0.19082,0.45785,17.456870000000002,0.97309,1,0.62946,0.32914,14.56809,0.97309,1,0,0.0,16,3.43405,1,3.07831,1,90.42272,222.93442,0.0,1268,1401
3352,3,21,b5cbe078-e42aad9e-35e36473-a7ce29d0-21319f57,341,5.62244,4603719850102.0,0.46308,0.5505899999999999,5.06152,0.56091,13,1,0.46203,0.5084,1,0.1877,0.45441,16.53523,0.97309,1,0.62471,0.32289,13.651879999999998,0.97998,1,0,0.0,15,3.51515,1,2.94376,1,121.33175,234.98492,0.0,1060,1682
3353,3,21,b5cbe078-e42aad9e-35e36473-a7ce29d0-21319f57,372,6.1333,4603724958896.0,0.46557,0.49821,5.63855,0.49475,14,1,0.4804199999999999,0.61854,1,0.18566,0.4645,16.41468,0.97309,1,0.62245,0.33235,13.77264,0.97309,1,0,0.0,15,3.3084800000000003,1,2.96031,1,56.77203000000001,85.16935,0.0,1074,1522
3354,3,21,b5cbe078-e42aad9e-35e36473-a7ce29d0-21319f57,414,6.82605,4603731885822.0,0.46411,0.6190100000000001,6.14966,0.6763899999999999,15,1,0.44092,0.61811,0,0.18166,0.46391,9.0073,1.04811,0,0.61757,0.32156,14.10675,1.05588,0,242,0.0,15,2.50148,0,3.20063,0,130.49403,268.7691,0.0,1066,1891
3355,3,21,b5cbe078-e42aad9e-35e36473-a7ce29d0-21319f57,470,7.74976,4603741123410.0,0.4034,0.3046,7.13892,0.6108399999999999,16,1,0.39703,0.36227,1,0.17565,0.4502600000000001,18.98919,0.97309,1,0.61321,0.31737,16.65686,0.97999,1,0,0.0,16,3.77923,1,3.56909,1,359.01233,108.94603,0.0,718,930
3356,3,21,b5cbe078-e42aad9e-35e36473-a7ce29d0-21319f57,498,8.21216,4603745747513.0,0.3624199999999999,0.54325,7.815060000000001,0.39709,17,1,0.33284,0.62979,1,0.17139,0.46311,18.34083,0.99637,1,0.6087600000000001,0.32619,15.464520000000002,0.99637,1,0,0.0,16,3.51611,1,3.30516,1,269.48422,253.02399,0.0,483,1660
3357,3,21,b5cbe078-e42aad9e-35e36473-a7ce29d0-21319f57,512,8.441889999999999,4603748044335.0,0.3728599999999999,0.54064,8.22729,0.2146,18,1,0.4200399999999999,0.26284,1,0.17526,0.44522,18.61037,1.00241,1,0.61057,0.31142,15.89255,1.01017,1,0,0.0,16,3.57749,1,3.34502,1,20.24209,8.00484,0.0,543,1652
3358,3,21,b5cbe078-e42aad9e-35e36473-a7ce29d0-21319f57,541,8.9198,4603752823144.0,0.40323,0.2452599999999999,8.50769,0.41211,19,1,0.4952899999999999,0.19165,1,0.16866,0.4442399999999999,18.34258,1.00155,1,0.6037399999999999,0.30851,14.89279,1.00931,1,0,0.0,16,3.57999,1,3.68813,1,324.29572,79.64153,0.0,717,749
3359,3,21,b5cbe078-e42aad9e-35e36473-a7ce29d0-21319f57,566,9.33191,4603756944197.0,0.604,0.39709,8.98657,0.34534,20,1,0.62383,0.5521,1,0.18746,0.45561,17.612170000000006,1.00241,1,0.6219600000000001,0.3201199999999999,15.27657,0.99465,1,0,0.0,16,4.00168,1,3.4494300000000004,1,418.90549,336.95587,0.0,1868,1213
3360,3,21,b5cbe078-e42aad9e-35e36473-a7ce29d0-21319f57,583,9.61206,4603759746454.0,0.63029,0.45451,9.39795,0.21411,21,1,0.6059399999999999,0.23985,1,0.19125,0.4429899999999999,18.85097,0.99379,1,0.62746,0.30959,15.65806,0.99379,1,0,0.0,16,3.86826,1,3.3722800000000004,1,79.95996,309.14432,0.0,2018,1388
3361,3,21,b5cbe078-e42aad9e-35e36473-a7ce29d0-21319f57,607,10.00769,4603763702392.0,0.6057100000000001,0.2163,9.67798,0.32971,22,1,0.6731699999999999,0.70229,1,0.19387,0.4608399999999999,17.25556,1.00931,1,0.62834,0.33058,14.1881,1.00931,1,0,0.0,16,3.54104,1,3.04164,1,261.5596,100.39487,0.0,1878,661
3362,3,21,b5cbe078-e42aad9e-35e36473-a7ce29d0-21319f57,640,10.55212,4603769147050.0,0.66364,0.7307600000000001,10.07458,0.4775399999999999,23,1,0.47643,0.72233,1,0.18179,0.45968,16.36809,0.96619,1,0.6208199999999999,0.32642,12.94629,0.96619,1,0,0.0,16,3.3658900000000003,1,2.78578,1,566.6402,281.32007000000004,0.0,2210,2233
3363,3,21,b5cbe078-e42aad9e-35e36473-a7ce29d0-21319f57,667,10.99695,4603773594509.0,0.34128,0.70172,10.61792,0.37903,24,1,0.42944,0.33183,1,0.17288,0.44395,16.69969,1.00155,1,0.60849,0.31169,14.43841,1.00931,1,0,0.0,15,3.41667,1,3.19807,1,619.7253400000002,177.09912,0.0,362,2144
3364,3,21,b5cbe078-e42aad9e-35e36473-a7ce29d0-21319f57,687,11.32703,4603776895483.0,0.43773,0.1777,11.06311,0.26392,25,1,0.45018,0.15141,1,0.17554,0.4365699999999999,17.621029999999994,0.99379,1,0.6109899999999999,0.30268,14.3916,0.98689,1,0,0.0,15,3.76277,1,3.60701,1,595.46875,71.88118,0.0,915,543
3365,3,21,b5cbe078-e42aad9e-35e36473-a7ce29d0-21319f57,703,11.59082,4603779533483.0,0.45818,0.11753,11.34399,0.24683,26,1,0.54197,0.05479,1,0.18083,0.43377,18.9037,1.01707,1,0.6168100000000001,0.302,15.39371,1.00931,1,0,0.0,15,3.81746,1,3.67678,1,0.0,0.0,0.0,1032,359
