,SESSION_ID,MEDIA_ID,DICOM_ID,CNT,Time (in secs),TIMETICK(f=10000000),FPOGX,FPOGY,FPOGS,FPOGD,FPOGID,FPOGV,BPOGX,BPOGY,BPOGV,LPCX,LPCY,LPD,LPS,LPV,RPCX,RPCY,RPD,RPS,RPV,BKID,BKDUR,BKPMIN,LPMM,LPMMV,RPMM,RPMMV,SACCADE_MAG,SACCADE_DIR,VID_FRAME,X_ORIGINAL,Y_ORIGINAL
4501,4,51,be1c605b-4adb1794-83dc07ac-411ddd9e-bb43bf0b,29,0.46863,5508199964557.0,0.4886,0.21843,0.0,0.46863,1,1,0.47456,0.37884,1,0.30761,0.48743,19.9262,0.86441,1,0.58673,0.49898,17.55494,0.87598,1,0,0.0,15,3.74855,1,3.44994,1,8.3764,10.4744,0.0,1206,667
4502,4,51,be1c605b-4adb1794-83dc07ac-411ddd9e-bb43bf0b,49,0.79297,5508203208553.0,0.47448,0.40335,0.53345,0.25952,2,1,0.48588,0.5100899999999999,1,0.31604,0.47626,19.94166,0.8471299999999999,1,0.59873,0.48962,17.83377,0.84165,1,0,0.0,14,3.63541,1,3.28932,1,201.54524,262.26956,0.0,1125,1232
4503,4,51,be1c605b-4adb1794-83dc07ac-411ddd9e-bb43bf0b,68,1.09827,5508206261140.0,0.51085,0.52252,0.8075,0.29077,3,1,0.53418,0.5859300000000001,1,0.31933,0.47961,19.44966,0.84165,1,0.60317,0.49398,17.148220000000002,0.84165,1,0,0.0,14,3.56313,1,3.15536,1,146.42715,298.48285,0.0,1334,1596
4504,4,51,be1c605b-4adb1794-83dc07ac-411ddd9e-bb43bf0b,87,1.40588,5508209337329.0,0.57195,0.60788,1.11658,0.28931,4,1,0.62843,0.604,1,0.31555,0.48328,17.894070000000006,0.8526100000000001,1,0.5977100000000001,0.4976,15.6097,0.8580899999999999,1,0,0.0,14,3.38792,1,3.08814,1,149.20081000000005,321.8382299999999,0.0,1684,1857
4505,4,51,be1c605b-4adb1794-83dc07ac-411ddd9e-bb43bf0b,110,1.77942,5508213072309.0,0.60007,0.62252,1.42188,0.35754,5,1,0.51574,0.59543,1,0.29452,0.4822,17.95172,0.82657,1,0.57611,0.4895600000000001,16.197979999999998,0.8216100000000001,1,0,0.0,14,3.25768,1,3.03573,1,56.25793,343.67712,0.0,1845,1902
4506,4,51,be1c605b-4adb1794-83dc07ac-411ddd9e-bb43bf0b,129,2.08557,5508216133677.0,0.51639,0.56191,1.79407,0.2915,6,1,0.51552,0.4905,1,0.28805,0.47863,18.08926,0.8526100000000001,1,0.56943,0.48471,15.676470000000002,0.8471299999999999,1,0,0.0,14,3.2545900000000003,1,3.23533,1,173.48854,157.83287,0.0,1365,1717
4507,4,51,be1c605b-4adb1794-83dc07ac-411ddd9e-bb43bf0b,155,2.50659,5508220344615.0,0.53174,0.45668,2.1012,0.4054,7,1,0.53817,0.4142699999999999,1,0.28417,0.481,18.32582,0.8695,1,0.5655100000000001,0.48218,15.31961,0.87498,1,0,0.0,13,3.5544,1,3.62841,1,117.40765,75.462,0.0,1453,1395
4508,4,51,be1c605b-4adb1794-83dc07ac-411ddd9e-bb43bf0b,179,2.89355,5508224214015.0,0.53581,0.38697,2.52173,0.37183,8,1,0.56029,0.3576,1,0.28589,0.47968,19.288870000000006,0.88046,1,0.5677399999999999,0.4827,17.23104,0.87498,1,0,0.0,13,3.62977,1,3.36587,1,75.69123,84.07425,0.0,1477,1182
4509,4,51,be1c605b-4adb1794-83dc07ac-411ddd9e-bb43bf0b,211,3.4135699999999995,5508229414591.0,0.55702,0.36971,2.91016,0.50342,9,1,0.56287,0.4328,1,0.28025,0.48193,18.53603,0.87487,1,0.56217,0.48288,16.65377,0.88035,1,0,0.0,13,3.46354,1,3.2313400000000003,1,44.78687,24.59563,0.0,1598,1129
4510,4,51,be1c605b-4adb1794-83dc07ac-411ddd9e-bb43bf0b,261,4.22009,5508237479820.0,0.53455,0.42581,3.42761,0.7924800000000001,10,1,0.5423,0.38269,1,0.27992,0.4805,19.13306,0.84724,1,0.56158,0.48252,15.94572,0.84724,1,0,0.0,12,3.57249,1,3.22523,1,74.37855,234.54681,0.0,1470,1301
