,SESSION_ID,MEDIA_ID,DICOM_ID,CNT,Time (in secs),TIMETICK(f=10000000),FPOGX,FPOGY,FPOGS,FPOGD,FPOGID,FPOGV,BPOGX,BPOGY,BPOGV,LPCX,LPCY,LPD,LPS,LPV,RPCX,RPCY,RPD,RPS,RPV,BKID,BKDUR,BKPMIN,LPMM,LPMMV,RPMM,RPMMV,SACCADE_MAG,SACCADE_DIR,VID_FRAME,X_ORIGINAL,Y_ORIGINAL
18916,15,22,c7ef56f6-3017015e-5aab5c4a-e567b2ef-0d174800,16,0.25879,278255000000.0,0.70808,0.29059,0.0,0.25879,1,1,0.59297,0.36133,1,0.2485,0.5306,19.00498,0.93866,1,0.50592,0.56111,16.4313,0.92477,1,0,0.0,9,4.10613,1,3.34215,1,333.98026,266.97485,0.0,2464,888
18917,15,22,c7ef56f6-3017015e-5aab5c4a-e567b2ef-0d174800,46,0.74316,278260000000.0,0.50951,0.41795,0.32324,0.41992,2,1,0.51772,0.47551,1,0.25979,0.5355,18.53408,0.95336,1,0.5169100000000001,0.5770000000000001,14.53478,0.96072,1,0,0.0,9,3.86481,1,3.12836,1,587.58057,52.32757,0.0,1326,1277
18918,15,22,c7ef56f6-3017015e-5aab5c4a-e567b2ef-0d174800,73,1.18262,278264000000.0,0.4773,0.47072,0.75977,0.42285,3,1,0.43116,0.43791,0,0.27386,0.50875,7.15452,0.9405,0,0.52598,0.57967,14.05691,0.93396,0,562,0.0,9,1.92545,0,3.3861800000000004,0,2.63375,295.0108600000001,0.0,1141,1438
18919,15,22,c7ef56f6-3017015e-5aab5c4a-e567b2ef-0d174800,104,1.6816400000000002,278269000000.0,0.43876,0.48043,1.49121,0.19043,4,1,0.38782,0.8375100000000001,0,0.24915,0.53033,9.25854,1.02285,0,0.50221,0.57401,9.23499,1.02285,0,0,0.0,10,2.36479,0,3.00266,0,386.36591,193.75639,0.0,920,1468
18920,15,22,c7ef56f6-3017015e-5aab5c4a-e567b2ef-0d174800,137,2.21582,278275000000.0,0.37134,0.37537,1.99316,0.22266,5,1,0.45437,0.4672,1,0.22571,0.54252,18.26879,0.9313,1,0.48463,0.57614,15.31107,0.9313,1,0,0.0,10,3.63754,1,3.26939,1,137.44835,269.06354,0.0,534,1147
18921,15,22,c7ef56f6-3017015e-5aab5c4a-e567b2ef-0d174800,170,2.74902,278280000000.0,0.45779,0.45592,2.23145,0.51758,6,1,0.4739,0.48472,1,0.23489,0.54075,17.60332,0.89617,1,0.49563,0.5711,14.495820000000002,0.89617,1,0,0.0,10,3.48042,1,3.16538,1,56.60471,338.49881,0.0,1030,1393
18922,15,22,c7ef56f6-3017015e-5aab5c4a-e567b2ef-0d174800,190,3.07324,278283000000.0,0.50472,0.42669,2.76563,0.30762,7,1,0.5019,0.38521,1,0.23277,0.54143,16.86843,0.97496,1,0.49322,0.5717899999999999,14.40707,0.97496,1,0,0.0,10,3.32329,1,3.20333,1,110.54722,97.55495,0.0,1299,1303
18923,15,22,c7ef56f6-3017015e-5aab5c4a-e567b2ef-0d174800,211,3.41309,278287000000.0,0.5259699999999999,0.35655,3.08984,0.32324,8,1,0.54761,0.35071,1,0.24006,0.54191,18.12975,0.94586,1,0.49939,0.57449,14.06844,0.9385,1,0,0.0,10,3.62754,1,3.09189,1,156.60329,222.3808,0.0,1420,1089
18924,15,22,c7ef56f6-3017015e-5aab5c4a-e567b2ef-0d174800,233,3.76855,278290000000.0,0.54043,0.33082,3.42871,0.33984,9,1,0.5339,0.46613,1,0.24528,0.53988,17.66338,0.92586,1,0.504,0.57504,13.96919,0.93321,1,0,0.0,10,3.5375,1,3.16748,1,22.49408,221.68044,0.0,1503,1010
18925,15,22,c7ef56f6-3017015e-5aab5c4a-e567b2ef-0d174800,255,4.12402,278294000000.0,0.52175,0.42553,3.78418,0.33984,10,1,0.52365,0.38924,1,0.2459,0.53514,19.71258,0.97738,1,0.5045,0.5698,15.73035,0.96905,1,0,0.0,10,3.85212,1,3.55453,1,268.80966,21.32411,0.0,1396,1300
