,SESSION_ID,MEDIA_ID,DICOM_ID,CNT,Time (in secs),TIMETICK(f=10000000),FPOGX,FPOGY,FPOGS,FPOGD,FPOGID,FPOGV,BPOGX,BPOGY,BPOGV,LPCX,LPCY,LPD,LPS,LPV,RPCX,RPCY,RPD,RPS,RPV,BKID,BKDUR,BKPMIN,LPMM,LPMMV,RPMM,RPMMV,SACCADE_MAG,SACCADE_DIR,VID_FRAME,X_ORIGINAL,Y_ORIGINAL
46168,36,24,cac3fd9e-f85b2b92-f2109fbb-fe266c7e-41fc8c41,43,0.2368199999999999,53274075862.0,0.6282399999999999,0.86149,0.0,0.23681,1,1,0.6269600000000001,0.83311,1,0.1963599999999999,0.59539,19.432920000000006,1.02404,1,0.4521,0.55766,14.86956,1.03175,1,0,0.0,18,3.89713,1,3.03091,1,39.42527000000001,342.09991,0.0,1998,2632
46169,36,24,cac3fd9e-f85b2b92-f2109fbb-fe266c7e-41fc8c41,98,0.54395,53277149289.0,0.5331600000000001,0.4904699999999999,0.2749,0.26904,2,1,0.48632,0.47223,0,0.19179,0.59142,10.53137,1.06299,0,0.44455,0.5488,13.5392,1.06299,0,0,0.0,18,2.9584900000000003,0,2.82953,0,440.32678,114.49331,0.0,1453,1498
46170,36,24,cac3fd9e-f85b2b92-f2109fbb-fe266c7e-41fc8c41,167,0.93799,53281091776.0,0.51098,0.5533100000000001,0.82471,0.1132799999999999,3,1,0.4759600000000001,0.57716,1,0.18631,0.59024,19.98094,1.03134,1,0.44191,0.54973,15.83434,1.03134,1,0,0.0,18,3.98282,1,3.20845,1,80.12165999999998,237.89243,0.0,1326,1690
46171,36,24,cac3fd9e-f85b2b92-f2109fbb-fe266c7e-41fc8c41,203,1.1416,53283127854.0,0.48239,0.58498,0.94727,0.19434,4,1,0.50184,0.5484,1,0.1878,0.58904,20.70609,1.09795,1,0.44295,0.54794,16.08397,1.09795,1,0,0.0,18,4.1897,1,3.20666,1,64.67699,211.927,0.0,1162,1787
46172,36,24,cac3fd9e-f85b2b92-f2109fbb-fe266c7e-41fc8c41,218,1.22266,53283937296.0,0.56911,0.58495,1.14307,0.07959,5,1,0.59391,0.63302,1,0.19283,0.58965,20.09267,1.00049,1,0.44755,0.54985,15.20953,1.00049,1,0,0.0,18,4.1474400000000005,1,3.16726,1,166.50238000000004,0.01117,0.0,1659,1787
46173,36,24,cac3fd9e-f85b2b92-f2109fbb-fe266c7e-41fc8c41,288,1.60107,53287722171.0,0.59314,0.59154,1.22363,0.37744,6,1,0.58226,0.54651,1,0.18672,0.58967,19.2542,1.06299,1,0.44105,0.54832,14.963220000000002,1.06299,1,0,0.0,18,3.9357,1,3.04391,1,46.68341,351.23068,0.0,1797,1807
46174,36,24,cac3fd9e-f85b2b92-f2109fbb-fe266c7e-41fc8c41,320,1.79004,53289607734.0,0.63095,0.6265,1.62793,0.16211,7,1,0.59738,0.5909399999999999,1,0.1880099999999999,0.5881,20.34932,1.03925,1,0.44275,0.5472199999999999,15.70108,1.03925,1,0,0.0,17,4.16739,1,3.29735,1,81.82681,332.5209700000001,0.0,2014,1914
46175,36,24,cac3fd9e-f85b2b92-f2109fbb-fe266c7e-41fc8c41,375,2.1123,53292831751.0,0.52859,0.36321,1.8208,0.2915,8,1,0.51395,0.31254,1,0.1868,0.58303,19.179920000000006,1.03134,1,0.44136,0.54335,16.52853,1.03134,1,0,0.0,17,4.17756,1,3.28215,1,345.66058,124.65034,0.0,1427,1109
46176,36,24,cac3fd9e-f85b2b92-f2109fbb-fe266c7e-41fc8c41,418,2.35498,53295257218.0,0.51656,0.32891,2.11328,0.2417,9,1,0.48875,0.27773,1,0.18642,0.5825199999999999,19.638720000000006,1.06299,1,0.4409899999999999,0.54356,16.69342,1.06299,1,0,0.0,17,4.04096,1,3.5048800000000004,1,43.65498,121.94427,0.0,1358,1005
46177,36,24,cac3fd9e-f85b2b92-f2109fbb-fe266c7e-41fc8c41,481,2.71045,53298815830.0,0.51122,0.26583,2.35596,0.35449,10,1,0.5220199999999999,0.31915,1,0.18556,0.58475,19.98644,1.0471700000000002,1,0.44053,0.54523,16.59059,1.0471700000000002,1,0,0.0,17,4.1996,1,3.4109300000000005,1,68.89357,98.55866,0.0,1327,812
