,SESSION_ID,MEDIA_ID,DICOM_ID,CNT,Time (in secs),TIMETICK(f=10000000),FPOGX,FPOGY,FPOGS,FPOGD,FPOGID,FPOGV,BPOGX,BPOGY,BPOGV,LPCX,LPCY,LPD,LPS,LPV,RPCX,RPCY,RPD,RPS,RPV,BKID,BKDUR,BKPMIN,LPMM,LPMMV,RPMM,RPMMV,SACCADE_MAG,SACCADE_DIR,VID_FRAME,X_ORIGINAL,Y_ORIGINAL
7119,6,25,d34c9381-820110b4-25a131f8-9cbdcdee-1b1bc2ba,12,0.19971,4612612761487.0,0.5959899999999999,0.7431399999999999,0.0,0.1997,1,1,0.53213,0.48218,1,0.2370699999999999,0.43528,17.42224,0.99476,1,0.66456,0.36682,14.89305,0.99476,1,0,0.0,13,3.62523,1,3.07743,1,33.478320000000004,118.31311,0.0,1783,2271
7120,6,25,d34c9381-820110b4-25a131f8-9cbdcdee-1b1bc2ba,40,0.65942,4612617357375.0,0.51067,0.45346,0.26343,0.396,2,1,0.53156,0.38329,1,0.24233,0.42668,16.11944,0.99252,1,0.66948,0.3614699999999999,14.52739,0.98431,1,0,0.0,13,3.45139,1,2.90691,1,353.14731,117.63712,0.0,1294,1385
7121,6,25,d34c9381-820110b4-25a131f8-9cbdcdee-1b1bc2ba,76,1.25293,4612623293898.0,0.40835,0.43485,0.67578,0.57715,3,1,0.55161,0.4174,1,0.26182,0.41933,17.20103,0.97609,1,0.68888,0.36548,15.25832,0.97609,1,0,0.0,13,3.74827,1,3.22677,1,197.47986,174.15851999999995,0.0,707,1328
7122,6,25,d34c9381-820110b4-25a131f8-9cbdcdee-1b1bc2ba,109,1.79688,4612628732118.0,0.53699,0.41805,1.3186,0.47827,4,1,0.5172899999999999,0.4779199999999999,1,0.23574,0.43244,18.16199,0.99252,1,0.66277,0.36435,15.06141,0.98431,1,0,0.0,13,3.93478,1,3.4774800000000003,1,247.65431,4.20145,0.0,1445,1277
7123,6,25,d34c9381-820110b4-25a131f8-9cbdcdee-1b1bc2ba,142,2.34082,4612634172704.0,0.5005,0.44472,1.81348,0.5273399999999999,5,1,0.49925,0.37128,1,0.19779,0.4347,17.87358,0.96159,1,0.62375,0.35333,15.72786,0.96884,1,0,0.0,13,3.70862,1,3.2433400000000003,1,75.7506,202.34871,0.0,1236,1359
7124,6,25,d34c9381-820110b4-25a131f8-9cbdcdee-1b1bc2ba,170,2.80347,4612638798158.0,0.48412,0.31246,2.3574200000000003,0.4460399999999999,6,1,0.4192,0.32666,1,0.19316,0.43204,18.71338,0.97609,1,0.61887,0.3498,16.47684,0.98431,1,0,0.0,13,3.84121,1,3.57064,1,146.26198,102.41684,0.0,1142,954
7125,6,25,d34c9381-820110b4-25a131f8-9cbdcdee-1b1bc2ba,186,3.06641,4612641427164.0,0.46947,0.25444,2.82031,0.24609,7,1,0.5212600000000001,0.19906,1,0.21664,0.4175399999999999,19.30415,0.99218,1,0.64215,0.34073,17.5736,0.99218,1,0,0.0,13,4.157780000000002,1,3.4975400000000003,1,68.68526,114.17474,0.0,1058,777
7126,6,25,d34c9381-820110b4-25a131f8-9cbdcdee-1b1bc2ba,206,3.39624,4612644725466.0,0.52427,0.22723,3.08301,0.31323,8,1,0.51802,0.38673,1,0.22641,0.42404,18.57579,0.98431,1,0.65257,0.3511599999999999,17.308629999999994,0.98431,1,0,0.0,13,4.10156,1,3.4881800000000003,1,109.24281,15.60503,0.0,1372,694
7127,6,25,d34c9381-820110b4-25a131f8-9cbdcdee-1b1bc2ba,239,3.94043,4612650167787.0,0.5212100000000001,0.40544,3.46362,0.47681,9,1,0.5332399999999999,0.44805,1,0.2394599999999999,0.4240100000000001,18.70114,0.97609,1,0.66684,0.35475,16.71939,0.98431,1,0,0.0,13,3.88384,1,3.30341,1,192.55646,268.25156,0.0,1355,1239
7128,6,25,d34c9381-820110b4-25a131f8-9cbdcdee-1b1bc2ba,280,4.61621,4612656927027.0,0.4909199999999999,0.4210899999999999,3.95679,0.65942,10,1,0.51613,0.4519899999999999,1,0.22124,0.48003,17.60809,0.99252,1,0.64864,0.39692,14.99744,0.98431,1,0,0.0,13,4.22507,1,3.56457,1,60.56312,196.20535,0.0,1181,1286
7129,6,25,d34c9381-820110b4-25a131f8-9cbdcdee-1b1bc2ba,295,4.86377,4612659403068.0,0.4733100000000001,0.29468,4.632569999999999,0.2312,11,1,0.01445,-1.03633,0,0.22309,0.4756,18.59898,0.9477,0,0.64386,0.35531,6.25644,0.9477,0,404,0.0,13,3.67741,0,2.3193900000000003,0,140.64737,103.90997,0.0,1080,900
7130,6,25,d34c9381-820110b4-25a131f8-9cbdcdee-1b1bc2ba,328,5.40796,4612664842555.0,0.53943,0.35824,5.07861,0.32935,12,1,0.59137,0.30705,1,0.23744,0.4374699999999999,18.31084,1.01666,1,0.6643600000000001,0.36346,15.34945,1.00844,1,0,0.0,14,3.76803,1,3.5549800000000005,1,144.32095,331.59897,0.0,1459,1094
7131,6,25,d34c9381-820110b4-25a131f8-9cbdcdee-1b1bc2ba,345,5.68799,4612667644054.0,0.54162,0.37238,5.42456,0.26343,13,1,0.4119600000000001,0.40652,1,0.22763,0.44333,17.15253,0.98431,1,0.65584,0.3681,14.63172,0.99252,1,0,0.0,14,3.61254,1,3.23266,1,15.83946,285.3941700000001,0.0,1472,1137
7132,6,25,d34c9381-820110b4-25a131f8-9cbdcdee-1b1bc2ba,370,6.10059,4612671771108.0,0.4021,0.42933,5.7045900000000005,0.396,14,1,0.37369,0.46625,1,0.2134,0.4504,18.1668,0.97609,1,0.6411600000000001,0.36959,15.48702,0.97609,1,0,0.0,14,3.64156,1,3.3200199999999995,1,274.84875,192.93121,0.0,672,1312
