,SESSION_ID,MEDIA_ID,DICOM_ID,CNT,Time (in secs),TIMETICK(f=10000000),FPOGX,FPOGY,FPOGS,FPOGD,FPOGID,FPOGV,BPOGX,BPOGY,BPOGV,LPCX,LPCY,LPD,LPS,LPV,RPCX,RPCY,RPD,RPS,RPV,BKID,BKDUR,BKPMIN,LPMM,LPMMV,RPMM,RPMMV,SACCADE_MAG,SACCADE_DIR,VID_FRAME,X_ORIGINAL,Y_ORIGINAL
44293,35,26,e5d1f575-e201925f-3d0faf91-7c8d8e98-b2550d52,53,0.30908,42948837340.0,0.44768,0.02009,0.0,0.30908,1,1,0.43596,0.0408,1,0.24439,0.44306,22.35947,1.09244,1,0.50449,0.43841,18.46257,1.08412,1,0,0.0,11,4.50561,1,3.71228,1,30.60685,116.32797,0.0,-2,-2
44294,35,26,e5d1f575-e201925f-3d0faf91-7c8d8e98-b2550d52,82,0.4711899999999999,42950460466.0,0.482,0.50222,0.33057,0.14063,2,1,0.4729399999999999,0.4722,1,0.24466,0.4551199999999999,22.426,1.10909,1,0.50541,0.44951,16.77423,1.10909,1,0,0.0,11,4.51485,1,3.69842,1,524.8532700000002,277.2124,0.0,1424,1278
44295,35,26,e5d1f575-e201925f-3d0faf91-7c8d8e98-b2550d52,110,0.63232,42952071238.0,0.4897899999999999,0.51,0.47656,0.1557599999999999,3,1,0.5031800000000001,0.56087,1,0.24375,0.45508,22.17992000000001,1.01607,1,0.5052399999999999,0.44941,17.75528,1.01607,1,0,0.0,11,4.4082300000000005,1,3.63506,1,17.15535,330.67365,0.0,1469,1302
44296,35,26,e5d1f575-e201925f-3d0faf91-7c8d8e98-b2550d52,129,0.74365,42953185105.0,0.5281,0.55253,0.6377,0.1059599999999999,4,1,0.54914,0.59659,1,0.2476699999999999,0.45715,21.98812,1.04566,1,0.50917,0.45288,16.787979999999994,1.04566,1,0,0.0,11,4.33871,1,3.42781,1,86.71883000000004,328.01685,0.0,1689,1430
44297,35,26,e5d1f575-e201925f-3d0faf91-7c8d8e98-b2550d52,208,1.20654,42957813847.0,0.56679,0.55519,0.75098,0.45557,5,1,0.54365,0.52384,1,0.24739,0.45685,20.49714,1.1097,1,0.50893,0.45401,15.49611,1.1097,1,0,0.0,11,4.01203,1,3.05558,1,74.34031999999998,357.78528,0.0,1910,1438
44298,35,26,e5d1f575-e201925f-3d0faf91-7c8d8e98-b2550d52,232,1.34961,42959244394.0,0.5473600000000001,0.52053,1.21533,0.1342799999999999,6,1,0.50584,0.4791899999999999,1,0.23936,0.4573899999999999,19.51161,1.04566,1,0.5011,0.45137,15.95106,1.04566,1,0,0.0,11,3.89255,1,3.03294,1,52.84819,134.9025,0.0,1799,1334
44299,35,26,e5d1f575-e201925f-3d0faf91-7c8d8e98-b2550d52,249,1.44629,42960211828.0,0.51413,0.43075,1.35938,0.08691,7,1,0.50484,0.2787,1,0.2362,0.45693,19.52701,1.10909,1,0.4973899999999999,0.4504399999999999,14.91225,1.10909,1,0,0.0,11,4.02491,1,3.12213,1,116.07039,123.34506,0.0,1608,1062
44300,35,26,e5d1f575-e201925f-3d0faf91-7c8d8e98-b2550d52,301,1.73877,42963133330.0,0.49617,0.32904,1.47217,0.2666,8,1,0.4938399999999999,0.28591,1,0.23428,0.45958,20.06989,1.1097,1,0.49613,0.4537,17.231579999999994,1.1097,1,0,0.0,11,4.12785,1,3.2605,1,115.13216,107.42813,0.0,1506,754
44301,35,26,e5d1f575-e201925f-3d0faf91-7c8d8e98-b2550d52,338,1.96484,42965398481.0,0.509,0.32275,1.7514599999999998,0.21338,9,1,0.50292,0.20563,1,0.23789,0.45842,20.27523,1.13467,1,0.4989,0.4542899999999999,18.1925,1.14299,1,0,0.0,11,4.2666,1,3.47587,1,25.55312,15.4172,0.0,1579,735
44302,35,26,e5d1f575-e201925f-3d0faf91-7c8d8e98-b2550d52,373,2.16895,42967435580.0,0.4951,0.20621,1.97754,0.19141,10,1,0.50689,0.2250599999999999,1,0.24458,0.4578,19.6635,1.1097,1,0.50585,0.45563,17.98002,1.1097,1,0,0.0,11,4.277909999999999,1,3.44256,1,128.66156,101.97168,0.0,1499,383
44303,35,26,e5d1f575-e201925f-3d0faf91-7c8d8e98-b2550d52,399,2.31982,42968946063.0,0.50192,0.25853,2.1743200000000003,0.14551,11,1,0.51707,0.4899600000000001,1,0.24714,0.46185,21.54082,1.07895,1,0.50802,0.4593399999999999,16.06733,1.07895,1,0,0.0,11,4.23795,1,3.485,1,58.00299,283.04724,0.0,1539,541
44304,35,26,e5d1f575-e201925f-3d0faf91-7c8d8e98-b2550d52,449,2.604,42971789880.0,0.51527,0.54372,2.34521,0.25879,12,1,0.4415600000000001,0.5167,1,0.24483,0.4671,21.66679,1.07579,1,0.50767,0.4641,17.4208,1.07579,1,0,0.0,11,4.29421,1,3.57588,1,309.06989,274.75714,0.0,1615,1404
44305,35,26,e5d1f575-e201925f-3d0faf91-7c8d8e98-b2550d52,514,2.98291,42975578934.0,0.38366,0.5111399999999999,2.62158,0.36133,13,1,0.47267,0.43041,1,0.23764,0.4664899999999999,18.16129,1.06192,1,0.49992,0.46101,15.597920000000002,1.0462,1,0,0.0,11,3.79003,1,2.99898,1,255.1292,172.07272,0.0,861,1305
44306,35,26,e5d1f575-e201925f-3d0faf91-7c8d8e98-b2550d52,549,3.19336,42977681218.0,0.47845,0.43781,2.99268,0.20068,14,1,0.5978100000000001,0.44391,1,0.24861,0.46678,17.82113,1.04566,1,0.51047,0.46445,15.01865,1.04566,1,0,0.0,11,3.7617,1,3.031,1,198.48151,23.51639,0.0,1404,1083
44307,35,26,e5d1f575-e201925f-3d0faf91-7c8d8e98-b2550d52,615,3.58252,42981572340.0,0.61344,0.4567,3.20215,0.38037,15,1,0.63822,0.47583,1,0.25145,0.46655,18.7055,1.07895,1,0.51285,0.464,16.35237,1.07895,1,0,0.0,11,4.034009999999999,1,3.10296,1,259.98248,355.4993,0.0,2178,1140
44308,35,26,e5d1f575-e201925f-3d0faf91-7c8d8e98-b2550d52,647,3.77051,42983451087.0,0.64762,0.49475,3.59375,0.17676,16,1,0.6500199999999999,0.7038,1,0.24888,0.46552,10.73362,1.10909,1,0.50983,0.45929,13.62409,1.10909,1,0,0.0,11,3.23183,1,3.02947,1,77.43021999999998,327.94568,0.0,2373,1256
44309,35,26,e5d1f575-e201925f-3d0faf91-7c8d8e98-b2550d52,761,4.51416,42990888560.0,0.40635,0.39845,4.2124,0.30176,17,1,0.39316,0.36462,1,0.2490300000000001,0.46683,19.48175,1.10909,1,0.51269,0.46758,17.411820000000002,1.10909,1,0,0.0,12,4.00644,1,3.38651,1,474.77017,167.34605,0.0,991,964
44310,35,26,e5d1f575-e201925f-3d0faf91-7c8d8e98-b2550d52,779,4.6167,42991913306.0,0.43317,0.39561,4.5195300000000005,0.09717,18,1,0.5282399999999999,0.4588,1,0.25418,0.47173,19.4564,1.04566,1,0.51779,0.4730899999999999,16.668770000000002,1.04566,1,0,0.0,12,4.1157,1,3.29057,1,51.58571,3.40869,0.0,1145,956
44311,35,26,e5d1f575-e201925f-3d0faf91-7c8d8e98-b2550d52,804,4.77246,42993472712.0,0.55874,0.46143,4.62646,0.146,19,1,0.62412,0.48008,1,0.25572,0.47235,20.71346,1.0684,1,0.51873,0.4726,16.62872,1.061,1,0,0.0,12,4.2063,1,3.38493,1,251.35576,343.57208,0.0,1864,1155
44312,35,26,e5d1f575-e201925f-3d0faf91-7c8d8e98-b2550d52,859,5.0800800000000015,42996546130.0,0.64037,0.4647699999999999,4.77393,0.30615,20,1,0.62557,0.49696,1,0.24804,0.47145,19.83371,1.07579,1,0.5110899999999999,0.46837,15.5051,1.07579,1,0,0.0,12,4.06541,1,3.5646,1,156.77100000000004,358.68155,0.0,2332,1165
44313,35,26,e5d1f575-e201925f-3d0faf91-7c8d8e98-b2550d52,885,5.23145,42998061931.0,0.62362,0.5393899999999999,5.08545,0.146,21,1,0.56753,0.5944699999999999,1,0.24655,0.46998,18.97231,1.07579,0,0.48932,0.46465,15.10128,1.07579,1,0,0.0,12,3.91802,0,3.15715,1,86.76958,248.24509,0.0,2236,1391
44314,35,26,e5d1f575-e201925f-3d0faf91-7c8d8e98-b2550d52,895,5.29053,42998651901.0,0.5725899999999999,0.57919,5.24121,0.0493199999999999,22,1,0.56955,0.57855,0,0.24655,0.46998,18.97231,1.10909,0,0.4892399999999999,0.46612,12.50223,1.10909,0,0,0.0,12,3.91802,0,3.01289,0,106.99168,203.68765,0.0,1943,1511
44315,35,26,e5d1f575-e201925f-3d0faf91-7c8d8e98-b2550d52,967,5.72607,43003006826.0,0.6268600000000001,0.3794,5.5874,0.13867,23,1,0.63079,0.33118,1,0.25788,0.47458,21.02278,1.1097,1,0.51866,0.47367,17.94331,1.1097,1,0,0.0,13,4.45375,1,3.57939,1,239.6151,64.22375,0.0,2254,907
44316,35,26,e5d1f575-e201925f-3d0faf91-7c8d8e98-b2550d52,982,5.8085900000000015,43003833669.0,0.53376,0.37626,5.72705,0.08154,24,1,0.4143199999999999,0.38745,1,0.25093,0.47631,20.8833,1.07895,1,0.5120600000000001,0.47408,17.245379999999994,1.07895,1,0,0.0,13,4.23697,1,3.50626,1,178.78423999999995,178.91315,0.0,1721,897
44317,35,26,e5d1f575-e201925f-3d0faf91-7c8d8e98-b2550d52,1014,6.00098,43005755763.0,0.41318,0.37656,5.81055,0.19043,25,1,0.39486,0.34618,1,0.24088,0.47675,20.48792000000001,1.14299,1,0.50315,0.47189,17.12218,1.14299,1,0,0.0,13,4.06426,1,3.37494,1,231.51384,180.08016999999995,0.0,1030,898
44318,35,26,e5d1f575-e201925f-3d0faf91-7c8d8e98-b2550d52,1055,6.23389,43008087618.0,0.4213,0.37624,6.00781,0.22607,26,1,0.42617,0.5807399999999999,1,0.23156,0.48598,20.97234,1.07579,1,0.4941399999999999,0.47743,16.338379999999994,1.07579,1,0,0.0,13,4.05622,1,3.34297,1,15.594220000000002,1.27005,0.0,1077,897
44319,35,26,e5d1f575-e201925f-3d0faf91-7c8d8e98-b2550d52,1078,6.37451,43009492942.0,0.40164,0.6230399999999999,6.26221,0.1123,27,1,0.37273,0.63775,1,0.23183,0.48507,20.41776,1.06826,1,0.49455,0.4789899999999999,16.4306,1.06826,1,0,0.0,13,3.97793,1,3.3764300000000005,1,269.20364,261.93954,0.0,964,1644
44320,35,26,e5d1f575-e201925f-3d0faf91-7c8d8e98-b2550d52,1121,6.61523,43011902185.0,0.35143,0.66779,6.37939,0.23584,28,1,0.30972,0.70236,1,0.2325199999999999,0.48763,20.69403,1.06072,1,0.49523,0.4805100000000001,16.97767,1.06072,1,0,0.0,13,4.02491,1,3.41816,1,107.83952,206.62605,0.0,676,1779
44321,35,26,e5d1f575-e201925f-3d0faf91-7c8d8e98-b2550d52,1212,7.132810000000001,43017077780.0,0.29405,0.6966899999999999,6.6167,0.5161100000000001,29,1,0.40499,0.65851,1,0.23469,0.4868399999999999,17.45647,1.04565,1,0.49687,0.48167,11.65285,1.04565,1,0,0.0,12,3.93811,1,2.97942,1,114.50562,195.8179,0.0,347,1867
44322,35,26,e5d1f575-e201925f-3d0faf91-7c8d8e98-b2550d52,1216,7.15039,43017249319.0,0.38214,0.6584300000000001,7.133789999999999,0.0166,30,1,0.40221,0.64957,1,0.23624,0.4865899999999999,18.89266,1.06826,1,0.50044,0.4813699999999999,13.74492,1.06826,1,0,0.0,12,3.84145,1,2.80612,1,174.10721,13.72901,0.0,852,1751
44323,35,26,e5d1f575-e201925f-3d0faf91-7c8d8e98-b2550d52,1238,7.27832,43018529187.0,0.6660699999999999,0.6943699999999999,7.1718800000000025,0.10645,31,1,0.70255,0.72426,1,0.25214,0.48512,19.12656,1.1097,1,0.51375,0.48443,15.70885,1.1097,1,0,0.0,12,4.0085,1,3.09595,1,546.5257,355.92734,0.0,2479,1860
44324,35,26,e5d1f575-e201925f-3d0faf91-7c8d8e98-b2550d52,1288,7.56055,43021351856.0,0.68629,0.71995,7.28516,0.27539,32,1,0.6161399999999999,0.62603,1,0.2478699999999999,0.4857399999999999,18.67967,1.07579,1,0.51061,0.48348,14.74019,1.07579,1,0,0.0,12,3.7989,1,2.92866,1,47.64881,324.564,0.0,2595,1937
