,SESSION_ID,MEDIA_ID,DICOM_ID,CNT,Time (in secs),TIMETICK(f=10000000),FPOGX,FPOGY,FPOGS,FPOGD,FPOGID,FPOGV,BPOGX,BPOGY,BPOGV,LPCX,LPCY,LPD,LPS,LPV,RPCX,RPCY,RPD,RPS,RPV,BKID,BKDUR,BKPMIN,LPMM,LPMMV,RPMM,RPMMV,SACCADE_MAG,SACCADE_DIR,VID_FRAME,X_ORIGINAL,Y_ORIGINAL
29131,24,24,e67f0793-278c7512-0181e66c-76c0d60b-3ce98573,60,0.97241,4136968329352.0,0.5028600000000001,0.36449,0.0,0.97241,2,1,0.50372,0.51017,1,0.59268,0.27319,20.0136,0.99387,1,0.87056,0.26255,17.88457,1.00073,1,0,0.0,22,3.74816,1,3.39203,1,331.28604,319.06525,0.0,1288,1113
29132,24,24,e67f0793-278c7512-0181e66c-76c0d60b-3ce98573,89,1.43921,4136972995057.0,0.51761,0.5174,1.03491,0.4043,3,1,0.5210899999999999,0.44051,1,0.5952,0.27197,20.977120000000006,0.95011,1,0.87387,0.2625,18.18517,0.95011,1,0,0.0,22,3.91079,1,3.69554,1,167.55353,279.7309,0.0,1372,1581
29133,24,24,e67f0793-278c7512-0181e66c-76c0d60b-3ce98573,113,1.82764,4136976880529.0,0.51341,0.38084,1.45557,0.3720699999999999,4,1,0.5030600000000001,0.33943,1,0.59433,0.26973,18.80438,0.97542,1,0.8722700000000001,0.2600099999999999,17.49798,0.97542,1,0,0.0,22,3.66,1,3.30751,1,147.70515,93.12968,0.0,1348,1163
29134,24,24,e67f0793-278c7512-0181e66c-76c0d60b-3ce98573,133,2.15137,4136980117682.0,0.50908,0.31975,1.84399,0.30737,5,1,0.52777,0.30071,1,0.5949800000000001,0.26825,20.14413,0.96749,1,0.8739299999999999,0.25828,17.560760000000002,0.97435,1,0,0.0,22,3.72093,1,3.3259300000000005,1,66.49889,97.18177,0.0,1324,977
29135,24,24,e67f0793-278c7512-0181e66c-76c0d60b-3ce98573,156,2.52295,4136983833649.0,0.52067,0.21966,2.16748,0.35547,6,1,0.50253,0.11902,1,0.59363,0.2655099999999999,20.99435,1.00719,1,0.87216,0.25514,18.3846,1.01405,1,0,0.0,22,4.0675300000000005,1,3.60938,1,110.36392,78.36764000000002,0.0,1390,671
29136,24,24,e67f0793-278c7512-0181e66c-76c0d60b-3ce98573,179,2.89502,4136987555441.0,0.50734,0.14602,2.53906,0.35596,7,1,0.53452,0.25669,1,0.5944,0.26735,20.68764,0.96827,1,0.8735700000000001,0.2576699999999999,18.20311,0.97445,1,0,0.0,22,3.95153,1,3.48389,1,83.54785,107.83845,0.0,1314,446
29137,24,24,e67f0793-278c7512-0181e66c-76c0d60b-3ce98573,206,3.33154,4136991919359.0,0.53276,0.28557,2.91113,0.4204100000000001,8,1,0.55705,0.40689,1,0.59397,0.27197,22.13109,0.98063,1,0.8733299999999999,0.26124,18.36937,0.97445,1,0,0.0,22,3.98571,1,3.38565,1,158.4196,287.94376,0.0,1459,872
29138,24,24,e67f0793-278c7512-0181e66c-76c0d60b-3ce98573,229,3.70483,4136995653084.0,0.5302399999999999,0.41856,3.39624,0.30859,9,1,0.48352,0.5263800000000001,1,0.5916,0.27453,21.62999,0.94333,1,0.8715200000000001,0.2633,18.67039,0.94951,1,0,0.0,22,4.10029,1,3.35218,1,143.71068,268.07062,0.0,1445,1279
29139,24,24,e67f0793-278c7512-0181e66c-76c0d60b-3ce98573,249,4.0273400000000015,4136998877286.0,0.46242,0.5199199999999999,3.71997,0.30737,10,1,0.39903,0.56152,1,0.5887600000000001,0.27745,20.63434,0.93715,1,0.86835,0.26478,18.00479,0.93098,1,0,0.0,21,4.11212,1,3.26056,1,170.1153,220.05313,0.0,1056,1588
29140,24,24,e67f0793-278c7512-0181e66c-76c0d60b-3ce98573,275,4.44775,4137003082673.0,0.40476,0.53213,4.04346,0.4043,11,1,0.4008,0.27451,1,0.5928100000000001,0.27305,20.52105,0.9879,1,0.8723799999999999,0.26309,17.68843,0.97486,1,0,0.0,21,3.71378,1,3.20836,1,111.48975,186.79274,0.0,725,1626
29141,24,24,e67f0793-278c7512-0181e66c-76c0d60b-3ce98573,312,5.0459,4137009063848.0,0.4165,0.22243,4.51294,0.53296,12,1,0.36549,0.28098,1,0.59344,0.26995,20.21469,0.98721,1,0.8724799999999999,0.26113,18.42267,0.99407,1,0,0.0,20,3.77679,1,3.40849,1,335.23462,86.14459000000002,0.0,793,679
29142,24,24,e67f0793-278c7512-0181e66c-76c0d60b-3ce98573,357,5.77441,4137016349462.0,0.34878,0.2982,5.06226,0.71216,13,1,0.35502,0.25043,1,0.59034,0.26892,21.73479,0.9555,1,0.8692,0.25869,20.17275,0.9555,1,0,0.0,19,4.07744,1,3.62809,1,153.63019,212.18489,0.0,405,911
